TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,IN0020190370,SGBOCT27,2.50%GOLDBONDS2027SR-V,6298.75,6575.0,6150.51,6390.0,6390.0,6300.0,49,313335.09,12
2024-01-02,CM,IN0020190370,SGBOCT27,2.50%GOLDBONDS2027SR-V,6389.0,6390.0,6389.0,6390.0,6390.0,6390.0,5,31949.0,2
2024-01-03,CM,IN0020190370,SGBOCT27,2.50%GOLDBONDS2027SR-V,6390.0,6390.0,6330.0,6330.0,6330.0,6390.0,7,44375.0,3
2024-01-04,CM,IN0020190370,SGBOCT27,2.50%GOLDBONDS2027SR-V,6300.0,6300.0,6270.0,6300.0,6300.0,6330.0,204,1281755.0,14
2024-01-05,CM,IN0020190370,SGBOCT27,2.50%GOLDBONDS2027SR-V,6300.0,6300.0,6275.0,6275.0,6275.0,6300.0,28,175775.0,6
2024-01-10,CM,IN0020190370,SGBOCT27,2.50%GOLDBONDS2027SR-V,6275.0,6275.0,6275.0,6275.0,6275.0,6275.0,2,12550.0,2
2024-01-12,CM,IN0020190370,SGBOCT27,2.50%GOLDBONDS2027SR-V,6200.01,6374.99,6200.01,6280.0,6280.0,6275.0,3,18855.0,3
2024-01-15,CM,IN0020190370,SGBOCT27,2.50%GOLDBONDS2027SR-V,6250.0,6250.0,6250.0,6250.0,6250.0,6280.0,38,237500.0,3
2024-01-16,CM,IN0020190370,SGBOCT27,2.50%GOLDBONDS2027SR-V,6266.01,6299.0,6265.0,6299.0,6299.0,6250.0,33,206792.03,6
2024-01-17,CM,IN0020190370,SGBOCT27,2.50%GOLDBONDS2027SR-V,6210.21,6226.0,6210.21,6226.0,6226.0,6299.0,5,31082.63,3
2024-01-18,CM,IN0020190370,SGBOCT27,2.50%GOLDBONDS2027SR-V,6220.0,6315.0,6215.01,6315.0,6315.0,6226.0,32,201124.98,6
2024-01-19,CM,IN0020190370,SGBOCT27,2.50%GOLDBONDS2027SR-V,6309.99,6310.0,6299.99,6300.0,6300.0,6315.0,36,226882.95,7
