TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-07-15,CM,IN002024X169,91D101024,GOI TBILL 91D-10/10/24,98.18,98.18,98.18,98.18,98.18,98.35,500,49090.0,2
2024-07-16,CM,IN002024X169,91D101024,GOI TBILL 91D-10/10/24,98.2,98.2,98.2,98.2,98.2,98.18,200,19640.0,1
2024-07-18,CM,IN002024X169,91D101024,GOI TBILL 91D-10/10/24,98.2,98.42,98.2,98.42,98.42,98.2,1900,186796.0,7
2024-07-19,CM,IN002024X169,91D101024,GOI TBILL 91D-10/10/24,98.42,98.42,98.42,98.42,98.42,98.42,10100,994042.0,11
2024-07-22,CM,IN002024X169,91D101024,GOI TBILL 91D-10/10/24,98.42,98.42,98.22,98.25,98.25,98.42,5200,510995.0,8
2024-07-23,CM,IN002024X169,91D101024,GOI TBILL 91D-10/10/24,98.25,98.26,98.25,98.25,98.25,98.25,21800,2141851.0,13
2024-07-24,CM,IN002024X169,91D101024,GOI TBILL 91D-10/10/24,98.25,98.25,98.25,98.25,98.25,98.25,200,19650.0,1
2024-07-25,CM,IN002024X169,91D101024,GOI TBILL 91D-10/10/24,98.25,98.28,98.25,98.28,98.28,98.25,300,29480.0,3
2024-07-26,CM,IN002024X169,91D101024,GOI TBILL 91D-10/10/24,98.25,98.55,98.25,98.55,98.55,98.28,400,39360.0,4
2024-07-29,CM,IN002024X169,91D101024,GOI TBILL 91D-10/10/24,98.34,98.59,98.34,98.48,98.47,98.55,3400,334950.0,13
2024-07-30,CM,IN002024X169,91D101024,GOI TBILL 91D-10/10/24,98.48,98.57,98.48,98.48,98.48,98.48,1500,147729.0,7
2024-07-31,CM,IN002024X169,91D101024,GOI TBILL 91D-10/10/24,98.48,98.52,98.48,98.52,98.52,98.48,6300,620638.0,5
2024-08-01,CM,IN002024X169,91D101024,GOI TBILL 91D-10/10/24,98.52,98.65,98.5,98.65,98.65,98.52,2600,256232.0,6
2024-08-02,CM,IN002024X169,91D101024,GOI TBILL 91D-10/10/24,98.84,98.84,98.35,98.59,98.84,98.65,300,29603.0,3
2024-08-05,CM,IN002024X169,91D101024,GOI TBILL 91D-10/10/24,98.59,98.59,98.59,98.59,98.59,98.59,6100,601399.0,14
2024-08-06,CM,IN002024X169,91D101024,GOI TBILL 91D-10/10/24,98.93,98.93,98.93,98.93,98.93,98.59,100,9893.0,1
2024-08-07,CM,IN002024X169,91D101024,GOI TBILL 91D-10/10/24,98.59,98.59,98.59,98.59,98.59,98.93,200,19718.0,2
2024-08-08,CM,IN002024X169,91D101024,GOI TBILL 91D-10/10/24,98.97,98.97,98.66,98.66,98.66,98.59,6600,653120.0,4
2024-08-12,CM,IN002024X169,91D101024,GOI TBILL 91D-10/10/24,98.76,98.76,98.76,98.76,98.76,98.66,100,9876.0,1
