TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-03-07,CM,IN9737B01023,ADROITPP,ADROITINF RS.2.50 PPD UP,6.25,6.25,6.25,6.25,6.25,6.55,5189,32431.25,11
2024-03-11,CM,IN9737B01023,ADROITPP,ADROITINF RS.2.50 PPD UP,5.95,5.95,5.95,5.95,5.95,6.25,101375,603181.25,14
2024-03-12,CM,IN9737B01023,ADROITPP,ADROITINF RS.2.50 PPD UP,5.65,5.65,5.65,5.65,5.65,5.95,69,389.85,3
2024-03-13,CM,IN9737B01023,ADROITPP,ADROITINF RS.2.50 PPD UP,5.4,5.4,5.4,5.4,5.4,5.65,196,1058.4,4
2024-03-14,CM,IN9737B01023,ADROITPP,ADROITINF RS.2.50 PPD UP,5.15,5.15,5.15,5.15,5.15,5.4,212,1091.8,4
2024-03-15,CM,IN9737B01023,ADROITPP,ADROITINF RS.2.50 PPD UP,4.9,4.9,4.9,4.9,4.9,5.15,339,1661.1,5
2024-03-18,CM,IN9737B01023,ADROITPP,ADROITINF RS.2.50 PPD UP,4.65,4.65,4.65,4.65,4.65,4.9,3039,14131.35,7
2024-03-19,CM,IN9737B01023,ADROITPP,ADROITINF RS.2.50 PPD UP,4.45,4.45,4.45,4.45,4.45,4.65,164,729.8,4
2024-03-20,CM,IN9737B01023,ADROITPP,ADROITINF RS.2.50 PPD UP,4.25,4.25,4.25,4.25,4.25,4.45,51,216.75,4
2024-03-21,CM,IN9737B01023,ADROITPP,ADROITINF RS.2.50 PPD UP,4.05,4.25,4.05,4.05,4.05,4.25,1272508,5154157.6,182
2024-03-22,CM,IN9737B01023,ADROITPP,ADROITINF RS.2.50 PPD UP,3.85,4.25,3.85,4.0,4.25,4.05,706794,2735219.5,91
2024-03-26,CM,IN9737B01023,ADROITPP,ADROITINF RS.2.50 PPD UP,4.15,4.15,3.8,3.8,3.8,4.0,57294,217965.95,34
2024-03-27,CM,IN9737B01023,ADROITPP,ADROITINF RS.2.50 PPD UP,3.7,3.85,3.65,3.65,3.65,3.8,92739,340906.95,49
2024-03-28,CM,IN9737B01023,ADROITPP,ADROITINF RS.2.50 PPD UP,3.8,3.8,3.5,3.5,3.5,3.65,85530,299608.5,26
2024-04-01,CM,IN9737B01023,ADROITPP,ADROITINF RS.2.50 PPD UP,3.5,3.65,3.35,3.55,3.55,3.5,31813,109980.95,47
2024-04-02,CM,IN9737B01023,ADROITPP,ADROITINF RS.2.50 PPD UP,3.6,3.7,3.45,3.45,3.6,3.55,39397,144369.6,30
2024-04-03,CM,IN9737B01023,ADROITPP,ADROITINF RS.2.50 PPD UP,3.6,3.6,3.5,3.6,3.6,3.45,99862,359032.65,36
2024-04-04,CM,IN9737B01023,ADROITPP,ADROITINF RS.2.50 PPD UP,3.75,3.75,3.75,3.75,3.75,3.6,292,1095.0,2
2024-04-05,CM,IN9737B01023,ADROITPP,ADROITINF RS.2.50 PPD UP,3.9,3.9,3.9,3.9,3.9,3.75,1820,7098.0,4
2024-04-08,CM,IN9737B01023,ADROITPP,ADROITINF RS.2.50 PPD UP,3.9,4.0,3.7,3.85,3.85,3.9,6160,23416.35,16
2024-04-09,CM,IN9737B01023,ADROITPP,ADROITINF RS.2.50 PPD UP,3.95,4.0,3.75,3.95,3.95,3.85,13935,54947.95,25
2024-04-10,CM,IN9737B01023,ADROITPP,ADROITINF RS.2.50 PPD UP,3.95,4.1,3.75,4.0,4.1,3.95,67592,260066.6,71
2024-04-12,CM,IN9737B01023,ADROITPP,ADROITINF RS.2.50 PPD UP,4.1,4.2,3.8,4.1,4.05,4.0,36163,147091.1,61
2024-04-15,CM,IN9737B01023,ADROITPP,ADROITINF RS.2.50 PPD UP,4.0,4.0,3.9,3.9,3.9,4.1,21611,84420.6,15
2024-04-16,CM,IN9737B01023,ADROITPP,ADROITINF RS.2.50 PPD UP,3.7,3.7,3.7,3.7,3.7,3.9,24506,90672.2,14
2024-04-18,CM,IN9737B01023,ADROITPP,ADROITINF RS.2.50 PPD UP,3.7,3.85,3.55,3.8,3.85,3.7,45496,170567.15,38
2024-04-19,CM,IN9737B01023,ADROITPP,ADROITINF RS.2.50 PPD UP,3.95,3.95,3.7,3.95,3.95,3.8,28068,110371.75,32
2024-04-22,CM,IN9737B01023,ADROITPP,ADROITINF RS.2.50 PPD UP,4.1,4.1,4.1,4.1,4.1,3.95,10750,44075.0,4
2024-04-23,CM,IN9737B01023,ADROITPP,ADROITINF RS.2.50 PPD UP,4.3,4.3,4.3,4.3,4.3,4.1,18101,77834.3,13
2024-04-24,CM,IN9737B01023,ADROITPP,ADROITINF RS.2.50 PPD UP,4.5,4.5,4.5,4.5,4.5,4.3,2357,10606.5,4
2024-04-25,CM,IN9737B01023,ADROITPP,ADROITINF RS.2.50 PPD UP,4.7,4.7,4.7,4.7,4.7,4.5,100701,473294.7,9
2024-04-26,CM,IN9737B01023,ADROITPP,ADROITINF RS.2.50 PPD UP,4.9,4.9,4.9,4.9,4.9,4.7,133405,653684.5,17
2024-04-29,CM,IN9737B01023,ADROITPP,ADROITINF RS.2.50 PPD UP,5.1,5.1,4.65,4.65,4.65,4.9,617029,2974357.6,182
2024-04-30,CM,IN9737B01023,ADROITPP,ADROITINF RS.2.50 PPD UP,4.45,4.45,4.45,4.45,4.45,4.65,43423,193232.35,42
2024-05-02,CM,IN9737B01023,ADROITPP,ADROITINF RS.2.50 PPD UP,4.25,4.25,4.25,4.25,4.25,4.45,15680,66640.0,24
2024-05-03,CM,IN9737B01023,ADROITPP,ADROITINF RS.2.50 PPD UP,4.05,4.05,4.05,4.05,4.05,4.25,52378,212130.9,40
