TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INE00UG01014,KHFM,KHFM HOS FAC MANA SER LTD,52.0,53.0,51.35,51.55,51.35,51.9,31000,1608125.0,10
2024-01-02,CM,INE00UG01014,KHFM,KHFM HOS FAC MANA SER LTD,51.8,52.15,51.4,51.9,51.4,51.55,18600,965960.0,5
2024-01-03,CM,INE00UG01014,KHFM,KHFM HOS FAC MANA SER LTD,52.85,52.85,51.8,52.45,52.45,51.9,15500,809255.0,5
2024-01-04,CM,INE00UG01014,KHFM,KHFM HOS FAC MANA SER LTD,51.0,52.8,51.0,52.0,52.0,52.45,18600,965650.0,6
2024-01-05,CM,INE00UG01014,KHFM,KHFM HOS FAC MANA SER LTD,52.25,52.75,50.1,50.55,51.4,52.0,43400,2226420.0,14
2024-01-08,CM,INE00UG01014,KHFM,KHFM HOS FAC MANA SER LTD,52.0,52.0,51.5,51.7,51.7,50.55,12400,641545.0,4
2024-01-09,CM,INE00UG01014,KHFM,KHFM HOS FAC MANA SER LTD,51.7,52.5,50.0,52.45,52.5,51.7,55800,2913535.0,9
2024-01-10,CM,INE00UG01014,KHFM,KHFM HOS FAC MANA SER LTD,54.8,54.8,50.0,50.45,51.4,52.45,55800,2876025.0,17
2024-01-11,CM,INE00UG01014,KHFM,KHFM HOS FAC MANA SER LTD,51.0,51.0,50.8,51.0,51.0,50.45,18600,947515.0,6
2024-01-12,CM,INE00UG01014,KHFM,KHFM HOS FAC MANA SER LTD,51.5,52.0,51.5,51.95,51.95,51.0,12400,642320.0,4
2024-01-15,CM,INE00UG01014,KHFM,KHFM HOS FAC MANA SER LTD,51.0,53.0,51.0,53.0,53.0,51.95,9300,483600.0,3
2024-01-16,CM,INE00UG01014,KHFM,KHFM HOS FAC MANA SER LTD,51.5,52.0,51.0,51.85,51.85,53.0,15500,800110.0,5
2024-01-17,CM,INE00UG01014,KHFM,KHFM HOS FAC MANA SER LTD,52.25,52.5,49.55,49.6,49.6,51.85,46500,2341430.0,14
2024-01-18,CM,INE00UG01014,KHFM,KHFM HOS FAC MANA SER LTD,49.75,50.0,48.05,49.2,49.8,49.6,37200,1831480.0,10
2024-01-19,CM,INE00UG01014,KHFM,KHFM HOS FAC MANA SER LTD,49.75,51.2,48.55,50.15,50.4,49.2,65100,3261355.0,20
2024-01-23,CM,INE00UG01014,KHFM,KHFM HOS FAC MANA SER LTD,51.0,51.0,49.25,50.05,50.25,51.0,27900,1399805.0,9
2024-01-24,CM,INE00UG01014,KHFM,KHFM HOS FAC MANA SER LTD,50.0,50.25,50.0,50.25,50.25,50.05,12400,621860.0,4
2024-01-25,CM,INE00UG01014,KHFM,KHFM HOS FAC MANA SER LTD,50.1,50.1,49.1,50.0,50.0,50.25,18600,927675.0,6
