TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-02-16,CM,INE010601016,ENTERO,ENTERO HEALTHCARE SOLU L,1228.7,1258.0,1141.0,1149.55,1150.1,1258.0,1788742,2153536789.15,73403
2024-02-19,CM,INE010601016,ENTERO,ENTERO HEALTHCARE SOLU L,1149.5,1178.0,1105.85,1151.0,1159.0,1149.55,389057,443361729.55,31341
2024-02-20,CM,INE010601016,ENTERO,ENTERO HEALTHCARE SOLU L,1150.0,1198.0,1140.35,1161.2,1154.95,1151.0,678777,792034222.3,38667
2024-02-21,CM,INE010601016,ENTERO,ENTERO HEALTHCARE SOLU L,1162.1,1197.9,1150.0,1166.6,1157.0,1161.2,415999,490482237.5,33361
2024-02-22,CM,INE010601016,ENTERO,ENTERO HEALTHCARE SOLU L,1166.55,1186.95,1139.1,1158.15,1151.35,1166.6,113667,133013938.75,9492
2024-02-23,CM,INE010601016,ENTERO,ENTERO HEALTHCARE SOLU L,1161.95,1174.9,1156.05,1169.15,1166.0,1158.15,127547,148975380.1,9886
2024-02-26,CM,INE010601016,ENTERO,ENTERO HEALTHCARE SOLU L,1146.55,1185.15,1100.3,1130.5,1131.85,1169.15,191751,220925437.15,13751
2024-02-27,CM,INE010601016,ENTERO,ENTERO HEALTHCARE SOLU L,1135.0,1153.7,1112.0,1121.0,1118.0,1130.5,259971,294568859.75,10666
2024-02-28,CM,INE010601016,ENTERO,ENTERO HEALTHCARE SOLU L,1116.0,1121.0,1002.35,1037.4,1035.0,1121.0,506919,542162030.35,27027
2024-02-29,CM,INE010601016,ENTERO,ENTERO HEALTHCARE SOLU L,1037.4,1102.0,1031.1,1082.85,1061.6,1037.4,141204,151878091.7,15662
2024-03-01,CM,INE010601016,ENTERO,ENTERO HEALTHCARE SOLU L,1096.0,1125.95,1013.15,1017.5,1017.0,1082.85,393304,419380516.05,26579
2024-03-04,CM,INE010601016,ENTERO,ENTERO HEALTHCARE SOLU L,1028.25,1060.65,1010.0,1036.55,1032.0,1027.15,312834,323178689.15,14701
2024-03-05,CM,INE010601016,ENTERO,ENTERO HEALTHCARE SOLU L,1034.7,1065.5,1032.15,1059.3,1055.5,1036.55,103169,108598777.65,10081
2024-03-06,CM,INE010601016,ENTERO,ENTERO HEALTHCARE SOLU L,1055.05,1079.8,1025.0,1032.3,1026.1,1059.3,121776,128417712.9,18461
2024-03-07,CM,INE010601016,ENTERO,ENTERO HEALTHCARE SOLU L,1039.0,1099.9,1039.0,1094.2,1093.0,1032.3,212534,231442954.4,26937
2024-03-11,CM,INE010601016,ENTERO,ENTERO HEALTHCARE SOLU L,1100.25,1124.0,1090.15,1115.9,1115.0,1094.2,187958,208319028.65,18789
2024-03-12,CM,INE010601016,ENTERO,ENTERO HEALTHCARE SOLU L,1116.75,1116.75,1060.5,1083.3,1070.0,1115.9,87592,95962969.9,13373
2024-03-13,CM,INE010601016,ENTERO,ENTERO HEALTHCARE SOLU L,1070.0,1093.0,980.35,993.4,1003.95,1083.3,236716,251346387.65,14404
2024-03-14,CM,INE010601016,ENTERO,ENTERO HEALTHCARE SOLU L,1004.95,1055.55,988.55,1031.85,1029.0,993.4,224330,229415817.9,17664
2024-03-15,CM,INE010601016,ENTERO,ENTERO HEALTHCARE SOLU L,1010.0,1058.75,1000.0,1006.3,1005.0,1031.85,91497,93962544.6,19015
2024-03-18,CM,INE010601016,ENTERO,ENTERO HEALTHCARE SOLU L,1010.95,1053.45,1010.55,1040.95,1040.0,1006.3,79031,81834026.9,8103
2024-03-19,CM,INE010601016,ENTERO,ENTERO HEALTHCARE SOLU L,1038.5,1047.95,990.0,999.9,1000.0,1040.95,105982,107792828.7,10920
2024-03-20,CM,INE010601016,ENTERO,ENTERO HEALTHCARE SOLU L,1034.95,1038.0,998.0,1004.65,1005.0,999.9,28952,29210277.8,4108
2024-03-21,CM,INE010601016,ENTERO,ENTERO HEALTHCARE SOLU L,1004.9,1026.5,995.0,998.35,999.85,1004.65,60528,60807967.15,7598
2024-03-22,CM,INE010601016,ENTERO,ENTERO HEALTHCARE SOLU L,998.8,1035.0,984.0,991.55,985.0,998.35,121225,121950886.6,14409
2024-03-26,CM,INE010601016,ENTERO,ENTERO HEALTHCARE SOLU L,991.55,1009.35,980.0,986.5,991.0,991.55,109921,108930228.65,14442
2024-03-27,CM,INE010601016,ENTERO,ENTERO HEALTHCARE SOLU L,987.0,1008.9,987.0,999.85,1001.1,986.5,73836,73854662.35,7628
2024-03-28,CM,INE010601016,ENTERO,ENTERO HEALTHCARE SOLU L,1000.0,1010.1,970.0,987.45,985.0,999.85,82536,82276253.05,6989
2024-04-01,CM,INE010601016,ENTERO,ENTERO HEALTHCARE SOLU L,995.0,1014.0,995.0,1001.65,1004.9,987.45,35883,36052591.4,4512
2024-04-02,CM,INE010601016,ENTERO,ENTERO HEALTHCARE SOLU L,1010.6,1011.45,992.1,993.75,995.0,1001.65,53906,53785821.85,7657
2024-04-03,CM,INE010601016,ENTERO,ENTERO HEALTHCARE SOLU L,1004.95,1005.2,985.35,996.8,992.0,993.75,87206,86899800.55,6290
2024-04-04,CM,INE010601016,ENTERO,ENTERO HEALTHCARE SOLU L,997.2,1008.25,997.2,1004.1,1000.0,996.8,39443,39554124.4,4851
2024-04-05,CM,INE010601016,ENTERO,ENTERO HEALTHCARE SOLU L,1004.1,1008.2,1000.0,1005.9,1005.0,1004.1,27118,27249745.0,3548
2024-04-08,CM,INE010601016,ENTERO,ENTERO HEALTHCARE SOLU L,1006.95,1015.9,992.0,994.45,998.4,1005.9,31642,31639477.75,4073
2024-04-09,CM,INE010601016,ENTERO,ENTERO HEALTHCARE SOLU L,995.95,1028.5,995.85,1005.1,1001.0,994.45,60569,61408895.05,9674
2024-04-10,CM,INE010601016,ENTERO,ENTERO HEALTHCARE SOLU L,1005.0,1012.95,999.0,1001.95,1000.0,1005.1,35599,35775576.6,4735
2024-04-12,CM,INE010601016,ENTERO,ENTERO HEALTHCARE SOLU L,1114.95,1202.3,1089.0,1170.55,1171.0,1001.95,831193,988625767.1,30543
2024-04-15,CM,INE010601016,ENTERO,ENTERO HEALTHCARE SOLU L,1165.0,1165.0,1105.05,1129.25,1127.0,1170.55,81164,91580529.95,10640
2024-04-16,CM,INE010601016,ENTERO,ENTERO HEALTHCARE SOLU L,1111.0,1134.65,1080.0,1097.25,1090.0,1129.25,80493,89124747.95,13650
2024-04-18,CM,INE010601016,ENTERO,ENTERO HEALTHCARE SOLU L,1099.2,1148.55,1099.2,1113.05,1106.6,1097.25,92105,104074206.2,9715
2024-04-19,CM,INE010601016,ENTERO,ENTERO HEALTHCARE SOLU L,1113.0,1133.95,1097.7,1128.2,1130.0,1113.05,68858,77247182.95,13938
2024-04-22,CM,INE010601016,ENTERO,ENTERO HEALTHCARE SOLU L,1134.95,1157.0,1130.0,1144.2,1142.0,1128.2,55632,63753023.25,12172
2024-04-23,CM,INE010601016,ENTERO,ENTERO HEALTHCARE SOLU L,1162.6,1225.0,1162.6,1204.05,1198.8,1144.2,348878,419730621.4,27366
2024-04-24,CM,INE010601016,ENTERO,ENTERO HEALTHCARE SOLU L,1204.95,1225.0,1197.2,1208.25,1200.2,1204.05,178852,216329816.55,24748
2024-04-25,CM,INE010601016,ENTERO,ENTERO HEALTHCARE SOLU L,1182.35,1207.95,1160.0,1169.65,1165.0,1208.25,45793,53773857.8,6702
2024-04-26,CM,INE010601016,ENTERO,ENTERO HEALTHCARE SOLU L,1175.0,1183.25,1136.4,1151.75,1147.7,1169.65,24987,29004590.6,2909
2024-04-29,CM,INE010601016,ENTERO,ENTERO HEALTHCARE SOLU L,1151.75,1159.0,1131.8,1140.0,1140.0,1151.75,28292,32324498.65,3671
2024-04-30,CM,INE010601016,ENTERO,ENTERO HEALTHCARE SOLU L,1138.95,1206.0,1138.95,1170.7,1164.95,1140.0,53596,62900804.05,8185
2024-05-02,CM,INE010601016,ENTERO,ENTERO HEALTHCARE SOLU L,1159.95,1183.8,1124.2,1130.35,1137.75,1170.7,45690,52614292.5,7084
2024-05-03,CM,INE010601016,ENTERO,ENTERO HEALTHCARE SOLU L,1135.95,1146.65,1078.15,1096.0,1097.95,1130.35,55935,62279545.55,8259
2024-05-06,CM,INE010601016,ENTERO,ENTERO HEALTHCARE SOLU L,1100.0,1111.95,1072.3,1080.2,1075.0,1096.0,44131,47981196.7,8218
2024-05-07,CM,INE010601016,ENTERO,ENTERO HEALTHCARE SOLU L,1087.0,1098.15,1070.05,1095.0,1090.0,1080.2,46091,49784914.6,5442
