TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INE020B07GX4,RECLTD,TAXFREE SEC NCD TR1 S2,1083.0,1083.0,1083.0,1083.0,1083.0,1071.0,42,45486.0,1
2024-01-03,CM,INE020B07GX4,RECLTD,TAXFREE SEC NCD TR1 S2,1071.01,1082.0,1071.0,1072.26,1072.26,1083.0,1830,1961570.54,13
2024-01-05,CM,INE020B07GX4,RECLTD,TAXFREE SEC NCD TR1 S2,1072.76,1072.76,1072.76,1072.76,1072.76,1072.26,100,107276.0,1
2024-01-08,CM,INE020B07GX4,RECLTD,TAXFREE SEC NCD TR1 S2,1072.6,1072.6,1072.6,1072.6,1072.6,1072.76,100,107260.0,1
2024-01-09,CM,INE020B07GX4,RECLTD,TAXFREE SEC NCD TR1 S2,1075.17,1075.34,1075.17,1075.34,1075.34,1072.6,180,193545.9,2
2024-01-17,CM,INE020B07GX4,RECLTD,TAXFREE SEC NCD TR1 S2,1072.8,1075.3,1072.8,1075.3,1075.3,1075.34,600,643930.0,2
2024-01-19,CM,INE020B07GX4,RECLTD,TAXFREE SEC NCD TR1 S2,1074.0,1074.0,1074.0,1074.0,1074.0,1075.3,250,268500.0,1
2024-01-23,CM,INE020B07GX4,RECLTD,TAXFREE SEC NCD TR1 S2,1074.11,1074.11,1074.0,1074.01,1074.01,1074.0,1770,1901009.2,4
2024-02-01,CM,INE020B07GX4,RECLTD,TAXFREE SEC NCD TR1 S2,1075.16,1075.16,1075.16,1075.16,1075.16,1074.01,100,107516.0,1
2024-02-02,CM,INE020B07GX4,RECLTD,TAXFREE SEC NCD TR1 S2,1081.01,1081.01,1081.01,1081.01,1081.01,1075.16,1500,1621515.0,2
2024-02-05,CM,INE020B07GX4,RECLTD,TAXFREE SEC NCD TR1 S2,1081.1,1081.1,1081.1,1081.1,1081.1,1081.01,60,64866.0,1
2024-02-06,CM,INE020B07GX4,RECLTD,TAXFREE SEC NCD TR1 S2,1081.1,1081.1,1081.1,1081.1,1081.1,1081.1,60,64866.0,2
2024-02-07,CM,INE020B07GX4,RECLTD,TAXFREE SEC NCD TR1 S2,1081.1,1081.1,1081.1,1081.1,1081.1,1081.1,186,201084.6,1
2024-02-08,CM,INE020B07GX4,RECLTD,TAXFREE SEC NCD TR1 S2,1081.05,1081.05,1081.05,1081.05,1081.05,1081.1,22,23783.1,2
2024-02-09,CM,INE020B07GX4,RECLTD,TAXFREE SEC NCD TR1 S2,1084.0,1084.0,1084.0,1084.0,1084.0,1081.05,12,13008.0,1
2024-02-13,CM,INE020B07GX4,RECLTD,TAXFREE SEC NCD TR1 S2,1089.0,1089.0,1083.0,1083.0,1083.0,1084.0,30,32570.0,3
2024-02-14,CM,INE020B07GX4,RECLTD,TAXFREE SEC NCD TR1 S2,1081.04,1081.04,1081.04,1081.04,1081.04,1083.0,100,108104.0,1
