TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INE027E07BC8,L&TFIN,SERENCD 8.65% SR.VI OP12,1018.0,1018.0,1006.1,1007.25,1007.25,1015.0,217,218448.75,7
2024-01-05,CM,INE027E07BC8,L&TFIN,SERENCD 8.65% SR.VI OP12,1010.3,1010.3,1010.3,1010.3,1010.3,1007.25,7,7072.1,1
2024-01-08,CM,INE027E07BC8,L&TFIN,SERENCD 8.65% SR.VI OP12,1008.01,1016.6,1008.01,1012.0,1012.0,1010.3,41,41504.2,3
2024-01-09,CM,INE027E07BC8,L&TFIN,SERENCD 8.65% SR.VI OP12,1020.0,1020.0,1012.0,1012.0,1012.0,1012.0,21,21348.0,3
2024-01-10,CM,INE027E07BC8,L&TFIN,SERENCD 8.65% SR.VI OP12,1010.55,1010.55,1010.55,1010.55,1010.55,1012.0,50,50527.5,1
2024-01-11,CM,INE027E07BC8,L&TFIN,SERENCD 8.65% SR.VI OP12,1019.6,1019.6,1019.6,1019.6,1019.6,1010.55,10,10196.0,1
2024-01-12,CM,INE027E07BC8,L&TFIN,SERENCD 8.65% SR.VI OP12,1020.0,1020.0,1020.0,1020.0,1020.0,1019.6,14,14280.0,1
2024-01-15,CM,INE027E07BC8,L&TFIN,SERENCD 8.65% SR.VI OP12,1012.0,1012.5,1012.0,1012.5,1012.5,1020.0,119,120441.75,12
2024-01-16,CM,INE027E07BC8,L&TFIN,SERENCD 8.65% SR.VI OP12,1011.55,1015.0,1011.55,1015.0,1015.0,1012.5,91,92192.5,3
2024-01-17,CM,INE027E07BC8,L&TFIN,SERENCD 8.65% SR.VI OP12,1013.5,1013.5,1012.0,1012.0,1012.0,1015.0,25,25315.0,3
2024-01-18,CM,INE027E07BC8,L&TFIN,SERENCD 8.65% SR.VI OP12,1015.0,1015.0,1015.0,1015.0,1015.0,1012.0,130,131950.0,2
2024-01-23,CM,INE027E07BC8,L&TFIN,SERENCD 8.65% SR.VI OP12,1011.05,1018.99,1005.0,1018.99,1018.99,1015.0,1866,1880380.99,45
2024-01-24,CM,INE027E07BC8,L&TFIN,SERENCD 8.65% SR.VI OP12,1008.1,1008.1,1008.1,1008.1,1008.1,1018.99,1,1008.1,1
2024-01-30,CM,INE027E07BC8,L&TFIN,SERENCD 8.65% SR.VI OP12,1010.0,1014.9,1009.0,1014.9,1014.9,1008.1,78,78775.75,4
2024-01-31,CM,INE027E07BC8,L&TFIN,SERENCD 8.65% SR.VI OP12,1014.0,1015.0,1012.0,1012.07,1012.0,1014.9,199,201735.8,16
2024-02-01,CM,INE027E07BC8,L&TFIN,SERENCD 8.65% SR.VI OP12,1011.0,1011.0,1011.0,1011.0,1011.0,1012.07,20,20220.0,2
2024-02-02,CM,INE027E07BC8,L&TFIN,SERENCD 8.65% SR.VI OP12,1010.25,1014.1,1009.0,1013.88,1013.88,1011.0,1085,1097735.75,17
