TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3299.95,3320.0,3252.0,3282.05,3279.0,3293.75,2782,9166071.55,679
2024-01-02,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3282.05,3343.35,3250.0,3296.35,3303.2,3282.05,2753,9038073.9,860
2024-01-03,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3290.15,3320.9,3259.5,3294.05,3280.0,3296.35,4373,14379928.0,749
2024-01-04,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3300.0,3319.0,3267.05,3285.5,3282.0,3294.05,4253,14002225.2,1093
2024-01-05,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3311.0,3347.95,3271.6,3298.0,3300.0,3285.5,8820,29102335.5,1294
2024-01-08,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3330.0,3332.0,3220.1,3246.35,3250.0,3298.0,3459,11266155.45,896
2024-01-09,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3282.85,3362.8,3248.1,3311.25,3328.0,3246.35,9470,31329904.3,1845
2024-01-10,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3282.0,3490.0,3282.0,3446.9,3450.0,3311.25,12277,41995673.05,2946
2024-01-11,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3450.85,3566.0,3410.0,3466.0,3430.3,3446.9,8914,31146744.5,1999
2024-01-12,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3466.0,3466.0,3401.0,3424.95,3417.0,3466.0,3450,11837440.75,938
2024-01-15,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3464.85,3464.85,3351.0,3372.4,3355.0,3424.95,8312,28417333.9,1275
2024-01-16,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3341.0,3474.95,3312.3,3420.0,3400.0,3372.4,6098,20838065.85,1091
2024-01-17,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3415.4,3425.0,3354.25,3386.15,3385.0,3420.0,5262,17809239.75,1109
2024-01-18,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3383.8,3399.35,3312.2,3381.25,3350.05,3386.15,4561,15329660.65,924
2024-01-19,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3400.0,3665.0,3381.75,3633.6,3640.0,3381.25,23673,84201126.1,4337
2024-01-23,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3801.5,3801.6,3456.05,3479.8,3507.9,3785.6,10562,37948017.9,3220
2024-01-24,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3556.4,3599.9,3465.25,3519.65,3485.55,3479.8,3956,14053629.2,1181
2024-01-25,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3529.75,3621.0,3510.0,3569.75,3560.0,3519.65,3206,11453729.6,955
2024-01-29,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3568.0,3710.0,3568.0,3639.05,3685.0,3569.75,4177,15243814.35,1034
2024-01-30,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3683.95,3849.9,3580.0,3744.65,3760.0,3639.05,11489,43099206.25,2850
2024-01-31,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3782.1,3894.95,3732.7,3767.65,3790.0,3744.65,8453,32179024.75,1933
2024-02-01,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3767.65,3800.9,3690.0,3712.55,3772.6,3767.65,2698,10083486.6,793
2024-02-02,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3725.3,3860.0,3715.0,3823.6,3741.0,3712.55,6595,25114790.65,1865
2024-02-05,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3849.95,3890.0,3736.05,3790.3,3828.0,3823.6,4534,17397294.9,1161
2024-02-06,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3799.1,3990.0,3753.9,3971.65,3975.0,3790.3,7325,28696615.5,1768
2024-02-07,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3950.0,4060.4,3950.0,4034.2,4050.0,3971.65,6719,26991274.35,2121
2024-02-08,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,4075.0,4269.95,3940.0,4230.45,4248.0,4034.2,12668,53110810.55,3205
2024-02-09,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,4167.0,4228.95,3955.1,4036.75,4078.0,4230.45,9303,37588511.65,3021
2024-02-12,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,4118.0,4118.0,3670.0,3701.55,3688.0,4036.75,8816,33798260.45,3130
2024-02-13,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3687.95,3749.9,3502.2,3566.5,3516.0,3701.55,13244,47984149.0,3743
2024-02-14,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3521.0,3657.6,3480.8,3648.25,3650.0,3566.5,3416,12370687.45,1228
2024-02-15,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3625.05,3729.9,3617.55,3678.7,3676.0,3648.25,3708,13627400.8,1183
2024-02-16,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3678.7,3721.6,3661.95,3690.8,3698.95,3678.7,2820,10411847.0,1004
2024-02-19,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3728.55,4044.95,3721.6,3939.1,3900.0,3690.8,13873,54347285.3,3390
2024-02-20,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3998.2,4000.0,3882.05,3917.35,3949.0,3939.1,2873,11256705.1,786
2024-02-21,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3907.0,3990.0,3825.0,3855.75,3835.05,3917.35,4583,17834207.2,1292
2024-02-22,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3913.6,4033.3,3807.1,3965.15,3940.2,3855.75,10492,41420682.65,2810
2024-02-23,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3981.0,4150.0,3949.05,4100.6,4100.0,3965.15,11579,47211299.2,2440
2024-02-26,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,4141.6,4325.95,4105.0,4253.8,4250.05,4100.6,16988,71664303.45,4475
2024-02-27,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,4253.8,4320.0,4092.5,4147.45,4132.0,4253.8,6712,27988865.5,2528
2024-02-28,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,4209.65,4209.65,3974.9,4019.9,4030.0,4147.45,6074,24655653.85,1487
2024-02-29,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,4079.8,4079.8,3936.4,3970.15,4053.5,4019.9,3080,12241792.75,995
2024-03-01,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,4016.85,4599.0,3962.25,4369.5,4438.0,3970.15,56881,251420643.65,14753
2024-03-04,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,4562.65,4667.75,4420.0,4431.45,4423.0,4562.55,20306,91765788.4,6790
2024-03-05,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,4497.85,4509.1,4301.0,4333.1,4370.0,4431.45,9317,40882486.45,3153
2024-03-06,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,4350.0,4362.35,4091.55,4182.1,4168.0,4333.1,11648,48822605.65,2868
2024-03-07,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,4181.0,4329.35,4178.95,4234.15,4274.9,4182.1,4813,20475044.0,1710
2024-03-11,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,4291.95,4299.0,3975.1,4036.55,4044.0,4234.15,12461,50611547.6,3461
2024-03-12,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,4001.0,4083.8,3780.0,3797.9,3800.0,4036.55,12190,47189541.5,2983
2024-03-13,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3836.0,3871.6,3475.0,3607.85,3616.05,3797.9,17040,61927864.45,4545
2024-03-14,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3611.0,3703.95,3560.0,3619.25,3620.0,3607.85,7279,26524861.5,2147
2024-03-15,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3664.75,3707.95,3551.2,3604.4,3634.0,3619.25,4898,17732868.05,1732
2024-03-18,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3633.15,3676.4,3532.65,3587.85,3576.0,3604.4,5433,19500477.25,1230
2024-03-19,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3591.4,3602.8,3460.05,3552.35,3500.0,3587.85,5554,19622680.9,1693
2024-03-20,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3550.0,3564.9,3450.0,3518.05,3510.0,3552.35,6689,23421922.5,1567
2024-03-21,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3528.0,3658.4,3528.0,3565.3,3594.0,3518.05,7046,25382622.0,1864
2024-03-22,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3574.0,3685.35,3505.3,3631.85,3617.0,3565.3,3020,10929970.95,989
2024-03-26,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3650.0,3650.0,3500.0,3517.65,3510.1,3631.85,4900,17316682.55,1412
2024-03-27,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3517.65,3637.55,3510.0,3547.7,3565.0,3517.65,4930,17657720.8,1370
2024-03-28,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3645.0,3700.05,3483.4,3625.7,3698.15,3547.7,7434,26592053.2,1706
2024-04-01,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3643.25,3730.0,3643.25,3713.35,3730.0,3625.7,5729,21185694.8,1193
2024-04-02,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3769.05,3769.05,3696.0,3718.2,3738.0,3713.35,4081,15156067.5,860
2024-04-03,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3725.0,4017.35,3707.2,3983.2,3992.0,3718.2,11818,46469738.15,3500
2024-04-04,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,4045.0,4099.0,3852.0,3906.65,3933.45,3983.2,12162,47715862.1,3357
2024-04-05,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3945.0,3945.0,3866.85,3921.5,3931.7,3906.65,5128,20014180.7,1198
2024-04-08,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3950.9,4110.0,3910.55,4029.4,4011.5,3921.5,13577,54731051.25,2922
2024-04-09,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,4069.65,4090.45,3930.0,3976.2,3940.0,4029.4,3548,14172380.45,1199
2024-04-10,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,4018.0,4090.0,3951.1,3982.45,3990.0,3976.2,2473,9883919.7,653
2024-04-12,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3985.0,3999.95,3865.4,3902.45,3929.0,3982.45,3201,12640156.25,1022
2024-04-15,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3815.0,3858.95,3690.95,3796.15,3805.0,3902.45,4070,15383713.6,1481
2024-04-16,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3750.05,3979.95,3750.05,3908.15,3875.0,3796.15,2786,10806521.8,756
2024-04-18,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3926.8,3969.95,3870.0,3888.55,3900.0,3908.15,2291,8973171.4,622
2024-04-19,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,3888.55,4001.9,3840.0,3904.5,3890.05,3888.55,2968,11534610.65,1012
2024-04-22,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,4502.95,4685.4,4375.0,4512.7,4490.0,3904.5,120982,553846623.75,13564
2024-04-23,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,4520.0,4523.75,4252.0,4276.75,4294.0,4512.7,23555,102750021.15,5006
2024-04-24,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,4255.0,4368.7,4255.0,4316.0,4368.7,4276.75,7193,30955899.8,1903
2024-04-25,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,4336.0,4463.95,4336.0,4437.35,4450.0,4316.0,14575,64223809.2,4013
2024-04-26,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,4437.35,4487.3,4364.5,4375.25,4384.0,4437.35,7276,32129687.75,1846
2024-04-29,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,4419.05,4548.1,4392.3,4460.25,4470.0,4375.25,6359,28283254.5,2497
2024-04-30,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,4470.0,4470.0,4375.0,4397.05,4405.0,4460.25,3641,16052158.75,1036
2024-05-02,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,4440.0,4540.0,4351.05,4396.95,4399.95,4397.05,5489,24160145.95,2271
2024-05-03,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,4405.7,4420.4,4196.6,4277.65,4280.0,4396.95,6796,29107726.75,1801
2024-05-06,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,4329.0,4363.95,4228.05,4279.4,4300.0,4277.65,4285,18395269.65,1957
2024-05-07,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,4317.15,4317.15,4125.0,4150.55,4185.0,4279.4,5490,22946873.6,1545
2024-05-08,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,4183.75,4439.0,4128.2,4363.05,4439.0,4150.55,17484,75002270.65,4440
2024-05-09,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,4384.25,4470.0,4201.5,4266.75,4279.0,4363.05,10525,45352641.95,3198
2024-05-10,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,4266.8,4356.35,4178.1,4261.45,4299.9,4266.75,5430,23294451.4,1903
2024-05-13,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,4265.0,4303.15,4105.05,4202.65,4175.0,4261.45,3862,16190588.1,1477
2024-05-14,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,4145.0,4345.6,4145.0,4303.8,4294.0,4202.65,4726,20259792.25,2167
2024-05-15,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,4350.0,4350.0,4225.35,4298.25,4295.0,4303.8,4447,19060729.3,1083
2024-05-16,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,4345.0,4388.0,4254.0,4341.7,4358.95,4298.25,7837,34013858.65,2343
2024-05-17,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,4362.75,4442.0,4326.1,4412.0,4410.0,4341.7,5404,23718546.6,1538
2024-05-21,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,4470.0,4499.0,4341.3,4413.5,4385.0,4427.8,3238,14237370.35,977
2024-05-22,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,4420.0,4465.0,4312.0,4387.0,4385.0,4413.5,5634,24793845.85,1746
2024-05-23,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,4430.85,4449.0,4375.1,4402.7,4416.0,4387.0,2870,12655295.7,988
2024-05-24,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,4415.0,4469.35,4389.3,4452.4,4448.0,4402.7,6533,29005133.45,1544
2024-05-27,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,4504.15,4735.6,4501.0,4552.25,4530.0,4452.4,12447,57100941.85,3964
2024-05-28,CM,INE029L01018,KICL,KALYANI INVEST CO LTD,4555.0,4590.4,4363.0,4450.9,4468.0,4552.25,5246,23352682.8,2199
