TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-04-04,CM,INE02CV01017,DRSDILIP,DRS DILIP ROADLINES LTD.,151.1,151.1,151.1,151.1,151.1,151.0,1600,241760.0,1
2024-04-12,CM,INE02CV01017,DRSDILIP,DRS DILIP ROADLINES LTD.,151.1,151.1,151.1,151.1,151.1,151.1,800,120880.0,1
2024-06-18,CM,INE02CV01017,DRSDILIP,DRS DILIP ROADLINES LTD.,148.0,148.0,148.0,148.0,148.0,151.1,800,118400.0,1
2024-06-19,CM,INE02CV01017,DRSDILIP,DRS DILIP ROADLINES LTD.,145.5,145.5,118.4,118.4,118.4,148.0,2400,305840.0,3
2024-06-20,CM,INE02CV01017,DRSDILIP,DRS DILIP ROADLINES LTD.,142.0,142.0,142.0,142.0,142.0,118.4,800,113600.0,1
2024-06-21,CM,INE02CV01017,DRSDILIP,DRS DILIP ROADLINES LTD.,141.0,141.0,141.0,141.0,141.0,142.0,800,112800.0,1
2024-06-24,CM,INE02CV01017,DRSDILIP,DRS DILIP ROADLINES LTD.,141.0,141.0,139.0,139.0,139.0,141.0,1600,224000.0,2
2024-06-25,CM,INE02CV01017,DRSDILIP,DRS DILIP ROADLINES LTD.,137.0,137.0,137.0,137.0,137.0,139.0,800,109600.0,1
2024-06-27,CM,INE02CV01017,DRSDILIP,DRS DILIP ROADLINES LTD.,135.0,135.0,135.0,135.0,135.0,137.0,800,108000.0,1
2024-07-01,CM,INE02CV01017,DRSDILIP,DRS DILIP ROADLINES LTD.,133.0,133.0,133.0,133.0,133.0,135.0,800,106400.0,1
2024-07-02,CM,INE02CV01017,DRSDILIP,DRS DILIP ROADLINES LTD.,131.0,131.0,131.0,131.0,131.0,133.0,800,104800.0,1
2024-07-03,CM,INE02CV01017,DRSDILIP,DRS DILIP ROADLINES LTD.,128.5,128.5,128.5,128.5,128.5,131.0,800,102800.0,1
2024-07-04,CM,INE02CV01017,DRSDILIP,DRS DILIP ROADLINES LTD.,126.0,126.0,126.0,126.0,126.0,128.5,800,100800.0,1
2024-07-18,CM,INE02CV01017,DRSDILIP,DRS DILIP ROADLINES LTD.,123.0,123.0,123.0,123.0,123.0,126.0,800,98400.0,1
2024-07-19,CM,INE02CV01017,DRSDILIP,DRS DILIP ROADLINES LTD.,120.0,120.0,120.0,120.0,120.0,123.0,800,96000.0,1
2024-07-23,CM,INE02CV01017,DRSDILIP,DRS DILIP ROADLINES LTD.,117.0,117.0,117.0,117.0,117.0,120.0,800,93600.0,1
2024-07-24,CM,INE02CV01017,DRSDILIP,DRS DILIP ROADLINES LTD.,114.0,114.0,114.0,114.0,114.0,117.0,800,91200.0,1
2024-07-25,CM,INE02CV01017,DRSDILIP,DRS DILIP ROADLINES LTD.,111.0,111.0,111.0,111.0,111.0,114.0,800,88800.0,1
2024-07-26,CM,INE02CV01017,DRSDILIP,DRS DILIP ROADLINES LTD.,108.0,108.0,108.0,108.0,108.0,111.0,800,86400.0,1
2024-08-08,CM,INE02CV01017,DRSDILIP,DRS DILIP ROADLINES LTD.,105.0,105.0,105.0,105.0,105.0,108.0,800,84000.0,1
2024-08-09,CM,INE02CV01017,DRSDILIP,DRS DILIP ROADLINES LTD.,102.0,102.0,102.0,102.0,102.0,105.0,800,81600.0,1
2024-08-12,CM,INE02CV01017,DRSDILIP,DRS DILIP ROADLINES LTD.,99.0,99.0,99.0,99.0,99.0,102.0,800,79200.0,1
2024-08-13,CM,INE02CV01017,DRSDILIP,DRS DILIP ROADLINES LTD.,96.0,96.0,96.0,96.0,96.0,99.0,800,76800.0,1
2024-08-14,CM,INE02CV01017,DRSDILIP,DRS DILIP ROADLINES LTD.,93.0,93.0,93.0,93.0,93.0,96.0,800,74400.0,1
2024-08-20,CM,INE02CV01017,DRSDILIP,DRS DILIP ROADLINES LTD.,90.0,111.6,76.0,111.0,111.0,93.0,24800,2460800.0,4
2024-08-23,CM,INE02CV01017,DRSDILIP,DRS DILIP ROADLINES LTD.,133.2,133.2,133.2,133.2,133.2,111.0,1600,213120.0,1
2024-09-02,CM,INE02CV01017,DRSDILIP,DRS DILIP ROADLINES LTD.,146.5,146.5,146.5,146.5,146.5,133.2,1600,234400.0,2
2024-09-03,CM,INE02CV01017,DRSDILIP,DRS DILIP ROADLINES LTD.,161.15,161.15,146.5,146.5,146.5,146.5,7200,1117000.0,9
2024-09-04,CM,INE02CV01017,DRSDILIP,DRS DILIP ROADLINES LTD.,161.15,161.15,132.0,138.5,132.0,146.5,3200,479440.0,4
2024-09-05,CM,INE02CV01017,DRSDILIP,DRS DILIP ROADLINES LTD.,139.0,139.0,125.1,127.85,125.55,138.5,8800,1125280.0,7
2024-09-06,CM,INE02CV01017,DRSDILIP,DRS DILIP ROADLINES LTD.,128.0,128.0,116.0,119.0,116.0,127.85,3200,380800.0,2
2024-09-09,CM,INE02CV01017,DRSDILIP,DRS DILIP ROADLINES LTD.,130.9,130.9,120.1,120.1,120.1,119.0,3200,410240.0,4
2024-09-12,CM,INE02CV01017,DRSDILIP,DRS DILIP ROADLINES LTD.,132.1,132.1,109.5,109.8,109.5,120.1,5600,650640.0,5
2024-09-13,CM,INE02CV01017,DRSDILIP,DRS DILIP ROADLINES LTD.,115.0,120.75,102.6,108.75,102.6,109.8,6400,728560.0,7
2024-09-16,CM,INE02CV01017,DRSDILIP,DRS DILIP ROADLINES LTD.,99.0,119.6,99.0,119.6,119.6,108.75,1600,174880.0,2
2024-09-17,CM,INE02CV01017,DRSDILIP,DRS DILIP ROADLINES LTD.,107.65,108.0,107.65,108.0,108.0,119.6,3200,345040.0,4
