TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INE02S501018,SHREEOSFM,SHREE OSFM E-MOBILITY LTD,89.95,91.25,82.6,85.05,84.7,86.95,388000,34175200.0,163
2024-01-02,CM,INE02S501018,SHREEOSFM,SHREE OSFM E-MOBILITY LTD,84.8,84.8,80.8,81.0,80.8,85.05,230000,18676000.0,99
2024-01-03,CM,INE02S501018,SHREEOSFM,SHREE OSFM E-MOBILITY LTD,78.0,85.05,78.0,85.05,85.05,81.0,172000,14287800.0,79
2024-01-04,CM,INE02S501018,SHREEOSFM,SHREE OSFM E-MOBILITY LTD,89.0,89.3,85.05,89.3,89.3,85.05,158000,14005700.0,61
2024-01-05,CM,INE02S501018,SHREEOSFM,SHREE OSFM E-MOBILITY LTD,93.5,97.2,85.0,91.65,92.5,89.3,214000,19698900.0,87
2024-01-08,CM,INE02S501018,SHREEOSFM,SHREE OSFM E-MOBILITY LTD,93.5,93.5,87.0,89.15,88.75,91.65,92000,8230800.0,46
2024-01-09,CM,INE02S501018,SHREEOSFM,SHREE OSFM E-MOBILITY LTD,87.0,103.95,87.0,100.5,99.8,89.15,286000,27424900.0,134
2024-01-10,CM,INE02S501018,SHREEOSFM,SHREE OSFM E-MOBILITY LTD,101.4,102.0,95.0,97.0,97.0,100.5,68000,6657300.0,34
2024-01-11,CM,INE02S501018,SHREEOSFM,SHREE OSFM E-MOBILITY LTD,96.95,98.4,92.65,96.85,95.2,97.0,66000,6312300.0,33
2024-01-12,CM,INE02S501018,SHREEOSFM,SHREE OSFM E-MOBILITY LTD,95.05,97.7,92.5,96.05,95.2,96.85,50000,4798700.0,25
2024-01-15,CM,INE02S501018,SHREEOSFM,SHREE OSFM E-MOBILITY LTD,86.0,96.1,86.0,91.7,91.7,96.05,46000,4290400.0,23
2024-01-16,CM,INE02S501018,SHREEOSFM,SHREE OSFM E-MOBILITY LTD,92.0,95.0,91.0,91.5,91.5,91.7,34000,3132400.0,17
2024-01-17,CM,INE02S501018,SHREEOSFM,SHREE OSFM E-MOBILITY LTD,90.0,92.7,89.45,91.0,91.0,91.5,56000,5080200.0,28
2024-01-18,CM,INE02S501018,SHREEOSFM,SHREE OSFM E-MOBILITY LTD,91.0,91.0,86.0,86.5,86.95,91.0,64000,5603800.0,32
2024-01-19,CM,INE02S501018,SHREEOSFM,SHREE OSFM E-MOBILITY LTD,89.5,90.0,87.0,89.8,90.0,86.5,30000,2670600.0,15
2024-01-23,CM,INE02S501018,SHREEOSFM,SHREE OSFM E-MOBILITY LTD,87.05,87.05,82.15,83.75,84.45,89.65,42000,3554700.0,21
2024-01-24,CM,INE02S501018,SHREEOSFM,SHREE OSFM E-MOBILITY LTD,84.4,85.0,81.75,83.4,83.45,83.75,32000,2661200.0,16
2024-01-25,CM,INE02S501018,SHREEOSFM,SHREE OSFM E-MOBILITY LTD,83.6,90.0,83.5,86.65,87.9,83.4,26000,2241200.0,13
2024-01-29,CM,INE02S501018,SHREEOSFM,SHREE OSFM E-MOBILITY LTD,87.0,88.0,85.0,85.5,85.0,86.65,18000,1559200.0,9
2024-01-30,CM,INE02S501018,SHREEOSFM,SHREE OSFM E-MOBILITY LTD,83.5,88.6,82.5,87.15,88.0,85.5,48000,4110600.0,16
2024-01-31,CM,INE02S501018,SHREEOSFM,SHREE OSFM E-MOBILITY LTD,89.85,89.85,87.0,87.5,87.0,87.15,28000,2488500.0,6
2024-02-01,CM,INE02S501018,SHREEOSFM,SHREE OSFM E-MOBILITY LTD,85.0,87.85,84.15,85.65,84.8,87.5,56000,4781900.0,22
