TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INE04LG01015,PAR,PAR DRUGS AND CHEM LTD,218.0,222.0,216.8,217.1,216.8,215.7,7782,1702998.2,334
2024-01-02,CM,INE04LG01015,PAR,PAR DRUGS AND CHEM LTD,222.0,222.0,212.5,217.35,212.5,217.1,18673,4048036.8,470
2024-01-03,CM,INE04LG01015,PAR,PAR DRUGS AND CHEM LTD,220.0,220.0,215.55,217.4,217.2,217.35,6354,1377330.05,265
2024-01-04,CM,INE04LG01015,PAR,PAR DRUGS AND CHEM LTD,223.85,223.85,216.0,218.95,219.0,217.4,8579,1881815.8,381
2024-01-05,CM,INE04LG01015,PAR,PAR DRUGS AND CHEM LTD,221.9,221.9,211.55,212.95,213.55,218.95,39049,8375946.15,717
2024-01-08,CM,INE04LG01015,PAR,PAR DRUGS AND CHEM LTD,213.0,220.8,211.55,219.05,220.8,212.95,22301,4848048.75,524
2024-01-09,CM,INE04LG01015,PAR,PAR DRUGS AND CHEM LTD,221.0,223.0,214.0,215.35,215.8,219.05,26722,5808234.8,472
2024-01-10,CM,INE04LG01015,PAR,PAR DRUGS AND CHEM LTD,218.35,218.35,207.3,211.25,212.85,215.35,28591,6074702.75,581
2024-01-11,CM,INE04LG01015,PAR,PAR DRUGS AND CHEM LTD,215.0,215.0,207.45,211.25,213.65,211.25,29693,6253328.0,659
2024-01-12,CM,INE04LG01015,PAR,PAR DRUGS AND CHEM LTD,211.8,216.6,211.75,213.8,214.05,211.25,14286,3065418.55,479
2024-01-15,CM,INE04LG01015,PAR,PAR DRUGS AND CHEM LTD,215.8,217.95,209.35,211.1,211.2,213.8,47658,10196877.6,610
2024-01-16,CM,INE04LG01015,PAR,PAR DRUGS AND CHEM LTD,211.1,214.1,206.05,207.8,208.95,211.1,13004,2730505.5,442
2024-01-17,CM,INE04LG01015,PAR,PAR DRUGS AND CHEM LTD,209.0,210.4,201.5,204.05,209.05,207.8,62275,12828567.85,757
2024-01-18,CM,INE04LG01015,PAR,PAR DRUGS AND CHEM LTD,214.2,214.2,205.8,206.8,207.0,204.05,12531,2605632.15,364
2024-01-19,CM,INE04LG01015,PAR,PAR DRUGS AND CHEM LTD,209.9,212.0,206.0,208.75,210.0,206.8,12970,2698648.8,438
2024-01-23,CM,INE04LG01015,PAR,PAR DRUGS AND CHEM LTD,210.0,210.0,193.9,196.6,201.9,205.9,57349,11396911.55,1891
2024-01-24,CM,INE04LG01015,PAR,PAR DRUGS AND CHEM LTD,203.6,203.6,195.15,199.55,202.2,196.6,17152,3400992.15,672
2024-01-25,CM,INE04LG01015,PAR,PAR DRUGS AND CHEM LTD,209.8,212.4,203.05,206.3,207.45,199.55,23027,4785620.8,560
2024-01-29,CM,INE04LG01015,PAR,PAR DRUGS AND CHEM LTD,206.3,211.1,206.0,206.2,206.0,206.3,7935,1656731.85,336
2024-01-30,CM,INE04LG01015,PAR,PAR DRUGS AND CHEM LTD,207.15,208.0,203.05,204.95,204.7,206.2,8745,1802542.15,293
2024-01-31,CM,INE04LG01015,PAR,PAR DRUGS AND CHEM LTD,204.7,208.0,198.5,203.85,205.9,204.95,9177,1865888.25,423
2024-02-01,CM,INE04LG01015,PAR,PAR DRUGS AND CHEM LTD,205.65,205.7,199.5,201.75,202.5,203.85,14555,2946871.05,637
2024-02-02,CM,INE04LG01015,PAR,PAR DRUGS AND CHEM LTD,201.1,204.0,195.55,198.85,197.9,201.75,41438,8269885.75,1420
2024-02-05,CM,INE04LG01015,PAR,PAR DRUGS AND CHEM LTD,197.15,200.0,190.15,192.15,194.45,198.85,38008,7412457.45,1033
2024-02-06,CM,INE04LG01015,PAR,PAR DRUGS AND CHEM LTD,199.0,199.0,192.3,195.35,196.7,192.15,13896,2715760.95,430
2024-02-07,CM,INE04LG01015,PAR,PAR DRUGS AND CHEM LTD,199.95,206.85,195.9,201.95,203.45,195.35,38218,7702514.3,653
2024-02-08,CM,INE04LG01015,PAR,PAR DRUGS AND CHEM LTD,205.0,214.65,198.55,211.4,214.0,201.95,44984,9348372.0,994
2024-02-09,CM,INE04LG01015,PAR,PAR DRUGS AND CHEM LTD,213.95,215.75,205.0,209.05,210.75,211.4,28207,5922528.8,654
2024-02-12,CM,INE04LG01015,PAR,PAR DRUGS AND CHEM LTD,200.2,211.75,200.2,202.85,203.0,209.05,15500,3181259.0,382
2024-02-13,CM,INE04LG01015,PAR,PAR DRUGS AND CHEM LTD,205.8,209.0,198.9,205.95,209.0,202.85,15488,3166527.95,449
2024-02-14,CM,INE04LG01015,PAR,PAR DRUGS AND CHEM LTD,202.1,215.0,197.0,211.8,213.75,205.95,31877,6700962.95,664
2024-02-15,CM,INE04LG01015,PAR,PAR DRUGS AND CHEM LTD,212.3,222.0,211.8,218.35,222.0,211.8,46540,10084509.6,844
2024-02-16,CM,INE04LG01015,PAR,PAR DRUGS AND CHEM LTD,224.5,230.0,217.0,226.1,227.9,218.35,104014,23421065.9,1599
2024-02-19,CM,INE04LG01015,PAR,PAR DRUGS AND CHEM LTD,235.0,235.0,214.1,217.8,218.0,226.1,84538,18749572.8,2183
2024-02-20,CM,INE04LG01015,PAR,PAR DRUGS AND CHEM LTD,223.8,223.8,211.5,213.6,215.0,217.8,27127,5847938.6,913
2024-02-21,CM,INE04LG01015,PAR,PAR DRUGS AND CHEM LTD,215.0,218.0,212.0,213.45,214.25,213.6,21861,4676356.55,599
2024-02-22,CM,INE04LG01015,PAR,PAR DRUGS AND CHEM LTD,212.0,216.0,208.0,209.95,210.95,213.45,14535,3072597.35,798
2024-02-23,CM,INE04LG01015,PAR,PAR DRUGS AND CHEM LTD,214.9,216.0,208.2,213.8,215.65,209.95,11953,2547156.45,365
2024-02-26,CM,INE04LG01015,PAR,PAR DRUGS AND CHEM LTD,215.1,217.0,208.0,212.2,212.35,213.8,16058,3416714.45,723
2024-02-27,CM,INE04LG01015,PAR,PAR DRUGS AND CHEM LTD,215.0,217.0,208.95,209.65,211.8,212.2,12318,2605692.75,550
2024-02-28,CM,INE04LG01015,PAR,PAR DRUGS AND CHEM LTD,213.0,213.0,203.1,205.75,204.1,209.65,24967,5139323.4,802
2024-02-29,CM,INE04LG01015,PAR,PAR DRUGS AND CHEM LTD,204.55,211.0,198.0,207.7,208.0,205.75,19323,3947075.05,681
2024-03-01,CM,INE04LG01015,PAR,PAR DRUGS AND CHEM LTD,207.7,209.0,201.15,204.1,204.0,207.7,12583,2581415.1,345
2024-03-04,CM,INE04LG01015,PAR,PAR DRUGS AND CHEM LTD,210.0,212.0,205.15,210.25,211.0,206.2,13634,2849449.85,439
2024-03-05,CM,INE04LG01015,PAR,PAR DRUGS AND CHEM LTD,206.35,209.8,204.5,206.8,205.1,210.25,9460,1955876.05,345
2024-03-06,CM,INE04LG01015,PAR,PAR DRUGS AND CHEM LTD,210.95,210.95,200.0,202.35,205.95,206.8,31909,6435260.8,656
2024-03-07,CM,INE04LG01015,PAR,PAR DRUGS AND CHEM LTD,203.0,212.0,203.0,210.6,206.0,202.35,10748,2243291.15,269
2024-03-11,CM,INE04LG01015,PAR,PAR DRUGS AND CHEM LTD,205.5,209.7,203.0,206.65,206.0,210.6,15675,3216230.25,533
