TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-02-23,CM,INE05DH01017,ATMASTCO,ATMASTCO LIMITED,91.0,95.55,90.05,95.55,95.55,77.0,4224000,393670720.0,2216
2024-02-26,CM,INE05DH01017,ATMASTCO,ATMASTCO LIMITED,100.3,100.3,100.3,100.3,100.3,95.55,244800,24553440.0,96
2024-02-27,CM,INE05DH01017,ATMASTCO,ATMASTCO LIMITED,105.3,105.3,105.3,105.3,105.3,100.3,72000,7581600.0,44
2024-02-28,CM,INE05DH01017,ATMASTCO,ATMASTCO LIMITED,110.55,110.55,110.55,110.55,110.55,105.3,126400,13973520.0,65
2024-02-29,CM,INE05DH01017,ATMASTCO,ATMASTCO LIMITED,116.05,116.05,109.0,116.05,116.05,110.55,2268800,262080000.0,921
2024-03-01,CM,INE05DH01017,ATMASTCO,ATMASTCO LIMITED,121.85,121.85,121.85,121.85,121.85,116.05,46400,5653840.0,23
2024-03-04,CM,INE05DH01017,ATMASTCO,ATMASTCO LIMITED,134.25,134.25,134.25,134.25,134.25,127.9,35200,4725600.0,18
2024-03-05,CM,INE05DH01017,ATMASTCO,ATMASTCO LIMITED,140.4,140.95,127.6,140.95,140.95,134.25,1561600,212177040.0,755
2024-03-06,CM,INE05DH01017,ATMASTCO,ATMASTCO LIMITED,140.9,147.95,133.9,146.25,147.95,140.95,854400,117613680.0,468
2024-03-07,CM,INE05DH01017,ATMASTCO,ATMASTCO LIMITED,150.0,153.55,148.5,153.55,153.55,146.25,241600,36892720.0,119
2024-03-11,CM,INE05DH01017,ATMASTCO,ATMASTCO LIMITED,169.95,184.25,158.1,164.65,163.0,153.55,1433600,248932480.0,805
2024-03-12,CM,INE05DH01017,ATMASTCO,ATMASTCO LIMITED,148.65,155.0,131.75,131.95,131.75,164.65,1352000,188068960.0,745
2024-03-13,CM,INE05DH01017,ATMASTCO,ATMASTCO LIMITED,138.0,145.0,115.0,133.55,134.0,131.95,969600,127647440.0,580
2024-03-14,CM,INE05DH01017,ATMASTCO,ATMASTCO LIMITED,134.0,153.9,134.0,143.4,148.95,133.55,585600,84905040.0,349
2024-03-15,CM,INE05DH01017,ATMASTCO,ATMASTCO LIMITED,147.0,154.3,139.0,145.3,146.0,143.4,324800,47313600.0,193
2024-03-18,CM,INE05DH01017,ATMASTCO,ATMASTCO LIMITED,145.4,147.95,139.0,139.9,139.0,145.3,184000,26236400.0,107
2024-03-19,CM,INE05DH01017,ATMASTCO,ATMASTCO LIMITED,140.0,144.8,135.55,138.1,138.0,139.9,137600,19261360.0,86
2024-03-20,CM,INE05DH01017,ATMASTCO,ATMASTCO LIMITED,139.4,141.85,137.0,137.6,137.0,138.1,100800,13956240.0,63
2024-03-21,CM,INE05DH01017,ATMASTCO,ATMASTCO LIMITED,149.7,149.7,140.0,141.3,140.8,137.6,182400,26331680.0,114
2024-03-22,CM,INE05DH01017,ATMASTCO,ATMASTCO LIMITED,143.65,146.0,138.0,139.35,140.0,141.3,224000,31749440.0,130
2024-03-26,CM,INE05DH01017,ATMASTCO,ATMASTCO LIMITED,141.7,143.0,125.0,130.05,131.5,139.35,324800,43437200.0,194
2024-03-27,CM,INE05DH01017,ATMASTCO,ATMASTCO LIMITED,131.5,132.3,125.1,126.95,126.1,130.05,174400,22417040.0,103
2024-03-28,CM,INE05DH01017,ATMASTCO,ATMASTCO LIMITED,127.5,143.5,126.05,142.25,142.0,126.95,337600,46061440.0,208
2024-04-01,CM,INE05DH01017,ATMASTCO,ATMASTCO LIMITED,145.0,158.25,144.0,152.85,153.0,142.25,320000,48979280.0,196
2024-04-02,CM,INE05DH01017,ATMASTCO,ATMASTCO LIMITED,152.85,157.45,152.85,154.9,153.55,152.85,164800,25533520.0,97
2024-04-03,CM,INE05DH01017,ATMASTCO,ATMASTCO LIMITED,155.9,160.95,153.45,158.95,158.5,154.9,267200,41982240.0,165
2024-04-04,CM,INE05DH01017,ATMASTCO,ATMASTCO LIMITED,161.7,168.7,154.0,157.8,161.0,158.95,196800,31422880.0,120
2024-04-05,CM,INE05DH01017,ATMASTCO,ATMASTCO LIMITED,157.05,159.0,154.65,155.6,155.0,157.8,134400,21014080.0,81
