TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INE06PV01010,CMNL,CHAMAN METALLICS LIMITED,62.85,65.6,62.05,64.8,64.5,61.45,99000,6354825.0,65
2024-01-02,CM,INE06PV01010,CMNL,CHAMAN METALLICS LIMITED,64.75,65.65,63.35,63.85,64.0,64.8,42000,2700375.0,28
2024-01-03,CM,INE06PV01010,CMNL,CHAMAN METALLICS LIMITED,63.85,64.8,63.45,64.2,64.2,63.85,24000,1545150.0,15
2024-01-04,CM,INE06PV01010,CMNL,CHAMAN METALLICS LIMITED,65.0,65.0,62.6,63.0,63.0,64.2,64500,4081650.0,41
2024-01-05,CM,INE06PV01010,CMNL,CHAMAN METALLICS LIMITED,63.05,64.5,63.0,63.9,64.05,63.0,61500,3915150.0,41
2024-01-08,CM,INE06PV01010,CMNL,CHAMAN METALLICS LIMITED,64.45,69.0,64.35,68.05,68.05,63.9,259500,17409000.0,161
2024-01-09,CM,INE06PV01010,CMNL,CHAMAN METALLICS LIMITED,68.4,71.3,68.4,70.1,70.05,68.05,216000,15146925.0,126
2024-01-10,CM,INE06PV01010,CMNL,CHAMAN METALLICS LIMITED,70.85,84.1,70.85,84.1,84.1,70.1,807000,64437900.0,487
2024-01-11,CM,INE06PV01010,CMNL,CHAMAN METALLICS LIMITED,98.9,98.9,90.6,94.25,94.5,84.1,631500,59956350.0,365
2024-01-12,CM,INE06PV01010,CMNL,CHAMAN METALLICS LIMITED,94.0,94.95,86.3,89.7,90.1,94.25,297000,26759700.0,179
2024-01-15,CM,INE06PV01010,CMNL,CHAMAN METALLICS LIMITED,91.15,95.5,91.15,93.15,92.6,89.7,115500,10874700.0,74
2024-01-16,CM,INE06PV01010,CMNL,CHAMAN METALLICS LIMITED,93.95,95.75,91.5,92.95,93.45,93.15,90000,8401950.0,57
2024-01-17,CM,INE06PV01010,CMNL,CHAMAN METALLICS LIMITED,91.0,93.4,89.4,91.55,91.7,92.95,63000,5738325.0,39
2024-01-18,CM,INE06PV01010,CMNL,CHAMAN METALLICS LIMITED,91.8,91.8,87.1,90.9,90.9,91.55,124500,11182125.0,74
2024-01-19,CM,INE06PV01010,CMNL,CHAMAN METALLICS LIMITED,91.75,93.95,91.75,92.5,92.9,90.9,60000,5560800.0,37
2024-01-23,CM,INE06PV01010,CMNL,CHAMAN METALLICS LIMITED,95.0,96.0,89.25,90.45,89.25,94.35,112500,10393950.0,66
2024-01-24,CM,INE06PV01010,CMNL,CHAMAN METALLICS LIMITED,89.6,99.45,89.5,98.95,99.45,90.45,315000,30588000.0,186
2024-01-25,CM,INE06PV01010,CMNL,CHAMAN METALLICS LIMITED,101.3,106.95,98.6,106.1,105.45,98.95,295500,30487575.0,175
2024-01-29,CM,INE06PV01010,CMNL,CHAMAN METALLICS LIMITED,108.95,114.65,108.95,110.4,109.75,106.1,291000,32375550.0,170
2024-01-30,CM,INE06PV01010,CMNL,CHAMAN METALLICS LIMITED,113.0,113.8,107.15,111.25,112.0,110.4,142500,15886500.0,84
2024-01-31,CM,INE06PV01010,CMNL,CHAMAN METALLICS LIMITED,113.6,114.55,110.0,110.6,110.05,111.25,70500,7958475.0,47
2024-02-01,CM,INE06PV01010,CMNL,CHAMAN METALLICS LIMITED,110.6,111.5,107.0,107.0,107.0,110.6,48000,5217450.0,31
2024-02-02,CM,INE06PV01010,CMNL,CHAMAN METALLICS LIMITED,109.95,111.0,109.0,109.15,109.0,107.0,40500,4450500.0,24
2024-02-05,CM,INE06PV01010,CMNL,CHAMAN METALLICS LIMITED,109.6,113.45,98.25,100.55,98.85,109.15,106500,11188425.0,65
2024-02-06,CM,INE06PV01010,CMNL,CHAMAN METALLICS LIMITED,100.5,109.95,100.5,104.85,107.05,100.55,141000,14928375.0,79
2024-02-07,CM,INE06PV01010,CMNL,CHAMAN METALLICS LIMITED,105.05,105.1,100.1,101.75,100.1,104.85,40500,4179075.0,26
2024-02-08,CM,INE06PV01010,CMNL,CHAMAN METALLICS LIMITED,100.1,101.65,95.0,99.4,98.55,101.75,96000,9493125.0,53
2024-02-09,CM,INE06PV01010,CMNL,CHAMAN METALLICS LIMITED,98.0,100.9,97.1,98.95,98.05,99.4,36000,3559125.0,24
2024-02-12,CM,INE06PV01010,CMNL,CHAMAN METALLICS LIMITED,100.95,100.95,95.0,96.0,95.0,98.95,58500,5676300.0,31
2024-02-13,CM,INE06PV01010,CMNL,CHAMAN METALLICS LIMITED,92.25,94.85,87.0,94.05,94.85,96.0,72000,6601050.0,45
2024-02-14,CM,INE06PV01010,CMNL,CHAMAN METALLICS LIMITED,93.0,99.95,90.0,99.15,99.85,94.05,84000,7913700.0,53
2024-02-15,CM,INE06PV01010,CMNL,CHAMAN METALLICS LIMITED,101.0,104.95,100.45,103.0,103.0,99.15,57000,5852850.0,37
2024-02-16,CM,INE06PV01010,CMNL,CHAMAN METALLICS LIMITED,103.25,103.25,98.2,98.9,99.2,103.0,36000,3626850.0,23
2024-02-19,CM,INE06PV01010,CMNL,CHAMAN METALLICS LIMITED,106.95,106.95,100.9,101.85,102.5,98.9,57000,5850675.0,31
2024-02-20,CM,INE06PV01010,CMNL,CHAMAN METALLICS LIMITED,101.75,101.95,100.0,101.95,101.95,101.85,18000,1818825.0,12
2024-02-21,CM,INE06PV01010,CMNL,CHAMAN METALLICS LIMITED,101.55,101.55,98.3,98.65,98.65,101.95,40500,4053750.0,27
2024-02-22,CM,INE06PV01010,CMNL,CHAMAN METALLICS LIMITED,98.0,99.95,97.0,99.6,99.95,98.65,19500,1918575.0,13
2024-02-23,CM,INE06PV01010,CMNL,CHAMAN METALLICS LIMITED,97.0,108.75,97.0,107.15,106.55,99.6,90000,9410175.0,57
2024-02-26,CM,INE06PV01010,CMNL,CHAMAN METALLICS LIMITED,110.95,110.95,105.0,106.75,106.75,107.15,51000,5487000.0,34
2024-02-27,CM,INE06PV01010,CMNL,CHAMAN METALLICS LIMITED,105.2,108.75,103.4,103.45,103.4,106.75,36000,3830100.0,24
2024-02-28,CM,INE06PV01010,CMNL,CHAMAN METALLICS LIMITED,103.15,103.15,99.1,101.0,101.0,103.45,34500,3477375.0,19
2024-02-29,CM,INE06PV01010,CMNL,CHAMAN METALLICS LIMITED,99.05,102.9,99.0,99.4,99.0,101.0,18000,1796100.0,12
2024-03-01,CM,INE06PV01010,CMNL,CHAMAN METALLICS LIMITED,103.55,103.55,101.0,101.0,101.0,99.4,10500,1066275.0,7
2024-03-04,CM,INE06PV01010,CMNL,CHAMAN METALLICS LIMITED,100.1,101.95,99.0,99.1,99.0,101.3,13500,1359225.0,9
2024-03-05,CM,INE06PV01010,CMNL,CHAMAN METALLICS LIMITED,98.0,98.3,96.0,97.0,97.0,99.1,15000,1461225.0,9
2024-03-06,CM,INE06PV01010,CMNL,CHAMAN METALLICS LIMITED,94.05,97.5,93.0,93.9,94.0,97.0,40500,3826725.0,26
2024-03-07,CM,INE06PV01010,CMNL,CHAMAN METALLICS LIMITED,93.55,93.65,92.7,93.05,93.0,93.9,21000,1958625.0,13
2024-03-11,CM,INE06PV01010,CMNL,CHAMAN METALLICS LIMITED,96.6,96.6,89.5,89.95,89.5,93.05,39000,3590175.0,24
2024-03-12,CM,INE06PV01010,CMNL,CHAMAN METALLICS LIMITED,86.05,88.45,80.95,80.95,80.95,89.95,133500,11026425.0,83
