TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,11.5,12.05,11.3,12.05,12.05,11.5,692472,8250947.65,1609
2024-01-02,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,11.8,11.8,11.8,11.8,11.8,12.05,219622,2591539.6,457
2024-01-03,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,11.6,11.6,11.6,11.6,11.6,11.8,107594,1248090.4,320
2024-01-04,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,11.4,11.4,11.4,11.4,11.4,11.6,186642,2127718.8,450
2024-01-05,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,11.3,11.3,11.2,11.2,11.2,11.4,229925,2581324.6,439
2024-01-08,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,11.0,11.0,11.0,11.0,11.0,11.2,120420,1324620.0,399
2024-01-09,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,10.8,10.8,10.8,10.8,10.8,11.0,110653,1195052.4,386
2024-01-10,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,10.6,10.6,10.6,10.6,10.6,10.8,84146,891947.6,341
2024-01-11,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,10.4,10.4,10.4,10.4,10.4,10.6,80074,832769.6,406
2024-01-12,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,10.2,10.2,10.2,10.2,10.2,10.4,128223,1307874.6,359
2024-01-15,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,10.0,10.05,10.0,10.0,10.0,10.2,235633,2363540.4,758
2024-01-16,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,10.0,10.0,9.8,9.9,9.9,10.0,230040,2278030.6,510
2024-01-17,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,9.9,10.0,9.9,9.95,9.95,9.9,163781,1629426.55,436
2024-01-18,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,9.95,9.95,9.9,9.9,9.9,9.95,171839,1702824.75,371
2024-01-19,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,9.9,9.9,9.7,9.7,9.7,9.9,144750,1414678.45,504
2024-01-23,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,9.35,9.35,9.35,9.35,9.35,9.5,87065,814057.75,342
2024-01-24,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,9.2,9.2,9.2,9.2,9.2,9.35,78585,722982.0,334
2024-01-25,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,9.05,9.05,9.05,9.05,9.05,9.2,140629,1272692.45,436
2024-01-29,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,9.05,9.05,9.05,9.05,9.05,9.05,185792,1681417.6,465
2024-01-30,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,9.05,9.1,9.0,9.1,9.1,9.05,193204,1747287.6,333
2024-01-31,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,9.1,9.25,9.1,9.25,9.25,9.1,136335,1245145.35,262
2024-02-01,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,9.4,9.4,9.4,9.4,9.4,9.25,69182,650310.8,172
2024-02-02,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,9.55,9.55,9.55,9.55,9.55,9.4,62713,598909.15,116
2024-02-05,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,10.0,10.0,10.0,10.0,10.0,9.55,267786,2677860.0,488
2024-02-06,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,10.5,10.5,10.5,10.5,10.5,10.0,136667,1435003.5,253
2024-02-07,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,11.0,11.0,11.0,11.0,11.0,10.5,228633,2514963.0,261
2024-02-08,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,11.55,11.55,11.0,11.55,11.55,11.0,1209235,13915687.5,2403
2024-02-09,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,12.1,12.1,11.7,12.1,12.1,11.55,1312007,15714239.0,3152
2024-02-12,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,12.65,12.7,12.35,12.7,12.7,12.1,1219434,15477573.85,3379
2024-02-13,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,12.7,12.7,12.1,12.1,12.1,12.7,336824,4112492.55,1368
2024-02-14,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,11.85,11.85,11.85,11.85,11.85,12.1,50156,594348.6,245
2024-02-15,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,11.65,11.65,11.65,11.65,11.65,11.85,148405,1728918.25,332
2024-02-16,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,11.45,11.45,11.45,11.45,11.45,11.65,157174,1799642.3,318
2024-02-19,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,11.25,11.25,11.25,11.25,11.25,11.45,65783,740058.75,310
2024-02-20,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,11.05,11.05,11.05,11.05,11.05,11.25,166116,1835581.8,370
2024-02-21,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,10.85,10.85,10.85,10.85,10.85,11.05,50468,547577.8,259
2024-02-22,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,10.65,10.85,10.65,10.85,10.85,10.85,234306,2531977.9,507
2024-02-23,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,10.65,10.65,10.65,10.65,10.65,10.85,102276,1089239.4,385
2024-02-26,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,10.45,10.45,10.45,10.45,10.45,10.65,46177,482549.65,223
2024-02-27,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,10.25,10.25,10.25,10.25,10.25,10.45,35074,359508.5,236
2024-02-28,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,10.15,10.15,10.05,10.05,10.05,10.25,50756,510550.1,235
2024-02-29,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,9.85,9.85,9.85,9.85,9.85,10.05,41549,409257.65,311
2024-03-01,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,9.85,10.0,9.85,10.0,10.0,9.85,122648,1221496.25,278
2024-03-04,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,10.4,10.4,10.4,10.4,10.4,10.2,77139,802245.6,238
2024-03-05,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,10.6,10.6,10.6,10.6,10.6,10.4,52923,560983.8,131
2024-03-06,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,10.6,10.6,10.4,10.4,10.4,10.6,120709,1266162.4,174
2024-03-07,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,10.2,10.2,10.2,10.2,10.2,10.4,105465,1075743.0,222
2024-03-11,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,10.1,10.1,10.0,10.0,10.0,10.2,40357,404304.5,184
2024-03-12,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,9.8,9.8,9.8,9.8,9.8,10.0,27389,268412.2,133
2024-03-13,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,9.6,9.6,9.6,9.6,9.6,9.8,20795,199632.0,132
2024-03-14,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,9.4,9.4,9.4,9.4,9.4,9.6,31268,293919.2,216
2024-03-15,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,9.25,9.25,9.25,9.25,9.25,9.4,40765,377076.25,133
2024-03-18,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,9.0,9.25,8.8,8.8,8.8,9.25,518484,4579850.2,1175
2024-03-19,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,8.7,8.8,8.4,8.65,8.8,8.8,600546,5125431.7,1160
2024-03-20,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,8.5,9.05,8.25,9.0,9.05,8.65,285759,2559852.65,890
2024-03-21,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,9.25,9.45,9.15,9.45,9.45,9.0,110030,1032311.35,409
2024-03-22,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,9.9,9.9,9.65,9.9,9.9,9.45,157739,1560416.3,335
2024-03-26,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,10.35,10.35,9.9,9.95,9.95,9.9,381730,3846431.25,1039
2024-03-27,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,9.95,10.35,9.45,9.6,9.7,9.95,475111,4580337.5,954
2024-03-28,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,9.8,9.9,9.15,9.15,9.15,9.6,362324,3342262.85,793
2024-04-01,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,9.15,10.05,8.3,9.7,9.75,9.15,533811,4987435.5,1357
2024-04-02,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,10.15,10.15,9.7,10.1,10.15,9.7,326706,3266188.45,1149
2024-04-03,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,10.1,11.1,10.1,11.1,11.1,10.1,678972,7367508.5,1768
2024-04-04,CM,INE087Z01024,AAKASH,AAKASH EXPLORATION SER L,11.3,12.2,11.3,12.2,12.2,11.1,1385055,16646226.5,2953
