TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INE08ZM01014,GREENPANEL,GREENPANEL INDUSTRIES LTD,428.2,434.25,416.25,419.4,417.45,428.2,350373,148686133.4,14779
2024-01-02,CM,INE08ZM01014,GREENPANEL,GREENPANEL INDUSTRIES LTD,421.85,426.9,409.3,423.7,423.0,419.4,424401,178224549.2,19752
2024-01-03,CM,INE08ZM01014,GREENPANEL,GREENPANEL INDUSTRIES LTD,421.95,425.5,417.1,422.3,423.0,423.7,266688,112485225.2,15701
2024-01-04,CM,INE08ZM01014,GREENPANEL,GREENPANEL INDUSTRIES LTD,423.5,442.8,413.4,439.85,440.0,422.3,798316,343796546.5,29529
2024-01-05,CM,INE08ZM01014,GREENPANEL,GREENPANEL INDUSTRIES LTD,442.75,449.9,432.0,440.2,432.8,439.85,536073,236316761.7,22226
2024-01-08,CM,INE08ZM01014,GREENPANEL,GREENPANEL INDUSTRIES LTD,439.95,441.45,423.0,424.7,426.5,440.2,210997,90694452.3,13739
2024-01-09,CM,INE08ZM01014,GREENPANEL,GREENPANEL INDUSTRIES LTD,426.8,431.35,418.5,421.0,422.0,424.7,145677,61708342.7,11830
2024-01-10,CM,INE08ZM01014,GREENPANEL,GREENPANEL INDUSTRIES LTD,421.0,422.7,408.3,412.2,411.0,421.0,225025,93001920.1,13387
2024-01-11,CM,INE08ZM01014,GREENPANEL,GREENPANEL INDUSTRIES LTD,412.2,421.7,412.0,414.25,414.15,412.2,152798,63460728.0,11257
2024-01-12,CM,INE08ZM01014,GREENPANEL,GREENPANEL INDUSTRIES LTD,416.5,420.9,408.65,413.9,411.8,414.25,138326,57678453.3,12867
2024-01-15,CM,INE08ZM01014,GREENPANEL,GREENPANEL INDUSTRIES LTD,410.2,415.0,403.45,404.4,403.6,413.9,190984,77805292.4,12108
2024-01-16,CM,INE08ZM01014,GREENPANEL,GREENPANEL INDUSTRIES LTD,406.4,423.3,405.4,410.4,410.0,404.4,434570,180239623.6,23650
2024-01-17,CM,INE08ZM01014,GREENPANEL,GREENPANEL INDUSTRIES LTD,410.35,412.85,402.5,404.1,406.9,410.4,174242,70957133.2,10408
2024-01-18,CM,INE08ZM01014,GREENPANEL,GREENPANEL INDUSTRIES LTD,406.0,408.75,387.65,389.8,390.0,404.1,476601,187288803.85,27294
2024-01-19,CM,INE08ZM01014,GREENPANEL,GREENPANEL INDUSTRIES LTD,396.0,402.45,392.95,395.65,398.0,389.8,259100,102769583.3,13226
2024-01-23,CM,INE08ZM01014,GREENPANEL,GREENPANEL INDUSTRIES LTD,403.0,418.35,389.35,391.55,392.8,392.85,834272,335626032.35,37147
2024-01-24,CM,INE08ZM01014,GREENPANEL,GREENPANEL INDUSTRIES LTD,393.0,404.0,384.3,402.55,402.6,391.55,227198,89971888.45,17091
2024-01-25,CM,INE08ZM01014,GREENPANEL,GREENPANEL INDUSTRIES LTD,404.55,407.35,394.65,396.3,396.0,402.55,150432,60103800.15,9812
2024-01-29,CM,INE08ZM01014,GREENPANEL,GREENPANEL INDUSTRIES LTD,402.95,409.0,393.8,397.7,395.0,396.3,346910,139754652.05,16757
2024-01-30,CM,INE08ZM01014,GREENPANEL,GREENPANEL INDUSTRIES LTD,397.55,412.0,396.05,408.3,409.35,397.7,249089,101455230.55,15191
2024-01-31,CM,INE08ZM01014,GREENPANEL,GREENPANEL INDUSTRIES LTD,410.35,419.0,395.0,399.55,397.0,408.3,599302,245026570.7,31088
2024-02-01,CM,INE08ZM01014,GREENPANEL,GREENPANEL INDUSTRIES LTD,391.05,391.05,379.0,387.65,387.95,399.55,640559,246401415.6,25742
2024-02-02,CM,INE08ZM01014,GREENPANEL,GREENPANEL INDUSTRIES LTD,387.0,395.5,380.25,391.1,395.3,387.65,356987,138071180.35,20318
2024-02-05,CM,INE08ZM01014,GREENPANEL,GREENPANEL INDUSTRIES LTD,396.5,397.95,382.1,383.3,383.45,391.1,318766,123034678.7,20552
2024-02-06,CM,INE08ZM01014,GREENPANEL,GREENPANEL INDUSTRIES LTD,390.0,390.0,374.85,381.35,382.4,383.3,255992,97362113.1,16531
2024-02-07,CM,INE08ZM01014,GREENPANEL,GREENPANEL INDUSTRIES LTD,385.0,390.5,380.0,387.85,388.0,381.35,178286,68990318.9,11348
2024-02-08,CM,INE08ZM01014,GREENPANEL,GREENPANEL INDUSTRIES LTD,387.9,390.15,381.9,384.85,386.7,387.85,137013,52588446.35,10770
2024-02-09,CM,INE08ZM01014,GREENPANEL,GREENPANEL INDUSTRIES LTD,385.05,389.4,381.8,383.25,383.1,384.85,134064,51519362.05,8011
2024-02-12,CM,INE08ZM01014,GREENPANEL,GREENPANEL INDUSTRIES LTD,383.3,386.0,373.55,381.1,381.0,383.25,167461,63696673.6,11721
2024-02-13,CM,INE08ZM01014,GREENPANEL,GREENPANEL INDUSTRIES LTD,381.15,382.05,367.15,369.0,369.95,381.1,222570,83190420.15,13181
2024-02-14,CM,INE08ZM01014,GREENPANEL,GREENPANEL INDUSTRIES LTD,369.0,370.85,359.0,362.1,360.0,369.0,188199,68697839.4,13326
2024-02-15,CM,INE08ZM01014,GREENPANEL,GREENPANEL INDUSTRIES LTD,360.0,368.45,358.0,359.45,360.0,362.1,199741,72370036.2,13994
2024-02-16,CM,INE08ZM01014,GREENPANEL,GREENPANEL INDUSTRIES LTD,360.95,368.4,358.3,360.0,359.5,359.45,214738,77523251.15,13531
2024-02-19,CM,INE08ZM01014,GREENPANEL,GREENPANEL INDUSTRIES LTD,361.0,365.45,360.0,362.8,363.0,360.0,173595,62895144.45,7560
2024-02-20,CM,INE08ZM01014,GREENPANEL,GREENPANEL INDUSTRIES LTD,364.6,373.0,361.95,365.05,363.5,362.8,189105,69456244.25,11949
2024-02-21,CM,INE08ZM01014,GREENPANEL,GREENPANEL INDUSTRIES LTD,367.8,368.95,361.0,362.5,361.05,365.05,79990,29164910.7,7226
2024-02-22,CM,INE08ZM01014,GREENPANEL,GREENPANEL INDUSTRIES LTD,364.3,366.0,358.05,363.15,366.0,362.5,92956,33661099.25,8337
2024-02-23,CM,INE08ZM01014,GREENPANEL,GREENPANEL INDUSTRIES LTD,362.0,385.4,362.0,379.8,380.0,363.15,441735,166672747.7,22378
2024-02-26,CM,INE08ZM01014,GREENPANEL,GREENPANEL INDUSTRIES LTD,381.75,396.5,381.0,395.05,393.7,379.8,486674,190481751.8,31386
2024-02-27,CM,INE08ZM01014,GREENPANEL,GREENPANEL INDUSTRIES LTD,400.0,400.95,385.0,390.5,389.0,395.05,397115,156560748.5,21903
2024-02-28,CM,INE08ZM01014,GREENPANEL,GREENPANEL INDUSTRIES LTD,390.4,391.25,371.2,373.15,372.55,390.5,173714,66054384.7,14177
2024-02-29,CM,INE08ZM01014,GREENPANEL,GREENPANEL INDUSTRIES LTD,369.05,388.0,365.3,385.4,387.9,373.15,241934,92009529.75,16328
2024-03-01,CM,INE08ZM01014,GREENPANEL,GREENPANEL INDUSTRIES LTD,384.95,388.65,373.15,374.7,375.0,385.4,162898,61922419.1,11605
2024-03-04,CM,INE08ZM01014,GREENPANEL,GREENPANEL INDUSTRIES LTD,384.7,386.9,375.0,380.9,378.0,382.05,140862,53667055.15,13231
2024-03-05,CM,INE08ZM01014,GREENPANEL,GREENPANEL INDUSTRIES LTD,380.4,380.4,370.1,372.35,373.6,380.9,101513,37952302.8,8711
2024-03-06,CM,INE08ZM01014,GREENPANEL,GREENPANEL INDUSTRIES LTD,373.45,374.2,358.95,363.25,361.85,372.35,221728,80557396.6,16755
2024-03-07,CM,INE08ZM01014,GREENPANEL,GREENPANEL INDUSTRIES LTD,365.0,367.45,354.85,358.75,358.5,363.25,185731,66861018.95,13609
2024-03-11,CM,INE08ZM01014,GREENPANEL,GREENPANEL INDUSTRIES LTD,358.5,358.5,346.0,347.5,347.2,358.75,202535,71147541.75,15152
2024-03-12,CM,INE08ZM01014,GREENPANEL,GREENPANEL INDUSTRIES LTD,349.15,349.2,333.45,340.75,340.75,347.5,264314,89653005.55,15915
2024-03-13,CM,INE08ZM01014,GREENPANEL,GREENPANEL INDUSTRIES LTD,341.0,344.65,324.5,330.3,332.15,340.75,376807,124458347.3,25838
2024-03-14,CM,INE08ZM01014,GREENPANEL,GREENPANEL INDUSTRIES LTD,327.55,332.0,317.3,320.5,321.35,330.3,736677,239141893.95,30536
