TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD,2.2,2.2,2.15,2.15,2.2,2.2,62263,135673.45,179
2024-01-02,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD,2.2,2.25,2.15,2.2,2.2,2.15,132191,290037.4,168
2024-01-03,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD,2.25,2.3,2.2,2.3,2.3,2.2,568591,1300442.05,397
2024-01-04,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD,2.35,2.4,2.3,2.4,2.4,2.3,276598,656505.95,507
2024-01-05,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD,2.5,2.5,2.5,2.5,2.5,2.4,91165,227912.5,109
2024-01-08,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD,2.5,2.6,2.5,2.6,2.6,2.5,42272,107375.5,52
2024-01-09,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD,2.5,2.7,2.5,2.7,2.7,2.6,559383,1447850.05,82
2024-01-10,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD,2.75,2.75,2.6,2.6,2.6,2.7,232445,611086.25,65
2024-01-11,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD,2.6,2.6,2.5,2.5,2.5,2.6,40587,102110.3,38
2024-01-12,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD,2.4,2.5,2.4,2.5,2.5,2.5,48270,117261.5,33
2024-01-15,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD,2.5,2.5,2.4,2.4,2.4,2.5,31940,77384.0,43
2024-01-16,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD,2.4,2.4,2.3,2.3,2.3,2.4,12909,29819.3,30
2024-01-17,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD,2.2,2.2,2.2,2.2,2.2,2.3,22784,50124.8,28
2024-01-18,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD,2.1,2.3,2.1,2.3,2.3,2.2,107457,239286.65,90
2024-01-19,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD,2.3,2.35,2.3,2.35,2.35,2.3,20890,48787.55,36
2024-01-23,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD,2.35,2.35,2.25,2.25,2.25,2.35,20737,48389.25,26
2024-01-24,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD,2.15,2.25,2.15,2.25,2.25,2.25,45210,98705.0,31
2024-01-25,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD,2.2,2.25,2.2,2.25,2.25,2.25,53837,120989.15,46
2024-01-29,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD,2.25,2.25,2.15,2.15,2.15,2.25,85045,182914.45,65
2024-01-30,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD,2.15,2.15,2.05,2.05,2.05,2.15,115265,236967.6,91
2024-01-31,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD,2.15,2.15,2.0,2.0,2.0,2.05,80018,163131.9,53
2024-02-01,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD,2.0,2.0,1.95,1.95,1.95,2.0,189256,375640.2,56
2024-02-02,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD,2.0,2.0,1.85,1.9,1.9,1.95,148007,278077.2,121
2024-02-05,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD,1.9,1.95,1.8,1.8,1.8,1.9,121016,223281.95,83
2024-02-06,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD,1.75,1.85,1.75,1.85,1.85,1.8,147756,262630.7,81
2024-02-07,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD,1.85,1.9,1.85,1.9,1.9,1.85,14065,26580.25,31
2024-02-08,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD,1.9,1.9,1.8,1.9,1.9,1.9,203345,380552.8,113
2024-02-09,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD,1.9,1.95,1.9,1.95,1.95,1.9,140053,269358.05,99
2024-02-12,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD,2.0,2.0,2.0,2.0,2.0,1.95,6777,13554.0,12
2024-02-13,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD,2.1,2.1,2.1,2.1,2.1,2.0,111692,234553.2,143
2024-02-14,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD,2.2,2.2,2.2,2.2,2.2,2.1,89441,196770.2,96
2024-02-15,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD,2.3,2.3,2.3,2.3,2.3,2.2,12688,29182.4,35
2024-02-16,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD,2.4,2.4,2.4,2.4,2.4,2.3,76307,183136.8,97
2024-02-19,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD,2.4,2.4,2.4,2.4,2.4,2.4,65664,157593.6,108
2024-02-20,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD,2.35,2.35,2.3,2.3,2.3,2.4,174013,400955.4,127
2024-02-21,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD,2.3,2.3,2.2,2.25,2.25,2.3,63116,139865.6,75
2024-02-22,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD.,2.25,2.25,2.15,2.2,2.2,2.25,40582,89467.2,67
2024-02-23,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD.,2.15,2.2,2.1,2.2,2.2,2.2,56202,122754.3,31
2024-02-26,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD.,2.1,2.2,2.1,2.2,2.2,2.2,32179,67685.8,37
2024-02-27,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD.,2.2,2.2,2.15,2.15,2.15,2.2,7577,16513.65,39
2024-02-28,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD.,2.15,2.15,2.15,2.15,2.15,2.15,10518,22613.7,32
2024-02-29,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD.,2.15,2.15,2.1,2.1,2.1,2.15,12396,26108.3,35
2024-03-01,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD.,2.1,2.15,2.0,2.15,2.15,2.1,56928,119518.8,55
2024-03-04,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD.,2.35,2.35,2.3,2.35,2.35,2.25,9676,22424.75,37
2024-03-05,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD.,2.3,2.3,2.25,2.25,2.25,2.35,22412,51068.0,54
2024-03-06,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD.,2.25,2.25,2.15,2.15,2.15,2.25,10101,21881.15,31
2024-03-07,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD.,2.15,2.15,2.15,2.15,2.15,2.15,4214,9060.1,26
2024-03-11,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD.,2.1,2.1,2.1,2.1,2.1,2.15,9424,19790.4,52
2024-03-12,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD.,2.0,2.0,2.0,2.0,2.0,2.1,11350,22700.0,22
2024-03-13,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD.,2.0,2.0,2.0,2.0,2.0,2.0,5891,11782.0,26
2024-03-14,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD.,2.0,2.05,2.0,2.05,2.05,2.0,16779,34208.3,54
2024-03-15,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD.,1.95,1.95,1.95,1.95,1.95,2.05,68028,132654.6,60
2024-03-18,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD.,1.85,2.0,1.85,2.0,2.0,1.95,43621,82624.15,37
2024-03-19,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD.,2.0,2.0,2.0,2.0,2.0,2.0,6774,13548.0,15
2024-03-20,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD.,2.0,2.0,1.9,1.95,1.95,2.0,9600,18442.75,25
2024-03-21,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD.,1.95,1.95,1.9,1.95,1.95,1.95,22074,42005.6,39
2024-03-22,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD.,1.9,1.95,1.9,1.95,1.95,1.95,18965,36735.35,49
2024-03-26,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD.,1.95,1.95,1.95,1.95,1.95,1.95,7297,14229.15,34
2024-03-27,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD.,1.9,1.9,1.85,1.9,1.9,1.95,21976,41586.9,57
2024-03-28,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD.,1.8,1.9,1.8,1.9,1.9,1.9,17416,31924.6,39
2024-04-01,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD.,1.9,1.9,1.9,1.9,1.9,1.9,13128,24943.2,28
2024-04-02,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD.,1.95,1.95,1.95,1.95,1.95,1.9,3440,6708.0,13
2024-04-03,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD.,2.0,2.0,2.0,2.0,2.0,1.95,1502,3004.0,6
2024-04-04,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD.,2.05,2.05,2.05,2.05,2.05,2.0,9120,18696.0,36
2024-04-05,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD.,2.1,2.15,2.1,2.15,2.15,2.05,10519,22488.55,15
2024-04-08,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD.,2.2,2.25,2.15,2.25,2.25,2.15,142580,317954.15,397
2024-04-09,CM,INE093B01015,ALPSINDUS,ALPS INDUSTRIES LTD.,2.3,2.35,2.2,2.35,2.35,2.25,125653,294079.9,431
