TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,406.0,406.5,398.1,399.6,399.3,398.9,5801006,2325344668.75,47089
2024-01-02,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,401.3,411.0,393.1,408.7,407.5,399.6,8216368,3315411012.15,63714
2024-01-03,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,409.05,423.55,405.5,421.8,420.05,408.7,13173281,5495670087.25,112356
2024-01-04,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,417.0,418.15,412.05,415.4,416.0,421.8,7789886,3234296244.9,104796
2024-01-05,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,416.5,427.0,416.2,420.0,420.4,415.4,9713784,4097097900.6,88992
2024-01-08,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,424.0,438.0,422.2,429.4,429.0,420.0,14564712,6279694419.3,140926
2024-01-09,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,438.0,441.35,431.0,439.35,439.05,429.4,7393355,3233008174.25,94811
2024-01-10,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,435.0,436.5,425.65,430.7,433.5,439.35,5987033,2573152936.05,76541
2024-01-11,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,435.0,447.45,433.45,445.5,445.3,430.7,9144772,4045217923.9,103467
2024-01-12,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,446.85,453.2,438.55,450.8,450.65,445.5,7626558,3405950892.6,76725
2024-01-15,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,452.5,453.6,445.15,449.6,450.0,450.8,4608455,2071020709.15,71093
2024-01-16,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,449.4,459.4,448.05,452.8,452.1,449.6,7410778,3358039454.75,78510
2024-01-17,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,451.0,458.75,446.05,449.1,451.9,452.8,8658106,3926982599.95,112214
2024-01-18,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,449.0,462.0,439.4,454.6,454.35,449.1,6440957,2927005770.85,64174
2024-01-19,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,458.6,468.55,453.0,465.75,464.0,454.6,3988785,1841722768.25,42392
2024-01-23,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,476.8,477.0,437.0,440.45,442.0,468.65,8678819,3916193299.55,94283
2024-01-24,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,445.0,456.75,441.0,452.55,452.5,440.45,6059348,2727290131.2,59993
2024-01-25,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,456.0,457.45,416.5,430.6,431.9,452.55,17686747,7641029060.45,215641
2024-01-29,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,433.0,458.65,430.15,452.3,454.35,430.6,13805392,6165127883.9,109441
2024-01-30,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,456.25,485.3,454.75,471.7,471.95,452.3,17261998,8180954557.9,193908
2024-01-31,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,474.4,477.55,460.1,463.25,464.0,471.7,6016956,2802688495.1,62786
2024-02-01,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,467.95,470.35,456.0,465.8,466.0,463.25,5221729,2420447749.9,55567
2024-02-02,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,473.0,500.8,470.95,488.85,489.5,465.8,19090406,9337374869.05,137690
2024-02-05,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,497.0,517.35,490.0,508.4,511.0,488.85,18304224,9296460652.65,166311
2024-02-06,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,515.0,541.0,505.15,535.8,536.7,508.4,19235513,10131905240.35,205789
2024-02-07,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,524.0,532.75,516.15,523.6,524.0,535.8,11694148,6122580907.75,103564
2024-02-08,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,523.8,538.4,520.1,525.15,526.2,523.6,12712879,6725494067.95,151045
2024-02-09,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,526.0,526.45,489.3,510.2,509.45,525.15,9789517,4937123784.45,114965
2024-02-12,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,507.1,510.2,486.9,501.9,500.3,510.2,9490202,4734144483.05,117588
2024-02-13,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,503.0,507.75,492.4,501.65,502.0,501.9,5094484,2548118544.6,64866
2024-02-14,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,495.0,549.0,491.55,543.3,543.9,501.65,14135751,7437543507.35,119832
2024-02-15,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,548.8,579.7,537.55,575.0,574.0,543.3,17700107,10060814205.4,209644
2024-02-16,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,578.0,594.8,558.85,565.7,564.4,575.0,14846350,8507657322.15,234349
2024-02-19,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,567.0,569.6,552.55,554.7,554.5,565.7,10134836,5677825991.55,121337
2024-02-20,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,554.7,567.5,538.9,563.1,566.0,554.7,8916525,4914416764.9,117553
2024-02-21,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,564.0,569.0,532.0,543.25,547.0,563.1,6662387,3694765677.1,86007
2024-02-22,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,543.0,550.05,528.6,539.1,539.15,543.25,6318710,3391247762.5,81990
2024-02-23,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,536.0,539.45,522.1,527.6,526.85,539.1,5742177,3033223686.0,68473
2024-02-26,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,527.6,543.5,511.0,541.65,542.95,527.6,16108207,8512839125.7,176414
2024-02-27,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,541.8,547.5,522.55,529.85,528.9,541.65,8476974,4539156055.4,90256
2024-02-28,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,529.85,530.2,504.45,507.2,506.3,529.85,10822607,5561604276.7,103696
2024-02-29,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,505.05,515.0,502.05,509.4,515.0,507.2,9735845,4948441366.1,93339
2024-03-01,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,516.0,526.0,515.3,517.15,517.3,509.4,6844994,3558481876.25,77161
2024-03-04,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,517.0,527.9,515.55,525.1,523.4,518.8,8187650,4289273156.65,116453
2024-03-05,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,526.0,531.45,521.55,528.05,526.0,525.1,4769230,2511453231.4,98885
2024-03-06,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,526.5,529.8,504.2,517.2,515.7,528.05,7530897,3866382025.4,97977
2024-03-07,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,515.7,518.5,503.4,508.5,509.05,517.2,4246754,2168305752.55,46675
2024-03-11,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,506.0,522.0,497.45,511.85,510.45,508.5,8750873,4493306470.2,118741
2024-03-12,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,512.0,521.45,507.25,514.3,514.0,511.85,6091354,3137273924.55,126939
2024-03-13,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,514.6,517.0,478.6,483.9,485.0,514.3,7823337,3864825374.8,100968
2024-03-14,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,485.0,505.0,480.6,500.1,499.9,483.9,7545044,3761222544.05,84174
2024-03-15,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,489.85,489.85,451.15,468.85,468.3,500.1,31713010,14789977415.1,340235
2024-03-18,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,468.9,474.8,459.35,461.15,461.85,468.85,8144609,3777298753.45,85344
2024-03-19,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,456.9,457.95,443.05,445.5,445.0,461.15,6608339,2962793090.95,72951
2024-03-20,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,449.0,456.15,445.8,453.65,456.15,445.5,6965516,3147919245.45,159044
2024-03-21,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,460.45,473.9,458.45,472.5,471.75,453.65,5201023,2425189339.9,91846
2024-03-22,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,474.2,483.65,470.7,473.45,473.35,472.5,5074069,2419721718.7,71428
2024-03-26,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,468.9,477.8,463.5,472.6,471.8,473.45,6217958,2935110599.5,59757
2024-03-27,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,477.0,484.2,469.05,471.1,473.0,472.6,4659072,2223157261.6,54226
2024-03-28,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,475.05,479.35,470.1,475.65,478.75,471.1,4811142,2286742469.6,64372
2024-04-01,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,476.05,478.5,466.65,468.8,470.55,475.65,6063072,2854503813.4,74256
2024-04-02,CM,INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORP,470.3,484.7,467.5,482.2,484.1,468.8,5125246,2449040342.5,57740
