TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-09-03,CM,INE0BS701011,PREMIERENE,PREMIER ENERGIES LIMITED,990.0,994.55,802.1,839.9,838.9,450.0,58922092,52267137581.55,1142687
2024-09-04,CM,INE0BS701011,PREMIERENE,PREMIER ENERGIES LIMITED,816.6,872.65,803.05,841.9,840.5,839.9,11523876,9785204045.3,288799
2024-09-05,CM,INE0BS701011,PREMIERENE,PREMIER ENERGIES LIMITED,856.1,1010.25,852.2,1004.8,1006.1,841.9,36818046,34877720512.7,644192
2024-09-06,CM,INE0BS701011,PREMIERENE,PREMIER ENERGIES LIMITED,1010.0,1188.9,982.0,1096.05,1104.0,1004.8,44767796,49879650282.2,854229
2024-09-09,CM,INE0BS701011,PREMIERENE,PREMIER ENERGIES LIMITED,1120.0,1235.0,1105.0,1208.65,1219.0,1096.05,28659020,33337761956.9,683776
2024-09-10,CM,INE0BS701011,PREMIERENE,PREMIER ENERGIES LIMITED,1240.0,1267.95,1111.9,1173.7,1162.0,1208.65,22676122,27097459035.2,473316
2024-09-11,CM,INE0BS701011,PREMIERENE,PREMIER ENERGIES LIMITED,1154.2,1167.95,1082.65,1098.1,1096.5,1173.7,8804576,9902920429.0,208391
2024-09-12,CM,INE0BS701011,PREMIERENE,PREMIER ENERGIES LIMITED,1111.0,1157.7,1085.0,1132.5,1136.3,1098.1,8259315,9315137534.3,162498
2024-09-13,CM,INE0BS701011,PREMIERENE,PREMIER ENERGIES LIMITED,1142.9,1144.0,1096.45,1112.15,1107.0,1132.5,3507316,3915612595.35,84116
2024-09-16,CM,INE0BS701011,PREMIERENE,PREMIER ENERGIES LIMITED,1110.0,1124.0,1045.0,1109.85,1102.9,1112.15,5561217,6027909126.25,156215
2024-09-17,CM,INE0BS701011,PREMIERENE,PREMIER ENERGIES LIMITED,1104.5,1128.7,1082.65,1113.3,1105.0,1109.85,3828734,4247453523.85,86137
