TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-08-02,CM,INE0BSN01013,SATECH,S A TECH SOFTWARE INDIA L,112.1,117.7,112.1,117.7,117.7,59.0,508000,58649200.0,216
2024-08-05,CM,INE0BSN01013,SATECH,S A TECH SOFTWARE INDIA L,123.55,123.55,123.55,123.55,123.55,117.7,706000,87226300.0,170
2024-08-06,CM,INE0BSN01013,SATECH,S A TECH SOFTWARE INDIA L,129.7,129.7,117.4,119.0,118.2,123.55,1556000,195423600.0,620
2024-08-07,CM,INE0BSN01013,SATECH,S A TECH SOFTWARE INDIA L,113.05,119.0,113.05,113.05,113.05,119.0,476000,53942200.0,159
2024-08-08,CM,INE0BSN01013,SATECH,S A TECH SOFTWARE INDIA L,109.05,109.05,107.4,107.4,107.4,113.05,98000,10583900.0,40
2024-08-09,CM,INE0BSN01013,SATECH,S A TECH SOFTWARE INDIA L,102.05,112.75,102.05,111.1,110.0,107.4,544000,57496400.0,177
2024-08-12,CM,INE0BSN01013,SATECH,S A TECH SOFTWARE INDIA L,108.05,116.65,105.55,116.65,116.65,111.1,378000,43223600.0,154
2024-08-13,CM,INE0BSN01013,SATECH,S A TECH SOFTWARE INDIA L,116.0,120.45,110.85,112.25,113.0,116.65,288000,33014700.0,129
2024-08-14,CM,INE0BSN01013,SATECH,S A TECH SOFTWARE INDIA L,116.25,117.85,113.5,117.85,117.85,112.25,136000,15924600.0,63
2024-08-16,CM,INE0BSN01013,SATECH,S A TECH SOFTWARE INDIA L,123.7,123.7,123.7,123.7,123.7,117.85,86000,10638200.0,22
2024-08-19,CM,INE0BSN01013,SATECH,S A TECH SOFTWARE INDIA L,134.0,148.4,129.45,148.05,148.4,123.7,1808000,257811500.0,717
2024-08-20,CM,INE0BSN01013,SATECH,S A TECH SOFTWARE INDIA L,148.4,158.0,137.0,150.05,149.85,148.05,862000,129971900.0,416
2024-08-21,CM,INE0BSN01013,SATECH,S A TECH SOFTWARE INDIA L,154.95,180.05,145.1,180.05,180.05,150.05,910000,150580600.0,438
2024-08-22,CM,INE0BSN01013,SATECH,S A TECH SOFTWARE INDIA L,198.05,198.05,198.05,198.05,198.05,180.05,66000,13071300.0,27
2024-08-23,CM,INE0BSN01013,SATECH,S A TECH SOFTWARE INDIA L,217.85,217.85,217.85,217.85,217.85,198.05,62000,13506700.0,28
2024-08-26,CM,INE0BSN01013,SATECH,S A TECH SOFTWARE INDIA L,233.0,239.6,197.55,239.6,239.6,217.85,1406000,324186400.0,567
2024-08-27,CM,INE0BSN01013,SATECH,S A TECH SOFTWARE INDIA L,244.0,250.0,227.65,227.65,227.65,239.6,530000,124886000.0,256
2024-08-28,CM,INE0BSN01013,SATECH,S A TECH SOFTWARE INDIA L,216.3,226.95,216.3,216.3,216.3,227.65,404000,88384700.0,192
2024-08-29,CM,INE0BSN01013,SATECH,S A TECH SOFTWARE INDIA L,206.0,212.0,205.5,205.5,205.5,216.3,96000,19873200.0,41
2024-08-30,CM,INE0BSN01013,SATECH,S A TECH SOFTWARE INDIA L,200.3,215.75,195.25,207.0,207.45,205.5,1020000,206337100.0,398
2024-09-02,CM,INE0BSN01013,SATECH,S A TECH SOFTWARE INDIA L,202.2,206.0,196.65,196.65,196.65,207.0,526000,105089200.0,155
2024-09-03,CM,INE0BSN01013,SATECH,S A TECH SOFTWARE INDIA L,191.6,191.6,186.85,186.85,186.85,196.65,320000,59941100.0,128
2024-09-04,CM,INE0BSN01013,SATECH,S A TECH SOFTWARE INDIA L,182.95,194.8,179.15,191.15,192.95,186.85,414000,77646900.0,191
2024-09-05,CM,INE0BSN01013,SATECH,S A TECH SOFTWARE INDIA L,194.0,200.7,190.0,200.7,200.7,191.15,76000,15052200.0,36
2024-09-06,CM,INE0BSN01013,SATECH,S A TECH SOFTWARE INDIA L,210.5,210.7,195.2,206.35,205.1,200.7,530000,109287500.0,191
2024-09-09,CM,INE0BSN01013,SATECH,S A TECH SOFTWARE INDIA L,206.35,206.35,196.05,196.65,199.95,206.35,168000,33429500.0,78
2024-09-10,CM,INE0BSN01013,SATECH,S A TECH SOFTWARE INDIA L,196.65,200.0,193.0,198.35,200.0,196.65,42000,8282800.0,21
2024-09-11,CM,INE0BSN01013,SATECH,S A TECH SOFTWARE INDIA L,205.0,205.0,188.45,189.75,188.45,198.35,96000,18663200.0,48
2024-09-12,CM,INE0BSN01013,SATECH,S A TECH SOFTWARE INDIA L,188.1,194.0,185.0,187.6,187.0,189.75,82000,15449300.0,40
2024-09-13,CM,INE0BSN01013,SATECH,S A TECH SOFTWARE INDIA L,187.0,193.5,180.0,186.4,193.45,187.6,150000,27872000.0,73
2024-09-16,CM,INE0BSN01013,SATECH,S A TECH SOFTWARE INDIA L,186.5,191.4,177.1,177.45,177.1,186.4,98000,17687200.0,46
2024-09-17,CM,INE0BSN01013,SATECH,S A TECH SOFTWARE INDIA L,175.0,175.0,168.6,169.05,168.6,177.45,222000,37695700.0,105
