TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-06-14,CM,INE0BTI01037,KAMOPAINTS,KAMDHENU VENTURES LIMITED,42.1,44.75,40.85,42.99,42.84,204.22,22442791,968396497.41,150576
2024-06-18,CM,INE0BTI01037,KAMOPAINTS,KAMDHENU VENTURES LIMITED,42.0,42.5,39.37,39.88,39.88,42.99,7175617,288660512.51,42226
2024-06-19,CM,INE0BTI01037,KAMOPAINTS,KAMDHENU VENTURES LIMITED,39.85,39.85,35.91,36.9,36.8,39.88,6494139,242986415.8,39137
2024-06-20,CM,INE0BTI01037,KAMOPAINTS,KAMDHENU VENTURES LIMITED,38.0,41.17,38.0,40.09,40.1,36.9,30811930,1229891716.07,132051
2024-06-21,CM,INE0BTI01037,KAMOPAINTS,KAMDHENU VENTURES LIMITED,40.0,40.59,38.85,39.34,39.4,40.09,2221360,87320822.14,35056
2024-06-24,CM,INE0BTI01037,KAMOPAINTS,KAMDHENU VENTURES LIMITED,39.0,40.07,37.79,39.72,39.92,39.34,6397449,249672977.83,40061
2024-06-25,CM,INE0BTI01037,KAMOPAINTS,KAMDHENU VENTURES LIMITED,40.19,41.49,39.05,41.2,41.15,39.72,7669880,312115293.27,40391
2024-06-26,CM,INE0BTI01037,KAMOPAINTS,KAMDHENU VENTURES LIMITED,41.58,43.1,40.06,42.61,42.56,41.2,16440619,695076034.76,48684
2024-06-27,CM,INE0BTI01037,KAMOPAINTS,KAMDHENU VENTURES LIMITED,42.2,43.0,39.85,40.69,40.62,42.61,19019091,778568444.18,62403
2024-06-28,CM,INE0BTI01037,KAMOPAINTS,KAMDHENU VENTURES LIMITED,40.94,41.22,39.63,40.0,40.19,40.69,9726377,390965466.93,26613
2024-07-01,CM,INE0BTI01037,KAMOPAINTS,KAMDHENU VENTURES LIMITED,40.6,42.5,40.14,42.19,42.2,40.0,23804167,999149041.17,72798
2024-07-02,CM,INE0BTI01037,KAMOPAINTS,KAMDHENU VENTURES LIMITED,42.69,43.0,41.16,42.19,42.17,42.19,14916936,628671986.7,27600
2024-07-03,CM,INE0BTI01037,KAMOPAINTS,KAMDHENU VENTURES LIMITED,42.25,42.69,40.7,40.99,40.94,42.19,9631850,401004276.8,30039
2024-07-04,CM,INE0BTI01037,KAMOPAINTS,KAMDHENU VENTURES LIMITED,41.43,41.43,39.95,40.18,40.25,40.99,3887699,156837598.95,15357
2024-07-05,CM,INE0BTI01037,KAMOPAINTS,KAMDHENU VENTURES LIMITED,40.25,40.6,39.41,40.42,40.32,40.18,5301015,212688367.33,11013
2024-07-08,CM,INE0BTI01037,KAMOPAINTS,KAMDHENU VENTURES LIMITED,40.5,40.5,38.95,39.12,39.0,40.42,3043134,119658952.28,13038
2024-07-09,CM,INE0BTI01037,KAMOPAINTS,KAMDHENU VENTURES LIMITED,39.15,39.79,37.5,38.42,38.83,39.12,4369313,170725845.35,14261
2024-07-10,CM,INE0BTI01037,KAMOPAINTS,KAMDHENU VENTURES LIMITED,38.83,38.83,37.15,37.71,37.74,38.42,2369090,89592051.87,14179
2024-07-11,CM,INE0BTI01037,KAMOPAINTS,KAMDHENU VENTURES LIMITED,38.0,38.59,37.59,37.73,37.77,37.71,2019416,76658666.93,11419
2024-07-12,CM,INE0BTI01037,KAMOPAINTS,KAMDHENU VENTURES LIMITED,38.29,41.04,37.22,40.37,40.24,37.73,33028347,1320404168.5,49815
2024-07-15,CM,INE0BTI01037,KAMOPAINTS,KAMDHENU VENTURES LIMITED,40.98,41.0,39.25,39.99,39.25,40.37,12304364,492878091.14,13642
2024-07-16,CM,INE0BTI01037,KAMOPAINTS,KAMDHENU VENTURES LIMITED,40.17,40.49,38.82,39.07,38.82,39.99,13242703,526468942.29,15250
2024-07-18,CM,INE0BTI01037,KAMOPAINTS,KAMDHENU VENTURES LIMITED,39.0,39.62,38.01,38.81,38.75,39.07,5679859,221517611.72,10312
2024-07-19,CM,INE0BTI01037,KAMOPAINTS,KAMDHENU VENTURES LIMITED,38.9,38.9,37.01,37.89,37.8,38.81,9928340,377197919.76,10958
2024-07-22,CM,INE0BTI01037,KAMOPAINTS,KAMDHENU VENTURES LIMITED,38.16,42.35,37.1,41.0,41.01,37.89,33168772,1354180291.0,67575
2024-07-23,CM,INE0BTI01037,KAMOPAINTS,KAMDHENU VENTURES LIMITED,41.49,41.7,38.4,39.43,39.39,41.0,3767652,149401961.48,16281
2024-07-24,CM,INE0BTI01037,KAMOPAINTS,KAMDHENU VENTURES LIMITED,39.05,39.41,38.75,39.09,39.06,39.43,3080063,120342752.19,8839
2024-07-25,CM,INE0BTI01037,KAMOPAINTS,KAMDHENU VENTURES LIMITED,39.0,39.79,38.76,39.44,39.34,39.09,5810943,228300927.63,19238
2024-07-26,CM,INE0BTI01037,KAMOPAINTS,KAMDHENU VENTURES LIMITED,39.7,39.95,38.96,39.31,39.1,39.44,3154807,124527840.76,15603
2024-07-29,CM,INE0BTI01037,KAMOPAINTS,KAMDHENU VENTURES LIMITED,39.25,40.5,39.02,40.0,39.99,39.31,4527458,181386685.68,11843
2024-07-30,CM,INE0BTI01037,KAMOPAINTS,KAMDHENU VENTURES LIMITED,40.25,41.1,40.12,40.21,40.3,40.0,2276802,92181943.21,40449
2024-07-31,CM,INE0BTI01037,KAMOPAINTS,KAMDHENU VENTURES LIMITED,40.25,40.7,39.55,40.43,40.5,40.21,2369957,94530827.85,15106
2024-08-01,CM,INE0BTI01037,KAMOPAINTS,KAMDHENU VENTURES LIMITED,40.15,40.55,39.01,39.36,39.3,40.43,2838192,111891593.34,6778
2024-08-02,CM,INE0BTI01037,KAMOPAINTS,KAMDHENU VENTURES LIMITED,39.0,40.19,38.42,40.04,40.01,39.36,4706475,187883778.13,10635
2024-08-05,CM,INE0BTI01037,KAMOPAINTS,KAMDHENU VENTURES LIMITED,38.0,39.5,37.51,38.69,38.31,40.04,1965941,75921082.96,11589
2024-08-06,CM,INE0BTI01037,KAMOPAINTS,KAMDHENU VENTURES LIMITED,38.31,39.38,37.02,37.52,37.2,38.69,5322435,202096317.74,12917
2024-08-07,CM,INE0BTI01037,KAMOPAINTS,KAMDHENU VENTURES LIMITED,37.7,38.19,36.79,37.6,37.45,37.52,2231348,83183511.72,18503
2024-08-08,CM,INE0BTI01037,KAMOPAINTS,KAMDHENU VENTURES LIMITED,37.6,38.2,37.06,37.38,37.3,37.6,4163188,156309044.87,20577
2024-08-09,CM,INE0BTI01037,KAMOPAINTS,KAMDHENU VENTURES LIMITED,37.51,38.29,37.22,37.9,37.89,37.38,2106967,79359264.29,9767
2024-08-12,CM,INE0BTI01037,KAMOPAINTS,KAMDHENU VENTURES LIMITED,37.01,38.0,36.33,36.52,36.73,37.9,3418339,125851965.72,9554
2024-08-13,CM,INE0BTI01037,KAMOPAINTS,KAMDHENU VENTURES LIMITED,36.7,37.0,35.29,35.63,35.78,36.52,1997740,72505362.33,5628
2024-08-14,CM,INE0BTI01037,KAMOPAINTS,KAMDHENU VENTURES LIMITED,35.63,36.47,34.4,35.29,34.99,35.63,15562923,548345177.46,31338
2024-08-16,CM,INE0BTI01037,KAMOPAINTS,KAMDHENU VENTURES LIMITED,35.29,37.0,35.05,36.04,36.35,35.29,5071757,182590386.21,9371
2024-08-19,CM,INE0BTI01037,KAMOPAINTS,KAMDHENU VENTURES LIMITED,37.07,39.52,37.07,38.72,38.5,36.04,11595600,445689757.91,24013
2024-08-20,CM,INE0BTI01037,KAMOPAINTS,KAMDHENU VENTURES LIMITED,39.2,39.94,38.34,39.63,39.57,38.72,15105654,593473226.04,36404
2024-08-21,CM,INE0BTI01037,KAMOPAINTS,KAMDHENU VENTURES LIMITED,39.95,40.13,38.7,39.03,38.84,39.63,3077778,121009302.31,6776
2024-08-22,CM,INE0BTI01037,KAMOPAINTS,KAMDHENU VENTURES LIMITED,39.1,39.9,38.74,38.87,38.91,39.03,6452901,251962417.18,8140
2024-08-23,CM,INE0BTI01037,KAMOPAINTS,KAMDHENU VENTURES LIMITED,39.3,39.95,38.32,38.78,39.0,38.87,4499671,175463417.76,6748
