TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,97.0,97.0,96.5,96.5,96.5,99.0,5000,483000.0,5
2024-01-02,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,96.0,96.0,92.5,95.3,95.3,96.5,30000,2856900.0,12
2024-01-03,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,98.0,98.5,96.1,98.0,98.0,95.3,25000,2414400.0,8
2024-01-04,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,99.5,102.9,99.0,99.1,99.1,98.0,44000,4431850.0,31
2024-01-05,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,99.1,99.1,99.1,99.1,99.1,99.1,3000,297300.0,3
2024-01-08,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,99.0,99.0,94.15,96.0,96.95,99.1,21000,1994700.0,21
2024-01-09,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,96.95,97.0,91.35,93.95,94.0,96.0,23000,2179150.0,18
2024-01-10,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,94.0,96.5,94.0,94.5,94.5,93.95,12000,1145650.0,12
2024-01-11,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,94.5,99.2,94.5,95.0,95.0,94.5,21000,2064800.0,19
2024-01-12,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,92.2,98.5,92.2,93.7,93.55,95.0,10000,947600.0,10
2024-01-15,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,93.55,98.35,90.05,91.1,91.1,93.7,34000,3155800.0,30
2024-01-16,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,92.5,94.4,91.1,94.4,94.4,91.1,10000,925050.0,9
2024-01-17,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,94.4,94.4,94.4,94.4,94.4,94.4,1000,94400.0,1
2024-01-18,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,89.9,89.95,89.7,89.7,89.7,94.4,9000,808350.0,9
2024-01-19,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,91.2,94.0,89.0,90.2,93.85,89.7,19000,1722450.0,17
2024-01-23,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,86.55,90.9,86.5,87.05,87.0,91.0,14000,1233500.0,12
2024-01-24,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,90.5,90.5,89.0,89.0,89.0,87.05,6000,538500.0,6
2024-01-25,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,86.15,93.45,86.15,90.0,90.0,89.0,22000,2010300.0,16
2024-01-29,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,94.5,94.5,92.05,94.0,94.0,90.0,11000,1033000.0,10
2024-01-30,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,94.0,94.95,92.0,94.95,94.95,94.0,7000,652350.0,5
2024-01-31,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,90.7,91.45,90.5,91.1,90.8,94.95,7000,636200.0,6
2024-02-01,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,92.0,92.0,88.45,88.45,88.45,91.1,4000,360350.0,4
2024-02-02,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,88.45,90.4,84.75,88.0,88.0,88.45,13000,1143450.0,11
2024-02-05,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,88.0,92.4,88.0,92.0,92.0,88.0,17000,1556850.0,16
2024-02-06,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,92.0,92.0,89.5,89.5,89.5,92.0,9000,818350.0,9
2024-02-07,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,90.9,90.9,88.0,88.0,88.0,89.5,3000,268900.0,3
2024-02-08,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,92.4,92.4,88.0,91.9,91.9,88.0,14000,1272800.0,14
2024-02-09,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,89.0,89.0,87.3,87.3,87.3,91.9,4000,351600.0,4
2024-02-12,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,83.0,88.0,82.95,87.95,87.95,87.3,10000,849900.0,8
2024-02-13,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,83.95,85.0,83.55,85.0,85.0,87.95,8000,670700.0,8
2024-02-14,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,82.0,82.05,82.0,82.05,82.05,85.0,3000,246050.0,2
2024-02-15,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,84.5,84.5,78.55,79.75,80.0,82.05,9000,728550.0,9
2024-02-16,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,80.0,83.7,80.0,83.7,83.7,79.75,5000,407350.0,3
2024-02-19,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,87.85,87.85,87.85,87.85,87.85,83.7,13000,1142050.0,11
2024-02-20,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,90.0,90.5,84.25,90.5,90.5,87.85,5000,437450.0,5
2024-02-21,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,90.5,92.4,90.0,90.1,90.1,90.5,13000,1183550.0,11
2024-02-22,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,91.0,91.0,90.0,91.0,91.0,90.1,5000,453800.0,5
2024-02-23,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,88.0,88.0,86.45,86.75,86.75,91.0,12000,1040550.0,11
2024-02-26,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,86.75,86.9,83.75,85.5,86.9,86.75,8000,686400.0,8
2024-02-27,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,83.0,83.0,81.25,81.65,81.6,85.5,10000,818350.0,9
2024-02-28,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,81.6,84.95,78.05,82.0,82.0,81.65,9000,733600.0,9
2024-02-29,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,80.0,85.6,80.0,85.0,84.4,82.0,5000,413800.0,5
2024-03-01,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,86.3,89.0,83.55,88.85,88.8,85.0,18000,1580000.0,16
2024-03-04,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,87.0,89.7,85.0,88.0,88.0,86.25,11000,960050.0,9
2024-03-05,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,87.05,87.05,84.05,84.05,84.05,88.0,4000,339900.0,4
2024-03-06,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,80.6,81.0,79.85,80.0,80.0,84.05,10000,803450.0,10
2024-03-07,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,81.0,81.0,79.0,79.0,79.0,80.0,4000,321000.0,4
2024-03-11,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,77.5,80.1,77.0,80.05,80.1,79.0,13000,1023400.0,10
2024-03-12,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,78.65,78.65,76.05,76.05,76.05,80.05,19000,1451250.0,18
2024-03-13,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,73.0,75.9,72.25,72.25,72.25,76.05,48000,3482900.0,39
2024-03-14,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,75.5,75.75,74.0,74.0,74.0,72.25,12000,894700.0,8
2024-03-15,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,74.0,74.0,70.3,70.7,71.05,74.0,34000,2404550.0,22
2024-03-18,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,74.2,74.2,74.2,74.2,74.2,70.7,2000,148400.0,2
2024-03-19,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,77.85,77.9,77.75,77.9,77.9,74.2,17000,1324000.0,17
2024-03-20,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,77.0,77.0,74.0,74.0,74.0,77.9,23000,1717400.0,18
2024-03-21,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,74.1,76.9,70.3,74.25,74.25,74.0,38000,2737700.0,32
2024-03-22,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,74.9,75.0,72.1,74.1,74.3,74.25,33000,2413200.0,16
2024-03-26,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,71.55,73.5,71.5,73.45,73.45,74.1,10000,727750.0,8
2024-03-27,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,71.0,74.0,69.9,70.45,70.0,73.45,36000,2581550.0,26
2024-03-28,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,70.0,70.0,67.55,70.0,70.0,70.45,6000,410200.0,4
2024-04-01,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,72.5,73.5,72.45,73.5,73.5,70.0,9000,657350.0,9
2024-04-02,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,71.05,76.3,71.05,76.0,76.0,73.5,9000,672400.0,9
2024-04-03,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,75.0,75.0,75.0,75.0,75.0,76.0,1000,75000.0,1
2024-04-04,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,77.4,78.75,75.1,75.9,76.0,75.0,43000,3358200.0,27
2024-04-05,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,75.0,82.7,75.0,81.4,82.5,75.9,12000,954400.0,12
2024-04-08,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,84.6,86.0,84.6,85.8,85.95,81.4,11000,942050.0,11
2024-04-09,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,87.0,87.0,85.0,86.0,86.0,85.8,10000,857550.0,10
2024-04-10,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,86.0,86.0,82.2,86.0,86.0,86.0,5000,422150.0,5
2024-04-12,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,83.0,83.0,83.0,83.0,83.0,86.0,2000,166000.0,2
2024-04-15,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,78.1,83.0,78.1,82.85,83.0,83.0,4000,326600.0,3
2024-04-16,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,86.0,87.95,82.0,85.0,85.0,82.85,8000,676450.0,8
2024-04-18,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,85.1,86.0,77.0,81.0,81.0,85.0,25000,2077450.0,17
2024-04-19,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,83.0,83.0,80.0,82.5,82.95,81.0,15000,1237000.0,15
2024-04-22,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,86.0,90.75,85.0,90.75,90.75,82.5,88000,7906900.0,54
2024-04-23,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,95.0,97.95,95.0,95.2,95.0,90.75,26000,2500800.0,25
2024-04-24,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,98.0,104.7,95.5,104.7,104.7,95.2,635000,61755950.0,36
2024-04-25,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,115.15,115.15,115.15,115.15,115.15,104.7,19000,2187850.0,14
2024-04-26,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,120.9,120.9,120.9,120.9,120.9,115.15,15000,1813500.0,13
2024-04-29,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,126.0,126.9,126.0,126.9,126.9,120.9,14000,1775700.0,12
2024-04-30,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,133.2,133.2,133.2,133.2,133.2,126.9,20000,2664000.0,16
2024-05-02,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,139.85,139.85,139.85,139.85,139.85,133.2,16000,2237600.0,15
2024-05-03,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,146.8,146.8,136.2,146.8,146.8,139.85,513000,74938000.0,176
2024-05-06,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,154.1,154.1,139.5,139.5,139.5,146.8,318000,45842600.0,211
2024-05-07,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,139.5,139.5,132.55,132.55,132.55,139.5,137000,18248850.0,92
2024-05-08,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,128.0,139.15,128.0,139.15,139.15,132.55,66000,8942100.0,35
2024-05-09,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,146.1,146.1,132.2,132.2,132.2,139.15,45000,6366350.0,40
2024-05-10,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,127.4,133.0,125.6,131.5,130.0,132.2,151000,19322900.0,43
2024-05-13,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,127.5,133.75,124.95,132.0,132.0,131.5,9000,1147200.0,9
2024-05-14,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,132.0,132.0,128.5,128.5,128.5,132.0,6000,774550.0,6
2024-05-15,CM,INE0DTQ01028,LLOYDS,LLOYDS LUXURIES LIMITED,122.1,128.5,122.1,126.9,125.3,128.5,12000,1494650.0,12
