TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INE0FS801015,MSUMI,MOTHERSON SUMI WRNG IND L,62.25,63.3,61.7,62.15,62.1,61.75,8090211,503532811.65,32963
2024-01-02,CM,INE0FS801015,MSUMI,MOTHERSON SUMI WRNG IND L,62.3,63.05,61.2,61.55,61.7,62.15,12295620,761784072.65,43761
2024-01-03,CM,INE0FS801015,MSUMI,MOTHERSON SUMI WRNG IND L,61.8,62.6,61.0,61.5,61.7,61.55,20314444,1250122989.15,32277
2024-01-04,CM,INE0FS801015,MSUMI,MOTHERSON SUMI WRNG IND L,61.65,62.4,61.65,62.0,62.05,61.5,4766000,295186068.2,19681
2024-01-05,CM,INE0FS801015,MSUMI,MOTHERSON SUMI WRNG IND L,62.7,66.0,62.1,65.65,65.4,62.0,41498481,2682899566.0,111777
2024-01-08,CM,INE0FS801015,MSUMI,MOTHERSON SUMI WRNG IND L,66.55,66.75,64.4,64.65,64.5,65.65,13686834,895072808.0,48664
2024-01-09,CM,INE0FS801015,MSUMI,MOTHERSON SUMI WRNG IND L,65.2,65.75,64.7,64.9,64.9,64.65,6651332,433183893.35,30849
2024-01-10,CM,INE0FS801015,MSUMI,MOTHERSON SUMI WRNG IND L,64.95,65.4,63.8,64.25,64.25,64.9,6123191,395058164.0,32970
2024-01-11,CM,INE0FS801015,MSUMI,MOTHERSON SUMI WRNG IND L,65.9,65.9,63.4,63.6,63.7,64.25,9374264,603820500.85,35931
2024-01-12,CM,INE0FS801015,MSUMI,MOTHERSON SUMI WRNG IND L,63.95,64.45,62.8,63.1,63.05,63.6,6504992,411336743.5,36279
2024-01-15,CM,INE0FS801015,MSUMI,MOTHERSON SUMI WRNG IND L,63.5,64.0,63.15,63.55,63.55,63.1,4641928,295191189.5,36905
2024-01-16,CM,INE0FS801015,MSUMI,MOTHERSON SUMI WRNG IND L,64.0,64.15,62.1,62.9,63.0,63.55,4022216,254427035.5,33143
2024-01-17,CM,INE0FS801015,MSUMI,MOTHERSON SUMI WRNG IND L,62.5,63.0,61.55,61.9,61.8,62.9,6129243,381553052.7,40336
2024-01-18,CM,INE0FS801015,MSUMI,MOTHERSON SUMI WRNG IND L,61.55,62.25,60.45,61.55,61.8,61.9,6630691,406766637.0,39782
2024-01-19,CM,INE0FS801015,MSUMI,MOTHERSON SUMI WRNG IND L,62.0,62.65,61.2,61.6,61.4,61.55,5790031,357043301.3,44530
2024-01-23,CM,INE0FS801015,MSUMI,MOTHERSON SUMI WRNG IND L,62.8,63.0,61.3,61.45,61.5,62.6,5397988,333972867.7,37145
2024-01-24,CM,INE0FS801015,MSUMI,MOTHERSON SUMI WRNG IND L,61.4,61.85,60.35,61.7,61.75,61.45,3471056,212869073.4,29774
2024-01-25,CM,INE0FS801015,MSUMI,MOTHERSON SUMI WRNG IND L,61.7,62.7,60.25,60.95,61.0,61.7,6365883,390954758.8,27204
2024-01-29,CM,INE0FS801015,MSUMI,MOTHERSON SUMI WRNG IND L,61.5,61.95,61.35,61.7,61.75,60.95,4795514,295545479.35,30093
2024-01-30,CM,INE0FS801015,MSUMI,MOTHERSON SUMI WRNG IND L,62.15,65.5,62.0,63.5,63.55,61.7,17952800,1152261955.05,54452
2024-01-31,CM,INE0FS801015,MSUMI,MOTHERSON SUMI WRNG IND L,64.5,65.75,63.35,65.05,65.3,63.5,17288754,1117044393.7,51335
2024-02-01,CM,INE0FS801015,MSUMI,MOTHERSON SUMI WRNG IND L,66.35,71.45,66.25,69.95,69.85,65.05,65055289,4526874364.15,151202
2024-02-02,CM,INE0FS801015,MSUMI,MOTHERSON SUMI WRNG IND L,71.15,72.2,69.0,69.4,69.25,69.95,22935135,1613642606.75,77565
2024-02-05,CM,INE0FS801015,MSUMI,MOTHERSON SUMI WRNG IND L,69.8,73.85,69.3,70.95,71.2,69.4,26921460,1941241759.6,82660
2024-02-06,CM,INE0FS801015,MSUMI,MOTHERSON SUMI WRNG IND L,72.5,74.8,71.7,72.9,73.0,70.95,23309947,1705157050.1,82558
2024-02-07,CM,INE0FS801015,MSUMI,MOTHERSON SUMI WRNG IND L,73.3,73.85,70.2,70.5,70.85,72.9,11851314,844417014.45,54571
2024-02-08,CM,INE0FS801015,MSUMI,MOTHERSON SUMI WRNG IND L,71.95,72.7,69.85,71.75,72.0,70.5,17287587,1233984227.3,66400
2024-02-09,CM,INE0FS801015,MSUMI,MOTHERSON SUMI WRNG IND L,72.0,72.1,67.85,68.95,68.95,71.75,12601579,871206274.65,52328
