TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INE0GXK01018,VMARCIND,V MARC INDIA LIMITED,174.65,178.0,170.3,171.9,171.15,174.65,14000,2435350.0,13
2024-01-02,CM,INE0GXK01018,VMARCIND,V MARC INDIA LIMITED,171.9,176.95,167.5,174.0,174.0,171.9,22000,3801850.0,22
2024-01-03,CM,INE0GXK01018,VMARCIND,V MARC INDIA LIMITED,170.55,177.0,170.55,172.35,171.75,174.0,30000,5238750.0,29
2024-01-04,CM,INE0GXK01018,VMARCIND,V MARC INDIA LIMITED,174.95,175.0,172.4,173.0,172.5,172.35,21000,3647000.0,21
2024-01-05,CM,INE0GXK01018,VMARCIND,V MARC INDIA LIMITED,170.55,172.0,170.5,170.55,170.55,173.0,24000,4106600.0,24
2024-01-08,CM,INE0GXK01018,VMARCIND,V MARC INDIA LIMITED,179.0,179.05,175.0,179.05,179.05,170.55,49000,8750650.0,43
2024-01-09,CM,INE0GXK01018,VMARCIND,V MARC INDIA LIMITED,184.9,188.0,184.9,188.0,188.0,179.05,51000,9569300.0,43
2024-01-10,CM,INE0GXK01018,VMARCIND,V MARC INDIA LIMITED,197.4,197.4,193.0,197.4,197.4,188.0,149000,29286600.0,123
2024-01-11,CM,INE0GXK01018,VMARCIND,V MARC INDIA LIMITED,190.55,199.0,187.55,187.55,187.55,197.4,95000,18120850.0,82
2024-01-12,CM,INE0GXK01018,VMARCIND,V MARC INDIA LIMITED,187.5,196.9,185.5,196.5,196.9,187.55,124000,23808200.0,120
2024-01-15,CM,INE0GXK01018,VMARCIND,V MARC INDIA LIMITED,192.5,194.0,186.8,187.35,187.2,196.5,42000,7947250.0,41
2024-01-16,CM,INE0GXK01018,VMARCIND,V MARC INDIA LIMITED,187.0,187.0,178.0,179.45,179.0,187.35,45000,8152950.0,44
2024-01-17,CM,INE0GXK01018,VMARCIND,V MARC INDIA LIMITED,182.0,185.0,175.1,182.9,185.0,179.45,30000,5427150.0,29
2024-01-18,CM,INE0GXK01018,VMARCIND,V MARC INDIA LIMITED,186.4,186.5,178.05,185.5,185.5,182.9,35000,6400000.0,34
2024-01-19,CM,INE0GXK01018,VMARCIND,V MARC INDIA LIMITED,185.5,191.0,179.05,180.5,179.05,185.5,41000,7525800.0,33
2024-01-23,CM,INE0GXK01018,VMARCIND,V MARC INDIA LIMITED,186.0,186.0,176.95,177.3,177.0,185.05,73000,13085500.0,49
2024-01-24,CM,INE0GXK01018,VMARCIND,V MARC INDIA LIMITED,179.0,186.15,169.0,173.4,173.0,177.3,69000,12146450.0,58
2024-01-25,CM,INE0GXK01018,VMARCIND,V MARC INDIA LIMITED,169.1,176.1,169.1,172.0,172.0,173.4,50000,8578850.0,49
2024-01-29,CM,INE0GXK01018,VMARCIND,V MARC INDIA LIMITED,176.3,176.3,163.4,170.25,170.0,172.0,109000,18425850.0,91
2024-01-30,CM,INE0GXK01018,VMARCIND,V MARC INDIA LIMITED,170.25,178.35,166.25,177.85,177.05,170.25,67000,11636200.0,61
2024-01-31,CM,INE0GXK01018,VMARCIND,V MARC INDIA LIMITED,181.45,186.5,178.95,185.6,186.25,177.85,103000,18821100.0,87
2024-02-01,CM,INE0GXK01018,VMARCIND,V MARC INDIA LIMITED,186.0,187.0,180.0,180.5,180.0,185.6,45000,8219450.0,40
2024-02-02,CM,INE0GXK01018,VMARCIND,V MARC INDIA LIMITED,181.05,184.9,176.05,183.0,182.1,180.5,51000,9272000.0,43
2024-02-05,CM,INE0GXK01018,VMARCIND,V MARC INDIA LIMITED,183.0,188.5,175.1,176.3,176.0,183.0,69000,12500300.0,57
