TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,303.66,304.03,303.66,304.02,304.02,304.0,827,251180.75,8
2024-01-02,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,303.71,306.9,303.71,305.1,305.1,304.02,2771,846114.3,23
2024-01-03,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,305.1,306.8,304.75,306.55,306.55,305.1,1518,464340.75,10
2024-01-04,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,306.5,306.5,304.02,304.4,304.4,306.55,832,253290.04,9
2024-01-05,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,304.4,305.64,304.2,305.64,305.64,304.4,1626,495872.0,34
2024-01-08,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,304.1,305.64,304.0,305.64,305.64,305.64,241,73291.0,12
2024-01-09,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,305.0,306.99,305.0,306.89,305.1,305.64,234,71804.92,4
2024-01-10,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,305.05,306.79,304.02,306.79,306.79,306.89,140,42832.27,7
2024-01-11,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,305.5,306.9,305.5,306.9,306.9,306.79,878,268671.5,10
2024-01-12,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,304.4,306.93,304.4,306.9,306.9,306.9,128,39241.68,7
2024-01-15,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,305.0,306.99,302.05,306.0,306.0,306.9,4443,1360483.23,20
2024-01-16,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,305.01,306.8,305.01,305.8,305.8,306.0,3667,1119990.12,9
2024-01-17,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,305.3,306.7,305.3,305.55,305.55,305.8,307,93933.15,6
2024-01-18,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,305.3,306.1,305.3,306.1,306.1,305.55,1845,564153.69,10
2024-01-19,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,306.2,307.98,306.2,306.2,306.2,306.1,55,16842.85,4
2024-01-23,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,306.0,306.9,306.0,306.3,306.3,306.09,2204,675072.4,14
2024-01-24,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,306.05,307.4,305.37,307.39,307.39,306.3,2323,710845.87,16
2024-01-25,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,305.37,307.9,305.37,307.68,307.69,307.39,4070,1244697.07,33
2024-01-29,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,307.4,308.9,306.21,306.21,306.21,307.68,1119,344275.35,16
2024-01-30,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,307.0,307.0,306.22,307.0,307.0,306.21,1003,307919.44,10
2024-01-31,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,306.31,307.0,306.31,307.0,307.0,307.0,840,257412.45,7
2024-02-01,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,307.0,308.0,305.46,307.35,307.0,307.0,181,55457.68,17
2024-02-02,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,307.0,307.0,306.5,307.0,307.0,307.35,1482,454954.5,24
2024-02-05,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,305.3,309.9,305.3,308.0,308.0,307.0,1297,398503.65,22
2024-02-06,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,307.1,309.72,307.1,308.0,308.0,308.0,3729,1146306.04,17
2024-02-07,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,306.63,309.9,306.63,308.0,308.0,308.0,909,279752.07,13
2024-02-08,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,308.0,309.0,308.0,309.0,309.0,308.0,473,145786.4,6
2024-02-09,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,308.3,308.35,308.0,308.3,308.3,309.0,1163,358447.4,16
2024-02-12,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,308.5,308.75,308.07,308.49,308.1,308.3,2074,639560.18,18
2024-02-13,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,308.0,309.95,308.0,309.85,309.85,308.49,58,17967.7,3
2024-02-14,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,307.08,309.06,307.08,308.64,308.34,309.85,307,94633.89,5
2024-02-15,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,306.09,311.5,306.09,310.0,310.0,308.64,1305,403266.21,12
2024-02-16,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,308.27,310.8,308.27,310.8,310.8,310.0,650,201893.5,3
2024-02-19,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,308.07,312.0,307.0,307.41,308.25,310.8,2323,714367.51,23
2024-02-20,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,307.11,310.0,307.11,308.0,308.0,307.41,1154,355291.59,14
2024-02-21,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,308.01,308.01,308.01,308.01,308.01,308.0,150,46201.5,5
2024-02-22,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,308.25,308.25,308.25,308.25,308.25,308.01,1,308.25,1
2024-02-23,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,309.48,314.0,308.25,311.85,309.0,308.25,3355,1040483.07,17
2024-02-26,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,304.06,310.95,304.06,309.39,309.0,311.85,1342,416259.91,16
2024-02-27,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,307.44,308.25,307.44,308.25,308.25,309.39,552,170130.63,9
2024-02-28,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,310.0,310.5,308.34,309.49,309.5,308.25,2694,835323.57,20
2024-02-29,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,309.4,309.99,306.02,306.46,306.03,309.49,7023,2162813.24,37
2024-03-01,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,310.99,310.99,307.05,307.44,307.5,306.46,984,302434.53,9
2024-03-04,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,306.09,309.96,306.09,307.99,307.83,305.0,942,290660.25,10
2024-03-05,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,309.95,309.95,307.85,307.85,307.85,307.99,25,7742.45,3
2024-03-06,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,308.99,309.0,307.21,307.21,307.21,307.85,79,24305.29,3
2024-03-07,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,312.4,312.4,306.3,306.5,306.5,307.21,20887,6404683.5,57
2024-03-11,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,308.97,308.97,306.5,306.91,306.91,306.5,16358,5018306.91,26
2024-03-12,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,307.15,307.16,307.0,307.04,307.0,306.91,439,134808.18,9
2024-03-13,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,307.0,307.25,306.25,307.01,307.01,307.04,633,194293.79,8
2024-03-14,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,307.8,310.0,307.8,308.02,308.02,307.01,3247,1004630.81,24
2024-03-15,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,309.85,309.85,308.1,309.0,309.0,308.02,136,41906.9,3
2024-03-18,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,307.08,309.0,307.08,309.0,309.0,309.0,336,103491.65,8
2024-03-19,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,307.5,308.01,307.25,307.87,307.7,309.0,3585,1103072.11,14
2024-03-20,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,308.0,309.9,308.0,308.5,308.5,307.87,165,50904.5,5
2024-03-21,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,308.0,310.0,307.0,308.91,308.51,308.5,980,302524.83,17
2024-03-22,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,309.0,309.5,308.0,308.0,308.0,308.91,1025,316007.0,11
2024-03-26,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,309.5,309.5,308.25,309.05,309.05,308.0,1780,550148.05,9
2024-03-27,CM,INE0H7R07017,NHIT,SEC RE NCD 7.90% STRPP A,310.9,310.9,309.0,309.67,309.0,309.05,1817,562743.5,19
