TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INE0JR601024,YATRA,YATRA ONLINE LIMITED,145.9,151.25,144.15,149.65,149.0,144.6,496684,73791961.75,10095
2024-01-02,CM,INE0JR601024,YATRA,YATRA ONLINE LIMITED,150.0,154.0,146.9,151.85,151.5,149.65,698915,105705103.75,15944
2024-01-03,CM,INE0JR601024,YATRA,YATRA ONLINE LIMITED,152.05,153.0,149.7,150.8,152.25,151.85,337601,50953434.5,8536
2024-01-04,CM,INE0JR601024,YATRA,YATRA ONLINE LIMITED,151.0,153.8,146.5,148.3,148.3,150.8,766150,115081284.9,21550
2024-01-05,CM,INE0JR601024,YATRA,YATRA ONLINE LIMITED,148.3,151.0,147.55,149.25,149.0,148.3,391853,58555737.2,8685
2024-01-08,CM,INE0JR601024,YATRA,YATRA ONLINE LIMITED,149.95,157.7,147.1,152.95,153.0,149.25,983225,150597528.0,19104
2024-01-09,CM,INE0JR601024,YATRA,YATRA ONLINE LIMITED,155.0,167.8,151.95,165.7,166.45,152.95,3211405,523428844.65,56008
2024-01-10,CM,INE0JR601024,YATRA,YATRA ONLINE LIMITED,166.45,186.05,163.4,180.35,180.0,165.7,4359695,763047129.05,79090
2024-01-11,CM,INE0JR601024,YATRA,YATRA ONLINE LIMITED,180.5,185.6,174.0,179.5,179.1,180.35,1620325,290322235.85,41700
2024-01-12,CM,INE0JR601024,YATRA,YATRA ONLINE LIMITED,180.0,180.5,173.65,176.8,175.15,179.5,916600,161533636.25,21332
2024-01-15,CM,INE0JR601024,YATRA,YATRA ONLINE LIMITED,176.8,181.4,173.65,177.05,178.0,176.8,785074,138826777.0,21202
2024-01-16,CM,INE0JR601024,YATRA,YATRA ONLINE LIMITED,179.9,184.4,173.95,179.8,179.2,177.05,760494,136536604.3,20267
2024-01-17,CM,INE0JR601024,YATRA,YATRA ONLINE LIMITED,179.2,180.85,169.25,171.9,171.25,179.8,1143277,198733894.5,23645
2024-01-18,CM,INE0JR601024,YATRA,YATRA ONLINE LIMITED,170.0,175.65,166.35,173.0,172.3,171.9,351498,60243915.6,13411
2024-01-19,CM,INE0JR601024,YATRA,YATRA ONLINE LIMITED,176.55,177.05,172.05,174.1,173.05,173.0,431687,75260613.6,11724
2024-01-23,CM,INE0JR601024,YATRA,YATRA ONLINE LIMITED,175.5,181.85,167.05,171.15,172.5,173.2,497270,87432667.6,22715
