TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INE0KN801013,PROPEQUITY,P. E. ANALYTICS LIMITED,257.5,262.5,256.0,262.5,262.5,255.85,15600,4075110.0,22
2024-01-02,CM,INE0KN801013,PROPEQUITY,P. E. ANALYTICS LIMITED,263.1,263.1,256.9,258.2,258.2,262.5,9000,2336730.0,12
2024-01-03,CM,INE0KN801013,PROPEQUITY,P. E. ANALYTICS LIMITED,258.1,264.95,257.15,259.45,260.2,258.2,9000,2347740.0,15
2024-01-04,CM,INE0KN801013,PROPEQUITY,P. E. ANALYTICS LIMITED,269.0,269.0,250.0,259.5,259.5,259.45,9600,2481870.0,15
2024-01-05,CM,INE0KN801013,PROPEQUITY,P. E. ANALYTICS LIMITED,254.0,255.0,250.0,250.0,250.0,259.5,13200,3329670.0,19
2024-01-08,CM,INE0KN801013,PROPEQUITY,P. E. ANALYTICS LIMITED,257.85,259.0,257.85,258.95,258.95,250.0,3000,775020.0,5
2024-01-09,CM,INE0KN801013,PROPEQUITY,P. E. ANALYTICS LIMITED,263.5,263.5,255.1,255.1,255.1,258.95,6600,1719630.0,11
2024-01-10,CM,INE0KN801013,PROPEQUITY,P. E. ANALYTICS LIMITED,261.1,261.1,249.0,250.55,249.0,255.1,2400,610380.0,4
2024-01-11,CM,INE0KN801013,PROPEQUITY,P. E. ANALYTICS LIMITED,250.0,258.85,247.2,256.0,256.0,250.55,4800,1215030.0,8
2024-01-12,CM,INE0KN801013,PROPEQUITY,P. E. ANALYTICS LIMITED,259.95,268.8,259.0,262.0,262.0,256.0,11400,2987760.0,17
2024-01-15,CM,INE0KN801013,PROPEQUITY,P. E. ANALYTICS LIMITED,262.0,262.0,257.5,260.0,260.0,262.0,6600,1716930.0,10
2024-01-16,CM,INE0KN801013,PROPEQUITY,P. E. ANALYTICS LIMITED,260.0,260.0,254.0,256.0,256.0,260.0,5400,1391130.0,9
2024-01-17,CM,INE0KN801013,PROPEQUITY,P. E. ANALYTICS LIMITED,236.2,249.0,225.0,241.9,241.7,256.0,138000,31734150.0,58
2024-01-18,CM,INE0KN801013,PROPEQUITY,P. E. ANALYTICS LIMITED,260.45,260.45,242.0,256.5,256.5,241.9,11400,2895000.0,15
2024-01-19,CM,INE0KN801013,PROPEQUITY,P. E. ANALYTICS LIMITED,264.95,264.95,251.0,254.55,256.0,256.5,10200,2630940.0,15
2024-01-23,CM,INE0KN801013,PROPEQUITY,P. E. ANALYTICS LIMITED,257.0,267.95,257.0,261.15,264.95,257.0,11400,2973450.0,16
2024-01-24,CM,INE0KN801013,PROPEQUITY,P. E. ANALYTICS LIMITED,260.0,260.05,260.0,260.0,260.0,261.15,5400,1404030.0,6
2024-01-25,CM,INE0KN801013,PROPEQUITY,P. E. ANALYTICS LIMITED,250.0,261.9,250.0,255.0,255.0,260.0,8400,2169510.0,9
2024-01-29,CM,INE0KN801013,PROPEQUITY,P. E. ANALYTICS LIMITED,261.0,267.5,260.0,265.0,265.0,255.0,40200,10555680.0,41
2024-01-30,CM,INE0KN801013,PROPEQUITY,P. E. ANALYTICS LIMITED,265.05,275.0,265.0,270.0,270.0,265.0,43800,11792790.0,54
2024-01-31,CM,INE0KN801013,PROPEQUITY,P. E. ANALYTICS LIMITED,272.0,277.0,272.0,276.3,276.95,270.0,7800,2135730.0,13
2024-02-01,CM,INE0KN801013,PROPEQUITY,P. E. ANALYTICS LIMITED,272.0,280.0,272.0,279.0,279.0,276.3,3000,830400.0,5
2024-02-02,CM,INE0KN801013,PROPEQUITY,P. E. ANALYTICS LIMITED,276.0,304.0,276.0,292.1,292.0,279.0,49800,14577150.0,68
2024-02-05,CM,INE0KN801013,PROPEQUITY,P. E. ANALYTICS LIMITED,305.0,310.0,300.0,301.15,304.5,292.1,53400,16214790.0,66
2024-02-06,CM,INE0KN801013,PROPEQUITY,P. E. ANALYTICS LIMITED,305.0,305.0,292.0,300.0,300.0,301.15,19200,5701170.0,25
