TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INE0KTW01013,VEEKAYEM,VEEKAYEM FASH & APP LTD,82.2,82.5,79.8,79.95,79.95,79.7,10000,808900.0,5
2024-01-02,CM,INE0KTW01013,VEEKAYEM,VEEKAYEM FASH & APP LTD,80.0,80.1,74.6,78.8,78.8,79.95,24000,1885600.0,12
2024-01-03,CM,INE0KTW01013,VEEKAYEM,VEEKAYEM FASH & APP LTD,78.5,78.5,72.0,76.45,76.45,78.8,24000,1820200.0,12
2024-01-04,CM,INE0KTW01013,VEEKAYEM,VEEKAYEM FASH & APP LTD,76.45,91.7,76.45,91.7,91.7,76.45,102000,9048800.0,48
2024-01-05,CM,INE0KTW01013,VEEKAYEM,VEEKAYEM FASH & APP LTD,92.0,97.85,92.0,96.8,96.8,91.7,42000,4018900.0,16
2024-01-08,CM,INE0KTW01013,VEEKAYEM,VEEKAYEM FASH & APP LTD,92.0,110.0,92.0,109.95,109.95,96.8,36000,3685600.0,14
2024-01-09,CM,INE0KTW01013,VEEKAYEM,VEEKAYEM FASH & APP LTD,114.0,130.0,114.0,124.5,125.0,109.95,54000,6595300.0,26
2024-01-10,CM,INE0KTW01013,VEEKAYEM,VEEKAYEM FASH & APP LTD,130.0,136.95,125.2,135.05,135.0,124.5,58000,7734300.0,27
2024-01-11,CM,INE0KTW01013,VEEKAYEM,VEEKAYEM FASH & APP LTD,135.0,142.4,135.0,139.4,139.4,135.05,18000,2491700.0,9
2024-01-12,CM,INE0KTW01013,VEEKAYEM,VEEKAYEM FASH & APP LTD,142.1,145.0,139.45,142.5,142.5,139.4,26000,3689100.0,13
2024-01-15,CM,INE0KTW01013,VEEKAYEM,VEEKAYEM FASH & APP LTD,143.5,148.0,142.5,148.0,148.0,142.5,12000,1735800.0,6
2024-01-16,CM,INE0KTW01013,VEEKAYEM,VEEKAYEM FASH & APP LTD,149.0,149.1,143.95,143.95,143.95,148.0,8000,1180000.0,4
2024-01-17,CM,INE0KTW01013,VEEKAYEM,VEEKAYEM FASH & APP LTD,144.95,158.3,142.95,158.15,158.3,143.95,66000,9952200.0,31
2024-01-18,CM,INE0KTW01013,VEEKAYEM,VEEKAYEM FASH & APP LTD,150.0,154.9,145.3,150.1,150.1,158.15,18000,2701800.0,9
2024-01-19,CM,INE0KTW01013,VEEKAYEM,VEEKAYEM FASH & APP LTD,148.45,152.5,145.0,152.5,152.5,150.1,10000,1486100.0,5
2024-01-23,CM,INE0KTW01013,VEEKAYEM,VEEKAYEM FASH & APP LTD,160.5,165.0,159.95,159.95,159.95,159.95,12000,1935000.0,6
2024-01-24,CM,INE0KTW01013,VEEKAYEM,VEEKAYEM FASH & APP LTD,163.5,172.95,144.0,150.3,172.95,159.95,30000,4615500.0,9
2024-01-25,CM,INE0KTW01013,VEEKAYEM,VEEKAYEM FASH & APP LTD,151.0,151.1,150.9,151.1,151.1,150.3,8000,1208100.0,4
2024-01-29,CM,INE0KTW01013,VEEKAYEM,VEEKAYEM FASH & APP LTD,165.9,165.9,164.5,164.5,164.5,151.1,8000,1324400.0,4
2024-01-30,CM,INE0KTW01013,VEEKAYEM,VEEKAYEM FASH & APP LTD,165.5,168.7,150.1,168.7,168.7,164.5,12000,1950600.0,6
2024-01-31,CM,INE0KTW01013,VEEKAYEM,VEEKAYEM FASH & APP LTD,160.3,177.0,160.3,177.0,177.0,168.7,16000,2658200.0,8
2024-02-01,CM,INE0KTW01013,VEEKAYEM,VEEKAYEM FASH & APP LTD,168.15,170.0,168.15,169.4,170.0,177.0,10000,1688900.0,5
2024-02-02,CM,INE0KTW01013,VEEKAYEM,VEEKAYEM FASH & APP LTD,174.9,175.0,172.0,173.6,175.0,169.4,14000,2429800.0,6
2024-02-05,CM,INE0KTW01013,VEEKAYEM,VEEKAYEM FASH & APP LTD,179.0,182.25,179.0,181.95,181.95,173.6,22000,3992600.0,11
2024-02-06,CM,INE0KTW01013,VEEKAYEM,VEEKAYEM FASH & APP LTD,189.95,191.0,187.0,190.5,191.0,181.95,22000,4167500.0,11
2024-02-07,CM,INE0KTW01013,VEEKAYEM,VEEKAYEM FASH & APP LTD,199.0,199.9,198.0,198.5,198.0,190.5,10000,1989800.0,5
2024-02-08,CM,INE0KTW01013,VEEKAYEM,VEEKAYEM FASH & APP LTD,188.6,206.0,188.6,206.0,206.0,198.5,6000,1201100.0,3
2024-02-09,CM,INE0KTW01013,VEEKAYEM,VEEKAYEM FASH & APP LTD,200.0,200.0,196.5,196.5,196.5,206.0,6000,1189400.0,3
2024-02-12,CM,INE0KTW01013,VEEKAYEM,VEEKAYEM FASH & APP LTD,190.5,203.75,186.7,196.85,203.75,196.5,18000,3434100.0,8
2024-02-13,CM,INE0KTW01013,VEEKAYEM,VEEKAYEM FASH & APP LTD,190.0,206.0,187.0,206.0,206.0,196.85,8000,1558400.0,4
