TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INE0KZ301010,KONTOR,KONTOR SPACE LIMITED,75.1,76.25,74.05,75.8,75.8,76.1,18000,1348440.0,15
2024-01-02,CM,INE0KZ301010,KONTOR,KONTOR SPACE LIMITED,75.0,75.75,74.05,75.75,75.75,75.8,10800,807840.0,9
2024-01-03,CM,INE0KZ301010,KONTOR,KONTOR SPACE LIMITED,74.1,78.0,74.1,77.0,77.0,75.75,20400,1559880.0,15
2024-01-04,CM,INE0KZ301010,KONTOR,KONTOR SPACE LIMITED,80.65,80.65,75.05,78.2,78.2,77.0,20400,1578060.0,16
2024-01-05,CM,INE0KZ301010,KONTOR,KONTOR SPACE LIMITED,77.2,77.95,76.1,77.4,77.5,78.2,20400,1575420.0,14
2024-01-08,CM,INE0KZ301010,KONTOR,KONTOR SPACE LIMITED,83.9,92.85,81.7,92.55,92.25,77.4,420000,37992960.0,267
2024-01-09,CM,INE0KZ301010,KONTOR,KONTOR SPACE LIMITED,94.8,94.9,87.5,89.7,89.7,92.55,82800,7504560.0,68
2024-01-10,CM,INE0KZ301010,KONTOR,KONTOR SPACE LIMITED,87.05,92.6,86.5,89.05,89.0,89.7,55200,4963920.0,46
2024-01-11,CM,INE0KZ301010,KONTOR,KONTOR SPACE LIMITED,91.0,93.0,88.5,92.9,92.95,89.05,70800,6500940.0,55
2024-01-12,CM,INE0KZ301010,KONTOR,KONTOR SPACE LIMITED,95.0,98.0,90.0,91.45,90.9,92.9,31200,2898720.0,25
2024-01-15,CM,INE0KZ301010,KONTOR,KONTOR SPACE LIMITED,90.9,92.4,88.7,90.75,90.75,91.45,32400,2921820.0,27
2024-01-16,CM,INE0KZ301010,KONTOR,KONTOR SPACE LIMITED,92.45,92.45,87.95,87.95,87.95,90.75,25200,2255880.0,20
2024-01-17,CM,INE0KZ301010,KONTOR,KONTOR SPACE LIMITED,85.5,87.1,85.5,86.7,86.0,87.95,6000,519120.0,5
2024-01-18,CM,INE0KZ301010,KONTOR,KONTOR SPACE LIMITED,86.5,86.5,85.4,85.4,85.4,86.7,6000,515760.0,5
2024-01-19,CM,INE0KZ301010,KONTOR,KONTOR SPACE LIMITED,85.4,90.0,85.4,87.4,87.2,85.4,21600,1904520.0,16
2024-01-23,CM,INE0KZ301010,KONTOR,KONTOR SPACE LIMITED,89.4,89.4,84.0,84.0,84.0,89.4,13200,1135680.0,10
2024-01-24,CM,INE0KZ301010,KONTOR,KONTOR SPACE LIMITED,86.75,88.9,86.2,87.3,87.3,84.0,10800,941220.0,9
2024-01-25,CM,INE0KZ301010,KONTOR,KONTOR SPACE LIMITED,87.0,87.0,84.0,84.1,84.1,87.3,9600,815820.0,8
2024-01-29,CM,INE0KZ301010,KONTOR,KONTOR SPACE LIMITED,87.0,94.0,87.0,90.6,90.0,84.1,102000,9358380.0,79
2024-01-30,CM,INE0KZ301010,KONTOR,KONTOR SPACE LIMITED,93.95,93.95,87.55,87.6,87.55,90.6,25200,2256240.0,20
2024-01-31,CM,INE0KZ301010,KONTOR,KONTOR SPACE LIMITED,87.9,87.9,87.8,87.8,87.8,87.6,2400,210840.0,2
2024-02-01,CM,INE0KZ301010,KONTOR,KONTOR SPACE LIMITED,85.25,87.0,85.25,87.0,87.0,87.8,2400,206700.0,2
2024-02-02,CM,INE0KZ301010,KONTOR,KONTOR SPACE LIMITED,85.0,91.0,85.0,85.6,85.5,87.0,15600,1353240.0,13
2024-02-05,CM,INE0KZ301010,KONTOR,KONTOR SPACE LIMITED,83.4,85.75,83.4,83.65,83.65,85.6,10800,913920.0,9
2024-02-06,CM,INE0KZ301010,KONTOR,KONTOR SPACE LIMITED,85.0,85.0,85.0,85.0,85.0,83.65,3600,306000.0,3
2024-02-07,CM,INE0KZ301010,KONTOR,KONTOR SPACE LIMITED,87.0,87.85,83.0,83.3,85.0,85.0,22800,1919880.0,19
2024-02-08,CM,INE0KZ301010,KONTOR,KONTOR SPACE LIMITED,85.0,85.0,81.8,82.1,82.1,83.3,8400,700080.0,7
2024-02-09,CM,INE0KZ301010,KONTOR,KONTOR SPACE LIMITED,86.0,86.1,80.05,83.7,83.7,82.1,10800,903300.0,6
2024-02-12,CM,INE0KZ301010,KONTOR,KONTOR SPACE LIMITED,80.3,80.3,78.55,80.05,80.2,83.7,12000,959040.0,10
2024-02-13,CM,INE0KZ301010,KONTOR,KONTOR SPACE LIMITED,80.15,80.15,80.1,80.1,80.1,80.05,2400,192300.0,2
2024-02-14,CM,INE0KZ301010,KONTOR,KONTOR SPACE LIMITED,80.05,80.05,79.95,79.95,79.95,80.1,3600,288000.0,3
2024-02-15,CM,INE0KZ301010,KONTOR,KONTOR SPACE LIMITED,79.0,79.0,79.0,79.0,79.0,79.95,4800,379200.0,4
2024-02-16,CM,INE0KZ301010,KONTOR,KONTOR SPACE LIMITED,79.0,79.2,76.8,79.2,79.2,79.0,3600,282000.0,3
2024-02-19,CM,INE0KZ301010,KONTOR,KONTOR SPACE LIMITED,79.2,79.95,76.6,79.95,79.95,79.2,15600,1224240.0,13
