TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-25,CM,INE0LCW01025,ISHAN,ISHAN INTERNATIONAL LTD,5.25,5.25,5.25,5.25,5.25,149.95,48000,252000.0,1
2024-01-29,CM,INE0LCW01025,ISHAN,ISHAN INTERNATIONAL LTD,5.5,5.5,5.5,5.5,5.5,5.25,384000,2112000.0,5
2024-01-30,CM,INE0LCW01025,ISHAN,ISHAN INTERNATIONAL LTD,5.75,5.75,5.75,5.75,5.75,5.5,96000,552000.0,2
2024-01-31,CM,INE0LCW01025,ISHAN,ISHAN INTERNATIONAL LTD,6.0,6.0,5.5,5.65,5.85,5.75,3504000,20688000.0,65
2024-02-01,CM,INE0LCW01025,ISHAN,ISHAN INTERNATIONAL LTD,5.45,5.45,5.4,5.4,5.4,5.65,144000,780000.0,3
2024-02-02,CM,INE0LCW01025,ISHAN,ISHAN INTERNATIONAL LTD,5.15,5.15,5.15,5.15,5.15,5.4,432000,2224800.0,9
2024-02-05,CM,INE0LCW01025,ISHAN,ISHAN INTERNATIONAL LTD,4.9,4.9,4.9,4.9,4.9,5.15,144000,705600.0,3
2024-02-06,CM,INE0LCW01025,ISHAN,ISHAN INTERNATIONAL LTD,5.1,5.1,5.1,5.1,5.1,4.9,144000,734400.0,3
2024-02-07,CM,INE0LCW01025,ISHAN,ISHAN INTERNATIONAL LTD,5.35,5.35,5.3,5.35,5.35,5.1,3888000,20798400.0,63
2024-02-08,CM,INE0LCW01025,ISHAN,ISHAN INTERNATIONAL LTD,5.6,5.6,5.55,5.6,5.6,5.35,2880000,16116000.0,55
2024-02-09,CM,INE0LCW01025,ISHAN,ISHAN INTERNATIONAL LTD,5.85,5.85,5.85,5.85,5.85,5.6,1200000,7020000.0,24
2024-02-12,CM,INE0LCW01025,ISHAN,ISHAN INTERNATIONAL LTD,6.1,6.1,5.55,5.55,5.55,5.85,3216000,18880800.0,57
