TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-08-09,CM,INE0LXG01040,OLAELEC,OLA ELECTRIC MOBILITY LTD,76.0,91.2,76.0,91.2,91.2,76.0,525179173,44265659143.37,987697
2024-08-12,CM,INE0LXG01040,OLAELEC,OLA ELECTRIC MOBILITY LTD,97.0,109.44,95.0,109.44,109.44,91.2,210295560,21857538577.33,763872
2024-08-13,CM,INE0LXG01040,OLAELEC,OLA ELECTRIC MOBILITY LTD,120.98,129.4,105.21,108.17,108.85,109.44,365044065,42370243646.01,1728004
2024-08-14,CM,INE0LXG01040,OLAELEC,OLA ELECTRIC MOBILITY LTD,110.0,113.4,100.36,110.9,110.99,108.17,160539788,17238455708.28,750763
2024-08-16,CM,INE0LXG01040,OLAELEC,OLA ELECTRIC MOBILITY LTD,121.0,133.08,117.0,133.08,133.08,110.9,338763140,43159106504.94,1087794
2024-08-19,CM,INE0LXG01040,OLAELEC,OLA ELECTRIC MOBILITY LTD,139.39,146.38,136.0,146.38,146.38,133.08,192359284,27764903615.66,619386
2024-08-20,CM,INE0LXG01040,OLAELEC,OLA ELECTRIC MOBILITY LTD,153.8,157.4,132.65,137.79,137.38,146.38,309136273,44474857224.87,1575307
2024-08-21,CM,INE0LXG01040,OLAELEC,OLA ELECTRIC MOBILITY LTD,143.0,143.5,135.22,138.05,137.91,137.79,113015397,15690434929.45,649075
2024-08-22,CM,INE0LXG01040,OLAELEC,OLA ELECTRIC MOBILITY LTD,139.0,139.0,126.05,131.32,131.55,138.05,107214397,14130591655.37,571752
2024-08-23,CM,INE0LXG01040,OLAELEC,OLA ELECTRIC MOBILITY LTD,131.0,132.47,125.55,126.26,125.93,131.32,58941772,7556995281.13,379085
2024-08-26,CM,INE0LXG01040,OLAELEC,OLA ELECTRIC MOBILITY LTD,123.43,132.7,118.6,125.3,125.19,126.26,162419382,20305015425.73,730157
2024-08-27,CM,INE0LXG01040,OLAELEC,OLA ELECTRIC MOBILITY LTD,126.0,131.0,125.75,127.53,127.6,125.3,62973982,8084226459.18,308034
2024-08-28,CM,INE0LXG01040,OLAELEC,OLA ELECTRIC MOBILITY LTD,128.7,129.19,125.0,125.69,125.63,127.53,36055940,4559347790.77,189100
2024-08-29,CM,INE0LXG01040,OLAELEC,OLA ELECTRIC MOBILITY LTD,125.95,126.99,119.6,120.28,120.6,125.69,32236138,3951925514.17,222009
2024-08-30,CM,INE0LXG01040,OLAELEC,OLA ELECTRIC MOBILITY LTD,121.3,122.97,117.11,117.93,118.0,120.28,39363549,4737359840.89,324410
2024-09-02,CM,INE0LXG01040,OLAELEC,OLA ELECTRIC MOBILITY LTD,118.5,119.95,114.0,114.93,114.95,117.93,32100435,3713221424.84,205367
2024-09-03,CM,INE0LXG01040,OLAELEC,OLA ELECTRIC MOBILITY LTD,114.0,119.3,112.66,113.49,113.35,114.93,34112725,3935846466.0,194789
2024-09-04,CM,INE0LXG01040,OLAELEC,OLA ELECTRIC MOBILITY LTD,112.55,115.0,109.8,110.8,110.95,113.49,30257994,3389090613.95,179122
2024-09-05,CM,INE0LXG01040,OLAELEC,OLA ELECTRIC MOBILITY LTD,111.36,119.17,110.33,115.16,114.9,110.8,88498741,10198984983.48,622544
2024-09-06,CM,INE0LXG01040,OLAELEC,OLA ELECTRIC MOBILITY LTD,111.1,115.05,109.0,109.57,110.25,115.16,58560417,6531731025.2,404819
2024-09-09,CM,INE0LXG01040,OLAELEC,OLA ELECTRIC MOBILITY LTD,110.0,116.2,103.5,114.58,114.1,109.57,93620725,10299064055.58,402626
2024-09-10,CM,INE0LXG01040,OLAELEC,OLA ELECTRIC MOBILITY LTD,114.8,119.0,113.39,115.5,115.15,114.58,51113502,5946772360.68,216936
2024-09-11,CM,INE0LXG01040,OLAELEC,OLA ELECTRIC MOBILITY LTD,115.49,116.5,109.86,113.02,112.5,115.5,44903854,5087966664.91,161143
2024-09-12,CM,INE0LXG01040,OLAELEC,OLA ELECTRIC MOBILITY LTD,114.6,115.49,111.44,112.64,112.47,113.02,33770388,3823045356.32,136702
2024-09-13,CM,INE0LXG01040,OLAELEC,OLA ELECTRIC MOBILITY LTD,112.7,114.25,111.0,111.58,111.41,112.64,18101301,2038747911.21,88528
2024-09-16,CM,INE0LXG01040,OLAELEC,OLA ELECTRIC MOBILITY LTD,112.0,112.18,106.9,107.6,107.0,111.58,27173576,2961364251.15,167154
2024-09-17,CM,INE0LXG01040,OLAELEC,OLA ELECTRIC MOBILITY LTD,112.95,118.36,110.26,117.96,118.36,107.6,163398289,18830560023.94,472095
