TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-07-11,CM,INE0M3I01029,AMBEY,AMBEY LABORATORIES LTD,85.0,89.25,85.0,89.25,89.25,68.0,2230000,193163700.0,829
2024-07-12,CM,INE0M3I01029,AMBEY,AMBEY LABORATORIES LTD,93.7,93.7,93.7,93.7,93.7,89.25,262000,24549400.0,130
2024-07-15,CM,INE0M3I01029,AMBEY,AMBEY LABORATORIES LTD,94.0,97.2,89.15,92.4,92.0,93.7,1912000,178599400.0,755
2024-07-16,CM,INE0M3I01029,AMBEY,AMBEY LABORATORIES LTD,89.5,93.85,87.8,92.65,90.2,92.4,1062000,94445100.0,353
2024-07-18,CM,INE0M3I01029,AMBEY,AMBEY LABORATORIES LTD,88.05,88.05,88.05,88.05,88.05,92.65,96000,8452800.0,46
2024-07-19,CM,INE0M3I01029,AMBEY,AMBEY LABORATORIES LTD,83.65,87.75,83.65,83.65,83.65,88.05,178000,14935600.0,79
2024-07-22,CM,INE0M3I01029,AMBEY,AMBEY LABORATORIES LTD,79.5,81.9,79.5,80.9,81.1,83.65,394000,31553200.0,178
2024-07-23,CM,INE0M3I01029,AMBEY,AMBEY LABORATORIES LTD,77.2,79.3,76.85,76.85,76.85,80.9,138000,10686400.0,66
2024-07-24,CM,INE0M3I01029,AMBEY,AMBEY LABORATORIES LTD,75.5,80.65,75.5,80.65,80.65,76.85,412000,33019800.0,173
2024-07-25,CM,INE0M3I01029,AMBEY,AMBEY LABORATORIES LTD,80.45,84.65,78.1,84.65,84.65,80.65,480000,40137100.0,202
2024-07-26,CM,INE0M3I01029,AMBEY,AMBEY LABORATORIES LTD,85.5,86.45,77.7,78.65,78.1,84.65,482000,39232200.0,229
2024-07-29,CM,INE0M3I01029,AMBEY,AMBEY LABORATORIES LTD,79.0,80.85,74.05,75.25,75.0,78.65,252000,19424600.0,118
2024-07-30,CM,INE0M3I01029,AMBEY,AMBEY LABORATORIES LTD,75.25,76.0,74.0,74.25,74.15,75.25,104000,7771300.0,52
2024-07-31,CM,INE0M3I01029,AMBEY,AMBEY LABORATORIES LTD,77.15,77.15,71.6,72.45,72.6,74.25,176000,12983500.0,85
2024-08-01,CM,INE0M3I01029,AMBEY,AMBEY LABORATORIES LTD,72.45,73.0,68.2,69.2,69.0,72.45,134000,9424500.0,67
2024-08-02,CM,INE0M3I01029,AMBEY,AMBEY LABORATORIES LTD,69.0,69.9,66.0,67.2,68.0,69.2,182000,12339700.0,90
2024-08-05,CM,INE0M3I01029,AMBEY,AMBEY LABORATORIES LTD,67.2,68.95,65.0,65.95,65.6,67.2,142000,9426100.0,71
2024-08-06,CM,INE0M3I01029,AMBEY,AMBEY LABORATORIES LTD,66.3,67.7,62.3,62.55,63.3,65.95,122000,7854200.0,60
2024-08-07,CM,INE0M3I01029,AMBEY,AMBEY LABORATORIES LTD,64.95,64.95,61.5,61.8,62.0,62.55,90000,5628700.0,44
2024-08-08,CM,INE0M3I01029,AMBEY,AMBEY LABORATORIES LTD,61.85,63.5,60.9,61.55,60.9,61.8,76000,4747400.0,38
2024-08-09,CM,INE0M3I01029,AMBEY,AMBEY LABORATORIES LTD,63.0,73.85,62.9,67.1,67.05,61.55,558000,39366800.0,209
2024-08-12,CM,INE0M3I01029,AMBEY,AMBEY LABORATORIES LTD,67.1,67.95,65.2,65.9,65.9,67.1,42000,2815500.0,20
2024-08-13,CM,INE0M3I01029,AMBEY,AMBEY LABORATORIES LTD,64.0,67.3,62.0,62.6,62.8,65.9,298000,19280900.0,99
2024-08-14,CM,INE0M3I01029,AMBEY,AMBEY LABORATORIES LTD,65.0,67.4,63.8,66.85,66.95,62.6,106000,6997300.0,53
2024-08-16,CM,INE0M3I01029,AMBEY,AMBEY LABORATORIES LTD,65.65,72.0,65.65,68.75,69.5,66.85,250000,17266800.0,113
2024-08-19,CM,INE0M3I01029,AMBEY,AMBEY LABORATORIES LTD,69.95,71.9,68.0,68.95,69.0,68.75,116000,8107800.0,53
2024-08-20,CM,INE0M3I01029,AMBEY,AMBEY LABORATORIES LTD,69.0,72.5,69.0,70.8,70.8,68.95,120000,8540800.0,60
2024-08-21,CM,INE0M3I01029,AMBEY,AMBEY LABORATORIES LTD,73.0,73.0,69.25,70.35,71.3,70.8,72000,5129000.0,36
2024-08-22,CM,INE0M3I01029,AMBEY,AMBEY LABORATORIES LTD,72.45,82.5,71.25,78.75,78.3,70.35,650000,50462900.0,302
2024-08-23,CM,INE0M3I01029,AMBEY,AMBEY LABORATORIES LTD,83.0,84.2,78.5,81.35,81.1,78.75,454000,37114200.0,212
