TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INE0MRE01011,INFINIUM,INFINIUM PHARMACHEM LTD,244.1,244.1,225.0,229.25,228.5,235.0,8500,1952900.0,16
2024-01-02,CM,INE0MRE01011,INFINIUM,INFINIUM PHARMACHEM LTD,234.95,234.95,225.0,225.0,225.0,229.25,7500,1700100.0,10
2024-01-03,CM,INE0MRE01011,INFINIUM,INFINIUM PHARMACHEM LTD,234.95,234.95,225.15,231.0,231.0,225.0,2500,575475.0,5
2024-01-04,CM,INE0MRE01011,INFINIUM,INFINIUM PHARMACHEM LTD,239.1,239.1,225.15,228.55,228.0,231.0,4500,1040175.0,8
2024-01-05,CM,INE0MRE01011,INFINIUM,INFINIUM PHARMACHEM LTD,234.8,234.8,222.5,226.0,226.0,228.55,18500,4198575.0,27
2024-01-08,CM,INE0MRE01011,INFINIUM,INFINIUM PHARMACHEM LTD,220.0,244.8,220.0,220.9,220.0,226.0,16500,3680725.0,25
2024-01-09,CM,INE0MRE01011,INFINIUM,INFINIUM PHARMACHEM LTD,227.85,232.85,223.0,225.5,225.5,220.9,6500,1483800.0,12
2024-01-10,CM,INE0MRE01011,INFINIUM,INFINIUM PHARMACHEM LTD,225.5,229.25,221.55,224.95,224.95,225.5,4000,900400.0,8
2024-01-11,CM,INE0MRE01011,INFINIUM,INFINIUM PHARMACHEM LTD,234.0,234.0,222.5,226.0,229.0,224.95,6000,1361025.0,12
2024-01-12,CM,INE0MRE01011,INFINIUM,INFINIUM PHARMACHEM LTD,225.75,248.6,223.65,237.15,248.6,226.0,21500,5038250.0,32
2024-01-15,CM,INE0MRE01011,INFINIUM,INFINIUM PHARMACHEM LTD,241.0,247.8,239.0,241.25,241.0,237.15,16000,3896075.0,28
2024-01-16,CM,INE0MRE01011,INFINIUM,INFINIUM PHARMACHEM LTD,250.0,250.0,236.0,237.25,236.0,241.25,9500,2280225.0,17
2024-01-17,CM,INE0MRE01011,INFINIUM,INFINIUM PHARMACHEM LTD,241.5,243.95,230.0,237.0,237.0,237.25,9000,2124650.0,11
