TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-02,CM,INE0O7A01017,PRAMARA,PRAMARA PROMOTIONS LTD,95.0,95.0,87.95,87.95,87.95,91.5,26000,2340700.0,12
2024-01-03,CM,INE0O7A01017,PRAMARA,PRAMARA PROMOTIONS LTD,88.0,91.0,88.0,91.0,91.0,87.95,10000,896000.0,5
2024-01-04,CM,INE0O7A01017,PRAMARA,PRAMARA PROMOTIONS LTD,90.0,100.0,90.0,98.0,98.0,91.0,38000,3696300.0,18
2024-01-05,CM,INE0O7A01017,PRAMARA,PRAMARA PROMOTIONS LTD,100.0,117.6,100.0,117.6,117.6,98.0,354000,40248000.0,144
2024-01-08,CM,INE0O7A01017,PRAMARA,PRAMARA PROMOTIONS LTD,126.35,140.0,119.75,134.25,136.3,117.6,298000,39412700.0,138
2024-01-09,CM,INE0O7A01017,PRAMARA,PRAMARA PROMOTIONS LTD,138.95,146.8,129.75,133.25,133.5,134.25,116000,16355700.0,57
2024-01-10,CM,INE0O7A01017,PRAMARA,PRAMARA PROMOTIONS LTD,133.75,135.0,121.15,124.95,127.95,133.25,46000,5909700.0,22
2024-01-11,CM,INE0O7A01017,PRAMARA,PRAMARA PROMOTIONS LTD,127.95,137.4,127.95,137.4,137.4,124.95,78000,10635900.0,33
2024-01-12,CM,INE0O7A01017,PRAMARA,PRAMARA PROMOTIONS LTD,148.0,148.7,137.2,143.55,142.0,137.4,114000,16574400.0,55
2024-01-15,CM,INE0O7A01017,PRAMARA,PRAMARA PROMOTIONS LTD,136.5,142.95,136.0,139.5,139.5,143.55,26000,3597000.0,12
2024-01-16,CM,INE0O7A01017,PRAMARA,PRAMARA PROMOTIONS LTD,130.3,145.0,129.5,140.65,142.65,139.5,60000,8328200.0,28
2024-01-17,CM,INE0O7A01017,PRAMARA,PRAMARA PROMOTIONS LTD,138.0,138.0,138.0,138.0,138.0,140.65,4000,552000.0,2
2024-01-18,CM,INE0O7A01017,PRAMARA,PRAMARA PROMOTIONS LTD,140.0,141.0,134.0,140.0,140.0,138.0,34000,4741000.0,14
2024-01-19,CM,INE0O7A01017,PRAMARA,PRAMARA PROMOTIONS LTD,142.0,148.0,138.0,138.55,138.0,140.0,18000,2530800.0,9
2024-01-23,CM,INE0O7A01017,PRAMARA,PRAMARA PROMOTIONS LTD,153.0,153.3,138.0,140.25,140.05,139.4,136000,19765600.0,62
2024-01-24,CM,INE0O7A01017,PRAMARA,PRAMARA PROMOTIONS LTD,151.0,154.25,146.0,154.25,154.25,140.25,258000,38676900.0,123
2024-01-25,CM,INE0O7A01017,PRAMARA,PRAMARA PROMOTIONS LTD,159.0,159.95,150.0,152.0,152.0,154.25,34000,5275100.0,17
2024-01-29,CM,INE0O7A01017,PRAMARA,PRAMARA PROMOTIONS LTD,152.05,152.05,139.0,143.0,143.0,152.0,32000,4645400.0,16
2024-01-31,CM,INE0O7A01017,PRAMARA,PRAMARA PROMOTIONS LTD,137.2,139.5,130.5,139.25,139.0,143.0,38000,5098300.0,19
