TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INE0PA801013,GHCLTEXTIL,GHCL TEXTILES LIMITED,69.75,70.9,69.75,70.35,70.6,69.65,194785,13702966.3,1395
2024-01-02,CM,INE0PA801013,GHCLTEXTIL,GHCL TEXTILES LIMITED,71.05,73.5,69.9,72.25,72.35,70.35,561163,40343883.8,4226
2024-01-03,CM,INE0PA801013,GHCLTEXTIL,GHCL TEXTILES LIMITED,72.25,74.4,72.25,73.0,72.7,72.25,440188,32308717.05,2839
2024-01-04,CM,INE0PA801013,GHCLTEXTIL,GHCL TEXTILES LIMITED,74.0,74.2,71.9,72.35,72.0,73.0,354584,25984988.3,2219
2024-01-05,CM,INE0PA801013,GHCLTEXTIL,GHCL TEXTILES LIMITED,72.35,73.75,71.25,72.25,72.6,72.35,362855,26267153.55,3936
2024-01-08,CM,INE0PA801013,GHCLTEXTIL,GHCL TEXTILES LIMITED,72.0,73.55,71.0,72.25,72.2,72.25,593808,42912870.4,5289
2024-01-09,CM,INE0PA801013,GHCLTEXTIL,GHCL TEXTILES LIMITED,72.4,75.0,72.4,73.45,73.55,72.25,575755,42557253.05,3807
2024-01-10,CM,INE0PA801013,GHCLTEXTIL,GHCL TEXTILES LIMITED,73.45,83.9,73.2,80.3,80.95,73.45,4564249,365028243.4,22470
2024-01-11,CM,INE0PA801013,GHCLTEXTIL,GHCL TEXTILES LIMITED,79.75,82.3,78.9,81.45,81.3,80.3,1130012,91353795.6,8816
2024-01-12,CM,INE0PA801013,GHCLTEXTIL,GHCL TEXTILES LIMITED,84.95,84.95,81.4,82.05,81.5,81.45,770588,63617050.4,6368
2024-01-15,CM,INE0PA801013,GHCLTEXTIL,GHCL TEXTILES LIMITED,82.9,84.4,79.1,79.8,79.95,82.05,706745,57249434.3,4237
2024-01-16,CM,INE0PA801013,GHCLTEXTIL,GHCL TEXTILES LIMITED,79.0,82.8,76.1,79.35,79.5,79.8,1040772,83204682.7,7291
2024-01-17,CM,INE0PA801013,GHCLTEXTIL,GHCL TEXTILES LIMITED,79.95,79.95,76.5,77.75,78.3,79.35,620900,48374076.05,5434
2024-01-18,CM,INE0PA801013,GHCLTEXTIL,GHCL TEXTILES LIMITED,77.5,79.4,76.4,77.65,78.0,77.75,577175,44811285.0,4318
2024-01-19,CM,INE0PA801013,GHCLTEXTIL,GHCL TEXTILES LIMITED,78.5,81.05,77.0,77.85,78.3,77.65,451110,35406144.95,3904
2024-01-23,CM,INE0PA801013,GHCLTEXTIL,GHCL TEXTILES LIMITED,79.0,79.75,77.4,77.7,77.95,78.9,351018,27339179.55,2423
2024-01-24,CM,INE0PA801013,GHCLTEXTIL,GHCL TEXTILES LIMITED,79.25,80.6,77.55,79.5,79.7,77.7,815315,64135036.9,5376
2024-01-25,CM,INE0PA801013,GHCLTEXTIL,GHCL TEXTILES LIMITED,80.0,83.0,78.35,79.65,79.9,79.5,563269,45284788.1,5636
