TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INE0PUC01020,SARTELE,SAR TELEVENTURE LIMITED,168.95,168.95,157.15,158.6,159.0,159.75,112000,17856200.0,55
2024-01-02,CM,INE0PUC01020,SARTELE,SAR TELEVENTURE LIMITED,156.05,162.8,156.05,158.25,159.0,158.6,64000,10175100.0,32
2024-01-03,CM,INE0PUC01020,SARTELE,SAR TELEVENTURE LIMITED,161.95,174.05,160.25,174.05,174.05,158.25,126000,21290200.0,62
2024-01-04,CM,INE0PUC01020,SARTELE,SAR TELEVENTURE LIMITED,179.6,191.45,178.0,191.45,191.45,174.05,264000,49723100.0,105
2024-01-05,CM,INE0PUC01020,SARTELE,SAR TELEVENTURE LIMITED,194.7,209.45,191.0,205.65,205.0,191.45,368000,74731600.0,180
2024-01-08,CM,INE0PUC01020,SARTELE,SAR TELEVENTURE LIMITED,205.25,215.9,200.0,215.9,215.9,205.65,266000,56663800.0,118
2024-01-09,CM,INE0PUC01020,SARTELE,SAR TELEVENTURE LIMITED,226.65,226.65,226.6,226.65,226.65,215.9,336000,76154300.0,106
2024-01-10,CM,INE0PUC01020,SARTELE,SAR TELEVENTURE LIMITED,237.95,237.95,237.95,237.95,237.95,226.65,76000,18084200.0,35
2024-01-11,CM,INE0PUC01020,SARTELE,SAR TELEVENTURE LIMITED,248.8,249.8,234.0,249.8,249.8,237.95,522000,128797200.0,240
2024-01-12,CM,INE0PUC01020,SARTELE,SAR TELEVENTURE LIMITED,256.0,262.25,252.0,262.25,262.25,249.8,318000,82345300.0,146
2024-01-15,CM,INE0PUC01020,SARTELE,SAR TELEVENTURE LIMITED,269.0,274.0,252.15,255.35,255.95,262.25,278000,73363800.0,134
2024-01-16,CM,INE0PUC01020,SARTELE,SAR TELEVENTURE LIMITED,250.8,261.0,242.6,245.5,246.0,255.35,184000,45833400.0,91
2024-01-17,CM,INE0PUC01020,SARTELE,SAR TELEVENTURE LIMITED,239.4,255.0,235.5,249.0,250.0,245.5,162000,39732100.0,79
2024-01-18,CM,INE0PUC01020,SARTELE,SAR TELEVENTURE LIMITED,250.0,261.45,244.0,261.45,261.45,249.0,150000,38136200.0,64
2024-01-19,CM,INE0PUC01020,SARTELE,SAR TELEVENTURE LIMITED,274.5,274.5,274.5,274.5,274.5,261.45,66000,18117000.0,27
2024-01-23,CM,INE0PUC01020,SARTELE,SAR TELEVENTURE LIMITED,288.0,296.0,273.8,273.8,273.8,288.2,154000,42896600.0,74
2024-01-24,CM,INE0PUC01020,SARTELE,SAR TELEVENTURE LIMITED,265.0,271.8,260.15,268.45,268.45,273.8,116000,30603300.0,57
2024-01-25,CM,INE0PUC01020,SARTELE,SAR TELEVENTURE LIMITED,268.5,281.85,267.45,281.85,281.85,268.45,176000,48672900.0,68
2024-01-29,CM,INE0PUC01020,SARTELE,SAR TELEVENTURE LIMITED,295.9,295.9,272.0,281.5,281.0,281.85,276000,79039800.0,131
2024-01-30,CM,INE0PUC01020,SARTELE,SAR TELEVENTURE LIMITED,287.15,288.65,267.45,269.7,269.1,281.5,222000,60902500.0,105
2024-01-31,CM,INE0PUC01020,SARTELE,SAR TELEVENTURE LIMITED,268.45,273.0,258.5,260.25,258.5,269.7,82000,21754600.0,41
2024-02-01,CM,INE0PUC01020,SARTELE,SAR TELEVENTURE LIMITED,260.0,273.25,259.9,273.25,273.25,260.25,94000,25175000.0,45
2024-02-02,CM,INE0PUC01020,SARTELE,SAR TELEVENTURE LIMITED,286.9,286.9,286.9,286.9,286.9,273.25,34000,9754600.0,15
2024-02-05,CM,INE0PUC01020,SARTELE,SAR TELEVENTURE LIMITED,301.2,301.2,301.2,301.2,301.2,286.9,64000,19276800.0,22
2024-02-06,CM,INE0PUC01020,SARTELE,SAR TELEVENTURE LIMITED,316.25,316.25,301.0,316.25,316.25,301.2,422000,133047600.0,137
2024-02-07,CM,INE0PUC01020,SARTELE,SAR TELEVENTURE LIMITED,332.05,332.05,300.45,306.8,309.0,316.25,484000,155699700.0,214
2024-02-08,CM,INE0PUC01020,SARTELE,SAR TELEVENTURE LIMITED,291.5,317.8,291.5,297.95,294.1,306.8,278000,82271200.0,135
2024-02-09,CM,INE0PUC01020,SARTELE,SAR TELEVENTURE LIMITED,291.6,306.8,287.0,298.4,299.0,297.95,90000,26515700.0,44
2024-02-12,CM,INE0PUC01020,SARTELE,SAR TELEVENTURE LIMITED,308.95,308.95,283.5,283.5,283.5,298.4,130000,37362100.0,65
2024-02-13,CM,INE0PUC01020,SARTELE,SAR TELEVENTURE LIMITED,280.0,282.0,269.35,274.8,278.0,283.5,164000,44775100.0,82
2024-02-14,CM,INE0PUC01020,SARTELE,SAR TELEVENTURE LIMITED,275.15,288.5,267.0,288.5,288.5,274.8,66000,18537800.0,30
2024-02-15,CM,INE0PUC01020,SARTELE,SAR TELEVENTURE LIMITED,289.0,302.9,284.05,297.5,294.0,288.5,142000,42424200.0,65
2024-02-16,CM,INE0PUC01020,SARTELE,SAR TELEVENTURE LIMITED,305.95,309.8,286.15,295.4,296.9,297.5,84000,24730500.0,39
