TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INE0QBU01012,CPS,C P S SHAPERS LIMITED,380.0,400.0,378.0,390.3,390.3,404.9,6000,2357130.0,8
2024-01-02,CM,INE0QBU01012,CPS,C P S SHAPERS LIMITED,393.0,400.1,393.0,400.1,400.1,390.3,3000,1192860.0,5
2024-01-03,CM,INE0QBU01012,CPS,C P S SHAPERS LIMITED,408.9,436.0,408.9,418.5,414.0,400.1,4800,2021130.0,8
2024-01-04,CM,INE0QBU01012,CPS,C P S SHAPERS LIMITED,428.0,428.0,419.0,422.5,422.0,418.5,3000,1269480.0,5
2024-01-05,CM,INE0QBU01012,CPS,C P S SHAPERS LIMITED,423.9,423.9,423.9,423.9,423.9,422.5,600,254340.0,1
2024-01-08,CM,INE0QBU01012,CPS,C P S SHAPERS LIMITED,410.0,412.1,403.35,407.7,403.35,423.9,4200,1716450.0,6
2024-01-09,CM,INE0QBU01012,CPS,C P S SHAPERS LIMITED,410.0,410.0,395.0,400.0,400.0,407.7,4800,1924800.0,8
2024-01-10,CM,INE0QBU01012,CPS,C P S SHAPERS LIMITED,392.25,392.25,392.1,392.1,392.1,400.0,1200,470610.0,2
2024-01-11,CM,INE0QBU01012,CPS,C P S SHAPERS LIMITED,391.0,403.9,391.0,400.1,400.1,392.1,6600,2627400.0,10
2024-01-12,CM,INE0QBU01012,CPS,C P S SHAPERS LIMITED,395.0,398.85,390.2,395.0,395.0,400.1,3000,1186710.0,5
2024-01-15,CM,INE0QBU01012,CPS,C P S SHAPERS LIMITED,395.0,398.95,392.0,398.95,398.95,395.0,2400,948570.0,4
2024-01-16,CM,INE0QBU01012,CPS,C P S SHAPERS LIMITED,392.1,392.2,390.0,390.0,390.0,398.95,4200,1644870.0,7
2024-01-17,CM,INE0QBU01012,CPS,C P S SHAPERS LIMITED,385.0,385.0,385.0,385.0,385.0,390.0,600,231000.0,1
2024-01-18,CM,INE0QBU01012,CPS,C P S SHAPERS LIMITED,382.4,387.9,380.05,387.9,387.9,385.0,4800,1838550.0,8
2024-01-19,CM,INE0QBU01012,CPS,C P S SHAPERS LIMITED,398.85,421.0,398.85,414.9,414.9,387.9,9600,3935340.0,16
2024-01-23,CM,INE0QBU01012,CPS,C P S SHAPERS LIMITED,400.0,400.0,392.1,392.1,392.1,400.0,1800,712260.0,3
2024-01-24,CM,INE0QBU01012,CPS,C P S SHAPERS LIMITED,400.0,400.0,392.1,392.1,392.1,392.1,1200,475260.0,2
2024-01-25,CM,INE0QBU01012,CPS,C P S SHAPERS LIMITED,400.0,400.0,386.6,386.6,386.6,392.1,2400,948780.0,4
2024-01-29,CM,INE0QBU01012,CPS,C P S SHAPERS LIMITED,381.05,381.05,380.3,380.35,380.3,386.6,3000,1141500.0,5
2024-01-30,CM,INE0QBU01012,CPS,C P S SHAPERS LIMITED,408.0,410.0,400.0,406.9,406.9,380.35,3000,1220940.0,5
2024-02-01,CM,INE0QBU01012,CPS,C P S SHAPERS LIMITED,404.9,404.9,404.9,404.9,404.9,406.9,600,242940.0,1
2024-02-02,CM,INE0QBU01012,CPS,C P S SHAPERS LIMITED,404.8,404.8,395.0,395.0,395.0,404.9,2400,957420.0,4
2024-02-05,CM,INE0QBU01012,CPS,C P S SHAPERS LIMITED,381.0,386.0,381.0,386.0,386.0,395.0,3600,1378800.0,6
2024-02-06,CM,INE0QBU01012,CPS,C P S SHAPERS LIMITED,381.0,388.0,378.0,378.0,378.0,386.0,7800,2980800.0,11
2024-02-07,CM,INE0QBU01012,CPS,C P S SHAPERS LIMITED,366.0,376.0,366.0,366.1,366.1,378.0,1800,664860.0,3
2024-02-08,CM,INE0QBU01012,CPS,C P S SHAPERS LIMITED,366.2,366.2,366.15,366.15,366.15,366.1,1200,439410.0,2
2024-02-09,CM,INE0QBU01012,CPS,C P S SHAPERS LIMITED,360.0,360.0,344.0,355.0,355.0,366.15,2400,851400.0,4
2024-02-12,CM,INE0QBU01012,CPS,C P S SHAPERS LIMITED,347.0,348.5,345.0,345.0,345.0,355.0,3000,1040760.0,5
2024-02-14,CM,INE0QBU01012,CPS,C P S SHAPERS LIMITED,348.0,355.0,341.0,355.0,355.0,345.0,3000,1041960.0,5
2024-02-15,CM,INE0QBU01012,CPS,C P S SHAPERS LIMITED,348.2,348.2,348.0,348.1,348.0,355.0,1200,417720.0,2
2024-02-16,CM,INE0QBU01012,CPS,C P S SHAPERS LIMITED,366.5,383.0,366.5,383.0,383.0,348.1,2400,892440.0,4
2024-02-20,CM,INE0QBU01012,CPS,C P S SHAPERS LIMITED,364.0,375.0,360.0,374.8,374.8,383.0,3600,1327560.0,6
2024-02-21,CM,INE0QBU01012,CPS,C P S SHAPERS LIMITED,364.0,364.0,350.0,350.0,350.0,374.8,2400,864180.0,3
2024-02-22,CM,INE0QBU01012,CPS,C P S SHAPERS LIMITED,364.9,365.0,350.2,350.2,350.2,350.0,2400,867060.0,4
2024-02-23,CM,INE0QBU01012,CPS,C P S SHAPERS LIMITED,350.05,350.05,350.05,350.05,350.05,350.2,600,210030.0,1
2024-02-26,CM,INE0QBU01012,CPS,C P S SHAPERS LIMITED,360.0,360.0,301.0,359.0,359.0,350.05,3600,1209900.0,6
2024-02-27,CM,INE0QBU01012,CPS,C P S SHAPERS LIMITED,360.0,360.0,360.0,360.0,360.0,359.0,600,216000.0,1
2024-02-28,CM,INE0QBU01012,CPS,C P S SHAPERS LIMITED,352.0,352.0,350.0,350.0,350.0,360.0,1200,421200.0,2
2024-02-29,CM,INE0QBU01012,CPS,C P S SHAPERS LIMITED,340.05,354.9,340.0,354.9,354.9,350.0,3000,1028970.0,5
2024-03-01,CM,INE0QBU01012,CPS,C P S SHAPERS LIMITED,339.15,340.2,339.15,340.2,340.2,354.9,1800,611310.0,3
2024-03-04,CM,INE0QBU01012,CPS,C P S SHAPERS LIMITED,316.0,339.7,316.0,327.35,326.0,340.2,4800,1590180.0,7
2024-03-05,CM,INE0QBU01012,CPS,C P S SHAPERS LIMITED,336.0,341.0,320.2,325.1,320.2,327.35,3000,999720.0,5
