TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INE0QJ901011,DIGIKORE,DIGIKORE STUDIOS LIMITED,345.0,345.0,330.0,330.35,330.0,331.7,40000,13381880.0,40
2024-01-02,CM,INE0QJ901011,DIGIKORE,DIGIKORE STUDIOS LIMITED,331.25,331.3,320.05,329.0,330.0,330.35,62400,20597800.0,39
2024-01-03,CM,INE0QJ901011,DIGIKORE,DIGIKORE STUDIOS LIMITED,342.0,347.5,337.0,343.3,343.0,329.0,53600,18365320.0,53
2024-01-04,CM,INE0QJ901011,DIGIKORE,DIGIKORE STUDIOS LIMITED,350.0,388.75,350.0,383.85,378.0,343.3,48000,17623600.0,54
2024-01-05,CM,INE0QJ901011,DIGIKORE,DIGIKORE STUDIOS LIMITED,386.0,394.0,377.5,382.5,381.5,383.85,56000,21569240.0,67
2024-01-08,CM,INE0QJ901011,DIGIKORE,DIGIKORE STUDIOS LIMITED,385.0,428.0,366.7,421.15,426.5,382.5,113600,45647480.0,128
2024-01-09,CM,INE0QJ901011,DIGIKORE,DIGIKORE STUDIOS LIMITED,440.0,505.35,435.0,473.05,482.0,421.15,197600,93552720.0,217
2024-01-10,CM,INE0QJ901011,DIGIKORE,DIGIKORE STUDIOS LIMITED,482.0,482.0,440.2,461.25,464.7,473.05,76000,34536440.0,88
2024-01-11,CM,INE0QJ901011,DIGIKORE,DIGIKORE STUDIOS LIMITED,465.0,490.0,458.0,470.0,470.0,461.25,34400,16212120.0,43
2024-01-12,CM,INE0QJ901011,DIGIKORE,DIGIKORE STUDIOS LIMITED,470.1,478.0,443.0,446.0,449.0,470.0,22400,10385760.0,27
2024-01-15,CM,INE0QJ901011,DIGIKORE,DIGIKORE STUDIOS LIMITED,445.0,449.0,430.0,436.5,437.0,446.0,27200,11902360.0,34
2024-01-16,CM,INE0QJ901011,DIGIKORE,DIGIKORE STUDIOS LIMITED,436.5,443.8,425.0,429.0,429.0,436.5,8000,3493560.0,10
2024-01-17,CM,INE0QJ901011,DIGIKORE,DIGIKORE STUDIOS LIMITED,425.0,471.9,424.0,471.9,471.9,429.0,152800,71186960.0,144
2024-01-18,CM,INE0QJ901011,DIGIKORE,DIGIKORE STUDIOS LIMITED,490.0,505.0,482.0,497.45,499.0,471.9,60800,30140200.0,73
2024-01-19,CM,INE0QJ901011,DIGIKORE,DIGIKORE STUDIOS LIMITED,505.0,510.95,468.0,491.75,493.6,497.45,28000,13721040.0,35
2024-01-23,CM,INE0QJ901011,DIGIKORE,DIGIKORE STUDIOS LIMITED,499.9,499.9,465.0,465.0,465.0,481.05,13600,6543000.0,17
2024-01-24,CM,INE0QJ901011,DIGIKORE,DIGIKORE STUDIOS LIMITED,475.0,495.0,470.0,482.6,495.0,465.0,12000,5752320.0,11
2024-01-25,CM,INE0QJ901011,DIGIKORE,DIGIKORE STUDIOS LIMITED,496.0,505.0,493.5,496.5,498.0,482.6,23200,11577960.0,25
2024-01-29,CM,INE0QJ901011,DIGIKORE,DIGIKORE STUDIOS LIMITED,495.0,495.0,475.0,478.0,475.0,496.5,9600,4644120.0,12
2024-01-30,CM,INE0QJ901011,DIGIKORE,DIGIKORE STUDIOS LIMITED,492.85,505.0,489.0,503.25,500.0,478.0,26400,13154000.0,24
2024-01-31,CM,INE0QJ901011,DIGIKORE,DIGIKORE STUDIOS LIMITED,525.0,525.0,512.0,514.65,512.0,503.25,9600,4986600.0,12
2024-02-01,CM,INE0QJ901011,DIGIKORE,DIGIKORE STUDIOS LIMITED,520.0,520.0,505.0,505.0,505.0,514.65,4000,2052000.0,5
2024-02-02,CM,INE0QJ901011,DIGIKORE,DIGIKORE STUDIOS LIMITED,499.0,500.0,487.25,500.0,500.0,505.0,8800,4368440.0,11
2024-02-05,CM,INE0QJ901011,DIGIKORE,DIGIKORE STUDIOS LIMITED,490.75,490.75,490.0,490.0,490.0,500.0,2400,1176600.0,3
2024-02-06,CM,INE0QJ901011,DIGIKORE,DIGIKORE STUDIOS LIMITED,490.0,500.0,468.0,471.75,470.0,490.0,16800,8027560.0,21
2024-02-07,CM,INE0QJ901011,DIGIKORE,DIGIKORE STUDIOS LIMITED,472.1,494.8,469.0,477.0,469.0,471.75,4800,2312720.0,6
2024-02-08,CM,INE0QJ901011,DIGIKORE,DIGIKORE STUDIOS LIMITED,477.0,484.9,469.0,484.9,484.9,477.0,5600,2656760.0,6
2024-02-09,CM,INE0QJ901011,DIGIKORE,DIGIKORE STUDIOS LIMITED,460.0,481.0,456.0,473.0,477.0,484.9,16000,7475560.0,20
2024-02-12,CM,INE0QJ901011,DIGIKORE,DIGIKORE STUDIOS LIMITED,456.0,493.0,456.0,493.0,493.0,473.0,12800,5997200.0,16
2024-02-13,CM,INE0QJ901011,DIGIKORE,DIGIKORE STUDIOS LIMITED,460.3,475.0,456.0,473.6,475.0,493.0,21600,10024000.0,27
2024-02-14,CM,INE0QJ901011,DIGIKORE,DIGIKORE STUDIOS LIMITED,475.0,484.5,470.0,472.45,470.0,473.6,6400,3059880.0,8
2024-02-15,CM,INE0QJ901011,DIGIKORE,DIGIKORE STUDIOS LIMITED,488.8,488.8,471.0,482.0,484.0,472.45,9600,4585080.0,12
2024-02-16,CM,INE0QJ901011,DIGIKORE,DIGIKORE STUDIOS LIMITED,490.0,503.5,490.0,497.0,500.0,482.0,5600,2774000.0,7
2024-02-19,CM,INE0QJ901011,DIGIKORE,DIGIKORE STUDIOS LIMITED,492.0,500.0,480.0,494.0,494.0,497.0,14400,7053120.0,17
2024-02-20,CM,INE0QJ901011,DIGIKORE,DIGIKORE STUDIOS LIMITED,490.0,490.5,481.2,484.5,490.0,494.0,12800,6222960.0,16
2024-02-21,CM,INE0QJ901011,DIGIKORE,DIGIKORE STUDIOS LIMITED,504.0,518.0,488.15,504.0,504.0,484.5,14400,7311080.0,18
2024-02-22,CM,INE0QJ901011,DIGIKORE,DIGIKORE STUDIOS LIMITED,488.05,499.0,486.0,490.0,490.0,504.0,7200,3531880.0,9
2024-02-23,CM,INE0QJ901011,DIGIKORE,DIGIKORE STUDIOS LIMITED,484.05,499.0,484.05,499.0,499.0,490.0,5600,2760600.0,7
2024-02-26,CM,INE0QJ901011,DIGIKORE,DIGIKORE STUDIOS LIMITED,499.0,499.0,479.0,481.75,484.8,499.0,16000,7812640.0,20
2024-02-27,CM,INE0QJ901011,DIGIKORE,DIGIKORE STUDIOS LIMITED,480.0,482.0,480.0,481.0,481.0,481.75,3200,1539200.0,4
2024-02-28,CM,INE0QJ901011,DIGIKORE,DIGIKORE STUDIOS LIMITED,477.0,491.5,459.0,490.0,490.0,481.0,16000,7583840.0,20
2024-02-29,CM,INE0QJ901011,DIGIKORE,DIGIKORE STUDIOS LIMITED,471.05,490.0,471.05,489.0,489.0,490.0,29600,14333320.0,34
2024-03-01,CM,INE0QJ901011,DIGIKORE,DIGIKORE STUDIOS LIMITED,490.05,495.0,485.0,486.35,487.0,489.0,12000,5867600.0,15
2024-03-04,CM,INE0QJ901011,DIGIKORE,DIGIKORE STUDIOS LIMITED,505.0,534.95,500.0,534.95,534.95,486.35,60000,31220600.0,72
2024-03-05,CM,INE0QJ901011,DIGIKORE,DIGIKORE STUDIOS LIMITED,550.0,569.0,540.05,554.5,551.0,534.95,39200,21638560.0,45
2024-03-06,CM,INE0QJ901011,DIGIKORE,DIGIKORE STUDIOS LIMITED,530.0,535.0,502.15,529.35,535.0,554.5,24800,12868400.0,31
2024-03-07,CM,INE0QJ901011,DIGIKORE,DIGIKORE STUDIOS LIMITED,532.0,549.5,532.0,545.0,545.0,529.35,24800,13475120.0,28
