TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-02-27,CM,INE0QWN01013,ZENITHDRUG,ZENITH DRUGS LIMITED,110.0,114.5,104.5,105.15,104.5,79.0,2163200,233450720.0,1167
2024-02-28,CM,INE0QWN01013,ZENITHDRUG,ZENITH DRUGS LIMITED,99.9,99.9,99.9,99.9,99.9,105.15,195200,19500480.0,81
2024-02-29,CM,INE0QWN01013,ZENITHDRUG,ZENITH DRUGS LIMITED,94.9,98.95,94.9,95.8,96.6,99.9,632000,60266480.0,245
2024-03-01,CM,INE0QWN01013,ZENITHDRUG,ZENITH DRUGS LIMITED,96.5,97.0,91.1,91.65,91.95,95.8,160000,14885440.0,96
2024-03-04,CM,INE0QWN01013,ZENITHDRUG,ZENITH DRUGS LIMITED,100.0,101.0,95.0,100.8,100.05,96.2,345600,34540560.0,175
2024-03-05,CM,INE0QWN01013,ZENITHDRUG,ZENITH DRUGS LIMITED,97.35,98.5,95.8,95.8,95.8,100.8,44800,4310160.0,28
2024-03-06,CM,INE0QWN01013,ZENITHDRUG,ZENITH DRUGS LIMITED,91.05,91.05,91.05,91.05,91.05,95.8,24000,2185200.0,14
2024-03-07,CM,INE0QWN01013,ZENITHDRUG,ZENITH DRUGS LIMITED,88.1,92.0,86.5,88.15,87.85,91.05,180800,15827040.0,107
2024-03-11,CM,INE0QWN01013,ZENITHDRUG,ZENITH DRUGS LIMITED,85.9,87.0,83.75,83.75,83.75,88.15,118400,9951360.0,74
2024-03-12,CM,INE0QWN01013,ZENITHDRUG,ZENITH DRUGS LIMITED,80.2,80.2,79.6,79.6,79.6,83.75,38400,3059680.0,21
2024-03-13,CM,INE0QWN01013,ZENITHDRUG,ZENITH DRUGS LIMITED,76.3,78.5,63.7,63.7,63.7,79.6,440000,29332080.0,232
2024-03-14,CM,INE0QWN01013,ZENITHDRUG,ZENITH DRUGS LIMITED,58.6,72.5,54.2,66.85,66.75,63.7,308800,19130000.0,168
2024-03-15,CM,INE0QWN01013,ZENITHDRUG,ZENITH DRUGS LIMITED,66.8,69.45,62.0,64.8,65.0,66.85,196800,12887440.0,75
2024-03-18,CM,INE0QWN01013,ZENITHDRUG,ZENITH DRUGS LIMITED,65.0,67.0,62.0,66.7,67.0,64.8,134400,8824160.0,61
2024-03-19,CM,INE0QWN01013,ZENITHDRUG,ZENITH DRUGS LIMITED,65.8,67.0,64.3,65.6,64.65,66.7,64000,4179040.0,40
