TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-05-24,CM,INE0R7301013,RULKA,RULKA ELECTRICALS LIMITED,525.0,551.25,498.75,498.75,498.75,235.0,448800,235074750.0,630
2024-05-27,CM,INE0R7301013,RULKA,RULKA ELECTRICALS LIMITED,473.85,473.85,473.85,473.85,473.85,498.75,6600,3127410.0,9
2024-05-28,CM,INE0R7301013,RULKA,RULKA ELECTRICALS LIMITED,450.15,450.15,450.15,450.15,450.15,473.85,3000,1350450.0,5
2024-05-29,CM,INE0R7301013,RULKA,RULKA ELECTRICALS LIMITED,427.65,427.65,427.65,427.65,427.65,450.15,1800,769770.0,3
2024-05-30,CM,INE0R7301013,RULKA,RULKA ELECTRICALS LIMITED,406.3,406.3,406.3,406.3,406.3,427.65,3000,1218900.0,5
2024-05-31,CM,INE0R7301013,RULKA,RULKA ELECTRICALS LIMITED,386.0,424.5,386.0,401.15,400.0,406.3,256200,100316880.0,376
2024-06-03,CM,INE0R7301013,RULKA,RULKA ELECTRICALS LIMITED,404.0,404.0,381.1,381.1,381.1,401.15,49800,19274370.0,74
2024-06-04,CM,INE0R7301013,RULKA,RULKA ELECTRICALS LIMITED,362.05,362.05,362.05,362.05,362.05,381.1,7800,2823990.0,13
2024-06-05,CM,INE0R7301013,RULKA,RULKA ELECTRICALS LIMITED,343.95,343.95,343.95,343.95,343.95,362.05,3000,1031850.0,5
2024-06-06,CM,INE0R7301013,RULKA,RULKA ELECTRICALS LIMITED,341.0,360.5,326.75,352.55,356.0,343.95,129000,43995960.0,181
2024-06-07,CM,INE0R7301013,RULKA,RULKA ELECTRICALS LIMITED,345.0,373.0,340.0,357.8,365.5,352.55,82200,29237310.0,131
2024-06-10,CM,INE0R7301013,RULKA,RULKA ELECTRICALS LIMITED,367.4,373.4,360.0,362.95,365.0,357.8,82200,30240270.0,118
2024-06-11,CM,INE0R7301013,RULKA,RULKA ELECTRICALS LIMITED,372.0,435.5,372.0,435.5,435.5,362.95,156000,65252850.0,216
2024-06-12,CM,INE0R7301013,RULKA,RULKA ELECTRICALS LIMITED,474.9,482.8,405.1,464.0,463.3,435.5,244200,111215610.0,388
2024-06-13,CM,INE0R7301013,RULKA,RULKA ELECTRICALS LIMITED,473.5,510.0,466.25,494.55,495.0,464.0,109200,53712510.0,172
2024-06-14,CM,INE0R7301013,RULKA,RULKA ELECTRICALS LIMITED,507.0,509.0,476.05,478.65,477.2,494.55,55800,27377370.0,90
2024-06-18,CM,INE0R7301013,RULKA,RULKA ELECTRICALS LIMITED,491.3,499.0,455.0,475.85,473.1,478.65,63000,30283080.0,103
2024-06-19,CM,INE0R7301013,RULKA,RULKA ELECTRICALS LIMITED,484.0,486.5,455.45,470.2,460.05,475.85,51600,24513180.0,78
2024-06-20,CM,INE0R7301013,RULKA,RULKA ELECTRICALS LIMITED,470.25,489.0,461.3,480.6,484.0,470.2,52800,25208100.0,83
2024-06-21,CM,INE0R7301013,RULKA,RULKA ELECTRICALS LIMITED,485.0,493.0,460.0,465.75,464.05,480.6,40800,19359600.0,65
2024-06-24,CM,INE0R7301013,RULKA,RULKA ELECTRICALS LIMITED,461.0,461.0,427.6,443.65,442.1,465.75,167400,74521350.0,240
2024-06-25,CM,INE0R7301013,RULKA,RULKA ELECTRICALS LIMITED,456.0,532.35,442.0,532.35,532.35,443.65,291600,143958660.0,455
2024-06-26,CM,INE0R7301013,RULKA,RULKA ELECTRICALS LIMITED,557.5,606.0,533.0,550.1,549.0,532.35,235800,134606940.0,367
