TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-02-12,CM,INE0R8O23017,SEITINVIT,SUSTAINABLE ENERGY INFRA,100.0,100.0,100.0,100.0,100.0,100.0,200000,20000000.0,1
2024-02-15,CM,INE0R8O23017,SEITINVIT,SUSTAINABLE ENERGY INFRA,105.0,105.0,105.0,105.0,105.0,100.0,400000,42000000.0,2
2024-02-21,CM,INE0R8O23017,SEITINVIT,SUSTAINABLE ENERGY INFRA,106.0,107.0,106.0,107.0,107.0,105.0,1800000,192200000.0,9
2024-02-23,CM,INE0R8O23017,SEITINVIT,SUSTAINABLE ENERGY INFRA,104.0,106.0,104.0,106.0,106.0,107.0,800000,84000000.0,4
2024-02-26,CM,INE0R8O23017,SEITINVIT,SUSTAINABLE ENERGY INFRA,105.0,106.0,105.0,106.0,106.0,106.0,600000,63200000.0,3
2024-02-28,CM,INE0R8O23017,SEITINVIT,SUSTAINABLE ENERGY INFRA,107.0,107.0,107.0,107.0,107.0,106.0,200000,21400000.0,1
2024-03-06,CM,INE0R8O23017,SEITINVIT,SUSTAINABLE ENERGY INFRA,105.0,105.0,100.0,101.53,100.0,107.0,2600000,264000000.0,5
2024-03-28,CM,INE0R8O23017,SEITINVIT,SUSTAINABLE ENERGY INFRA,106.5,106.5,106.5,106.5,106.5,101.53,200000,21300000.0,1
2024-05-10,CM,INE0R8O23017,SEITINVIT,SUSTAINABLE ENERGY INFRA,102.0,102.0,100.0,100.5,100.0,106.5,1600000,160800000.0,3
2024-08-12,CM,INE0R8O23017,SEITINVIT,SUSTAINABLE ENERGY INFRA,108.0,108.0,108.0,108.0,108.0,100.5,400000,43200000.0,2
