TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-04-09,CM,INE0STM01017,ALUWIND,ALUWIND ARCHITECTURAL LTD,45.0,47.25,45.0,47.25,47.25,45.0,1989000,91376400.0,585
2024-04-10,CM,INE0STM01017,ALUWIND,ALUWIND ARCHITECTURAL LTD,47.9,47.9,44.9,45.35,45.15,47.25,1326000,60997050.0,348
2024-04-12,CM,INE0STM01017,ALUWIND,ALUWIND ARCHITECTURAL LTD,45.0,45.7,43.1,44.0,44.65,45.35,363000,16043100.0,96
2024-04-15,CM,INE0STM01017,ALUWIND,ALUWIND ARCHITECTURAL LTD,42.5,44.0,41.8,42.25,42.2,44.0,237000,10027050.0,76
2024-04-16,CM,INE0STM01017,ALUWIND,ALUWIND ARCHITECTURAL LTD,41.5,42.15,40.65,41.3,41.3,42.25,81000,3361350.0,27
2024-04-18,CM,INE0STM01017,ALUWIND,ALUWIND ARCHITECTURAL LTD,42.85,43.35,39.5,43.25,43.3,41.3,276000,11691150.0,91
2024-04-19,CM,INE0STM01017,ALUWIND,ALUWIND ARCHITECTURAL LTD,41.6,44.55,41.5,44.45,44.55,43.25,231000,9909150.0,72
2024-04-22,CM,INE0STM01017,ALUWIND,ALUWIND ARCHITECTURAL LTD,46.55,46.65,45.55,46.65,46.65,44.45,459000,21316800.0,148
2024-04-23,CM,INE0STM01017,ALUWIND,ALUWIND ARCHITECTURAL LTD,47.6,48.4,46.75,47.35,46.95,46.65,291000,13853100.0,90
2024-04-24,CM,INE0STM01017,ALUWIND,ALUWIND ARCHITECTURAL LTD,47.95,48.6,45.15,46.15,46.2,47.35,198000,9271350.0,59
2024-04-25,CM,INE0STM01017,ALUWIND,ALUWIND ARCHITECTURAL LTD,45.5,48.0,45.2,46.3,46.3,46.15,273000,12737850.0,83
2024-04-26,CM,INE0STM01017,ALUWIND,ALUWIND ARCHITECTURAL LTD,46.3,47.45,46.0,46.4,46.45,46.3,282000,13164150.0,90
2024-04-29,CM,INE0STM01017,ALUWIND,ALUWIND ARCHITECTURAL LTD,46.2,47.05,46.0,46.25,46.2,46.4,189000,8794500.0,57
2024-04-30,CM,INE0STM01017,ALUWIND,ALUWIND ARCHITECTURAL LTD,46.15,47.5,46.0,46.05,46.0,46.25,261000,12169800.0,86
