TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-07-05,CM,INE0SUN01013,NEPHROCARE,NEPHRO CARE INDIA LIMITED,171.0,179.55,171.0,179.55,179.55,90.0,449600,79344000.0,208
2024-07-08,CM,INE0SUN01013,NEPHROCARE,NEPHRO CARE INDIA LIMITED,188.5,188.5,188.5,188.5,188.5,179.55,70400,13270400.0,44
2024-07-09,CM,INE0SUN01013,NEPHROCARE,NEPHRO CARE INDIA LIMITED,197.9,197.9,197.9,197.9,197.9,188.5,25600,5066240.0,16
2024-07-10,CM,INE0SUN01013,NEPHROCARE,NEPHRO CARE INDIA LIMITED,207.75,207.75,207.75,207.75,207.75,197.9,43200,8974800.0,21
2024-07-11,CM,INE0SUN01013,NEPHROCARE,NEPHRO CARE INDIA LIMITED,218.1,218.1,218.1,218.1,218.1,207.75,32000,6979200.0,19
2024-07-12,CM,INE0SUN01013,NEPHROCARE,NEPHRO CARE INDIA LIMITED,229.0,229.0,229.0,229.0,229.0,218.1,70400,16121600.0,41
2024-07-15,CM,INE0SUN01013,NEPHROCARE,NEPHRO CARE INDIA LIMITED,240.45,240.45,240.45,240.45,240.45,229.0,30400,7309680.0,15
2024-07-16,CM,INE0SUN01013,NEPHROCARE,NEPHRO CARE INDIA LIMITED,252.45,252.45,252.45,252.45,252.45,240.45,64000,16156800.0,29
2024-07-18,CM,INE0SUN01013,NEPHROCARE,NEPHRO CARE INDIA LIMITED,265.05,265.05,260.0,265.05,265.05,252.45,1523200,403586880.0,442
2024-07-19,CM,INE0SUN01013,NEPHROCARE,NEPHRO CARE INDIA LIMITED,278.3,278.3,278.3,278.3,278.3,265.05,200000,55660000.0,82
2024-07-22,CM,INE0SUN01013,NEPHROCARE,NEPHRO CARE INDIA LIMITED,270.0,274.95,250.5,250.5,250.5,278.3,2417600,621443040.0,887
2024-07-23,CM,INE0SUN01013,NEPHROCARE,NEPHRO CARE INDIA LIMITED,236.1,252.0,225.45,234.8,234.0,250.5,502400,117518320.0,290
2024-07-24,CM,INE0SUN01013,NEPHROCARE,NEPHRO CARE INDIA LIMITED,240.0,258.25,240.0,258.25,258.25,234.8,769600,195921520.0,313
2024-07-25,CM,INE0SUN01013,NEPHROCARE,NEPHRO CARE INDIA LIMITED,257.0,284.05,257.0,284.05,284.05,258.25,548800,151276480.0,247
2024-07-26,CM,INE0SUN01013,NEPHROCARE,NEPHRO CARE INDIA LIMITED,304.9,312.45,298.0,312.45,312.45,284.05,222400,68061040.0,113
2024-07-29,CM,INE0SUN01013,NEPHROCARE,NEPHRO CARE INDIA LIMITED,343.65,343.65,325.0,343.65,343.65,312.45,755200,258523360.0,254
2024-07-30,CM,INE0SUN01013,NEPHROCARE,NEPHRO CARE INDIA LIMITED,358.9,360.8,355.65,360.8,360.8,343.65,180800,65058320.0,70
2024-07-31,CM,INE0SUN01013,NEPHROCARE,NEPHRO CARE INDIA LIMITED,378.8,378.8,342.8,342.8,342.8,360.8,729600,263918240.0,305
2024-08-01,CM,INE0SUN01013,NEPHROCARE,NEPHRO CARE INDIA LIMITED,325.7,337.0,325.7,333.2,334.0,342.8,347200,113787840.0,158
2024-08-02,CM,INE0SUN01013,NEPHROCARE,NEPHRO CARE INDIA LIMITED,316.55,329.95,316.55,316.55,316.55,333.2,328000,104171680.0,80
2024-08-05,CM,INE0SUN01013,NEPHROCARE,NEPHRO CARE INDIA LIMITED,301.05,304.95,300.75,300.75,300.75,316.55,129600,39104400.0,66
2024-08-06,CM,INE0SUN01013,NEPHROCARE,NEPHRO CARE INDIA LIMITED,295.05,299.0,285.75,285.75,285.75,300.75,337600,96907040.0,132
2024-08-07,CM,INE0SUN01013,NEPHROCARE,NEPHRO CARE INDIA LIMITED,284.0,300.0,271.5,296.85,300.0,285.75,1086400,301373840.0,382
2024-08-08,CM,INE0SUN01013,NEPHROCARE,NEPHRO CARE INDIA LIMITED,308.05,311.65,282.0,282.0,282.0,296.85,278400,82297440.0,153
2024-08-09,CM,INE0SUN01013,NEPHROCARE,NEPHRO CARE INDIA LIMITED,282.0,285.0,268.6,272.75,273.2,282.0,257600,71887120.0,124
2024-08-12,CM,INE0SUN01013,NEPHROCARE,NEPHRO CARE INDIA LIMITED,277.0,285.0,260.0,275.05,276.95,272.75,204800,56486960.0,107
2024-08-13,CM,INE0SUN01013,NEPHROCARE,NEPHRO CARE INDIA LIMITED,283.8,284.8,268.05,269.7,269.0,275.05,73600,20357600.0,45
2024-08-14,CM,INE0SUN01013,NEPHROCARE,NEPHRO CARE INDIA LIMITED,272.5,272.5,256.25,256.25,256.25,269.7,150400,38857920.0,78
2024-08-16,CM,INE0SUN01013,NEPHROCARE,NEPHRO CARE INDIA LIMITED,258.0,268.9,250.15,252.75,252.5,256.25,84800,22073200.0,46
2024-08-19,CM,INE0SUN01013,NEPHROCARE,NEPHRO CARE INDIA LIMITED,252.0,265.35,247.0,265.25,265.35,252.75,128000,33451920.0,70
2024-08-20,CM,INE0SUN01013,NEPHROCARE,NEPHRO CARE INDIA LIMITED,272.0,278.5,270.0,275.9,275.95,265.25,139200,38409120.0,73
2024-08-21,CM,INE0SUN01013,NEPHROCARE,NEPHRO CARE INDIA LIMITED,277.0,286.65,264.55,273.55,274.45,275.9,152000,42208480.0,89
2024-08-22,CM,INE0SUN01013,NEPHROCARE,NEPHRO CARE INDIA LIMITED,279.45,283.0,260.0,265.25,266.0,273.55,160000,43268720.0,95
2024-08-23,CM,INE0SUN01013,NEPHROCARE,NEPHRO CARE INDIA LIMITED,269.6,278.5,269.6,278.5,278.5,265.25,51200,14111040.0,24
2024-08-26,CM,INE0SUN01013,NEPHROCARE,NEPHRO CARE INDIA LIMITED,289.45,290.0,275.25,280.0,280.0,278.5,43200,12263120.0,26
2024-08-27,CM,INE0SUN01013,NEPHROCARE,NEPHRO CARE INDIA LIMITED,280.0,294.0,279.0,291.5,294.0,280.0,108800,31541760.0,48
2024-08-28,CM,INE0SUN01013,NEPHROCARE,NEPHRO CARE INDIA LIMITED,298.0,306.05,298.0,306.05,306.05,291.5,30400,9263440.0,16
2024-08-29,CM,INE0SUN01013,NEPHROCARE,NEPHRO CARE INDIA LIMITED,321.35,321.35,290.75,290.75,290.75,306.05,284800,89725040.0,107
2024-08-30,CM,INE0SUN01013,NEPHROCARE,NEPHRO CARE INDIA LIMITED,283.0,288.95,276.25,276.25,276.25,290.75,155200,43244960.0,81
2024-09-02,CM,INE0SUN01013,NEPHROCARE,NEPHRO CARE INDIA LIMITED,282.0,289.0,268.0,268.0,268.0,276.25,36800,10272000.0,20
2024-09-03,CM,INE0SUN01013,NEPHROCARE,NEPHRO CARE INDIA LIMITED,276.5,276.5,257.0,265.9,265.9,268.0,36800,9709440.0,22
2024-09-04,CM,INE0SUN01013,NEPHROCARE,NEPHRO CARE INDIA LIMITED,265.2,274.0,256.1,271.0,271.0,265.9,25600,6730160.0,16
2024-09-05,CM,INE0SUN01013,NEPHROCARE,NEPHRO CARE INDIA LIMITED,274.5,278.5,272.5,278.5,278.5,271.0,14400,3971600.0,9
2024-09-06,CM,INE0SUN01013,NEPHROCARE,NEPHRO CARE INDIA LIMITED,273.3,274.5,266.0,266.75,266.0,278.5,27200,7347760.0,17
2024-09-09,CM,INE0SUN01013,NEPHROCARE,NEPHRO CARE INDIA LIMITED,268.0,268.75,261.0,262.15,265.6,266.75,44800,11780080.0,26
2024-09-10,CM,INE0SUN01013,NEPHROCARE,NEPHRO CARE INDIA LIMITED,262.0,262.0,259.0,259.95,259.95,262.15,17600,4576960.0,11
2024-09-11,CM,INE0SUN01013,NEPHROCARE,NEPHRO CARE INDIA LIMITED,256.0,258.2,252.3,252.3,252.3,259.95,17600,4509040.0,11
2024-09-12,CM,INE0SUN01013,NEPHROCARE,NEPHRO CARE INDIA LIMITED,251.7,256.0,245.3,255.1,256.0,252.3,36800,9218480.0,22
2024-09-13,CM,INE0SUN01013,NEPHROCARE,NEPHRO CARE INDIA LIMITED,251.4,259.0,251.0,252.3,252.1,255.1,24000,6099440.0,15
2024-09-16,CM,INE0SUN01013,NEPHROCARE,NEPHRO CARE INDIA LIMITED,257.0,264.9,257.0,262.35,262.0,252.3,38400,10083840.0,24
2024-09-17,CM,INE0SUN01013,NEPHROCARE,NEPHRO CARE INDIA LIMITED,262.0,266.0,262.0,265.95,265.95,262.35,16000,4235280.0,9
