TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-08-08,CM,INE0YRN01017,DHARIWAL,DHARIWALCORP LIMITED,150.0,152.0,142.5,142.5,142.5,106.0,872400,128402460.0,514
2024-08-09,CM,INE0YRN01017,DHARIWAL,DHARIWALCORP LIMITED,135.4,139.0,135.4,136.3,136.2,142.5,780000,105855360.0,385
2024-08-12,CM,INE0YRN01017,DHARIWAL,DHARIWALCORP LIMITED,135.0,143.1,129.5,138.05,142.0,136.3,345600,46519620.0,179
2024-08-13,CM,INE0YRN01017,DHARIWAL,DHARIWALCORP LIMITED,138.1,140.5,136.15,137.6,136.15,138.05,64800,8979240.0,50
2024-08-14,CM,INE0YRN01017,DHARIWAL,DHARIWALCORP LIMITED,134.25,141.75,134.25,139.0,139.0,137.6,52800,7350780.0,43
2024-08-16,CM,INE0YRN01017,DHARIWAL,DHARIWALCORP LIMITED,139.0,139.0,134.5,136.35,135.0,139.0,45600,6247020.0,30
2024-08-19,CM,INE0YRN01017,DHARIWAL,DHARIWALCORP LIMITED,138.85,143.15,135.65,143.15,143.15,136.35,84000,11924460.0,48
2024-08-20,CM,INE0YRN01017,DHARIWAL,DHARIWALCORP LIMITED,148.0,150.3,145.0,149.9,150.3,143.15,152400,22619820.0,90
2024-08-21,CM,INE0YRN01017,DHARIWAL,DHARIWALCORP LIMITED,154.0,157.35,145.2,157.3,157.35,149.9,193200,30136500.0,107
2024-08-22,CM,INE0YRN01017,DHARIWAL,DHARIWALCORP LIMITED,165.15,165.15,154.5,165.15,165.15,157.3,127200,20750640.0,85
2024-08-23,CM,INE0YRN01017,DHARIWAL,DHARIWALCORP LIMITED,169.1,170.0,148.0,157.8,157.0,165.15,522000,82294680.0,373
2024-08-26,CM,INE0YRN01017,DHARIWAL,DHARIWALCORP LIMITED,160.0,164.5,153.0,156.95,157.0,157.8,129600,20302860.0,71
2024-08-27,CM,INE0YRN01017,DHARIWAL,DHARIWALCORP LIMITED,157.0,158.0,152.5,153.4,152.5,156.95,72000,11232120.0,43
2024-08-28,CM,INE0YRN01017,DHARIWAL,DHARIWALCORP LIMITED,155.0,158.85,149.0,149.5,150.0,153.4,144000,22269060.0,104
2024-08-29,CM,INE0YRN01017,DHARIWAL,DHARIWALCORP LIMITED,154.7,154.7,145.05,147.3,149.4,149.5,32400,4827180.0,26
2024-08-30,CM,INE0YRN01017,DHARIWAL,DHARIWALCORP LIMITED,149.0,149.05,147.7,147.85,148.0,147.3,10800,1603740.0,9
2024-09-02,CM,INE0YRN01017,DHARIWAL,DHARIWALCORP LIMITED,154.9,154.9,145.0,146.95,148.8,147.85,40800,6004080.0,32
2024-09-03,CM,INE0YRN01017,DHARIWAL,DHARIWALCORP LIMITED,145.25,145.85,143.3,144.15,143.3,146.95,20400,2949000.0,17
2024-09-04,CM,INE0YRN01017,DHARIWAL,DHARIWALCORP LIMITED,142.0,143.95,138.5,139.7,140.0,144.15,42000,5923740.0,29
2024-09-05,CM,INE0YRN01017,DHARIWAL,DHARIWALCORP LIMITED,138.15,156.95,138.15,143.3,143.0,139.7,93600,13668720.0,60
2024-09-06,CM,INE0YRN01017,DHARIWAL,DHARIWALCORP LIMITED,144.1,145.0,142.0,145.0,145.0,143.3,40800,5851800.0,22
2024-09-09,CM,INE0YRN01017,DHARIWAL,DHARIWALCORP LIMITED,145.0,148.5,141.3,142.0,143.0,145.0,68400,9768300.0,22
2024-09-10,CM,INE0YRN01017,DHARIWAL,DHARIWALCORP LIMITED,141.4,153.0,141.4,149.65,149.0,142.0,181200,27180240.0,47
2024-09-11,CM,INE0YRN01017,DHARIWAL,DHARIWALCORP LIMITED,153.0,156.0,141.0,147.65,144.0,149.65,97200,14520540.0,31
2024-09-12,CM,INE0YRN01017,DHARIWAL,DHARIWALCORP LIMITED,145.25,148.0,143.5,147.3,146.0,147.65,61200,8901300.0,42
2024-09-13,CM,INE0YRN01017,DHARIWAL,DHARIWALCORP LIMITED,147.0,154.0,146.55,152.05,152.0,147.3,75600,11450340.0,33
2024-09-16,CM,INE0YRN01017,DHARIWAL,DHARIWALCORP LIMITED,150.0,150.0,148.0,149.0,149.0,152.05,115200,17222940.0,42
2024-09-17,CM,INE0YRN01017,DHARIWAL,DHARIWALCORP LIMITED,146.05,148.0,145.1,147.85,147.85,149.0,10800,1590840.0,9
