TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INE121A07RJ8,CHOLAFIN,SEC RE NCD 8.40% SR 1,986.0,986.0,980.0,980.0,980.0,986.0,25,24560.0,2
2024-01-02,CM,INE121A07RJ8,CHOLAFIN,SEC RE NCD 8.40% SR 1,976.2,980.2,976.2,980.2,980.2,980.0,60,58772.0,2
2024-01-03,CM,INE121A07RJ8,CHOLAFIN,SEC RE NCD 8.40% SR 1,982.0,982.01,980.0,980.0,980.0,980.2,410,401869.31,16
2024-01-05,CM,INE121A07RJ8,CHOLAFIN,SEC RE NCD 8.40% SR 1,980.0,982.05,977.34,978.86,978.86,980.0,420,411145.15,23
2024-01-09,CM,INE121A07RJ8,CHOLAFIN,SEC RE NCD 8.40% SR 1,981.0,981.0,980.01,980.01,980.01,978.86,110,107802.89,4
2024-01-10,CM,INE121A07RJ8,CHOLAFIN,SEC RE NCD 8.40% SR 1,980.0,980.01,980.0,980.01,980.01,980.01,15,14700.1,2
2024-01-11,CM,INE121A07RJ8,CHOLAFIN,SEC RE NCD 8.40% SR 1,980.25,982.0,980.25,982.0,982.0,980.01,30,29425.0,3
2024-01-12,CM,INE121A07RJ8,CHOLAFIN,SEC RE NCD 8.40% SR 1,997.0,997.0,997.0,997.0,997.0,982.0,10,9970.0,2
2024-01-15,CM,INE121A07RJ8,CHOLAFIN,SEC RE NCD 8.40% SR 1,980.05,980.05,980.05,980.05,980.05,997.0,10,9800.5,1
2024-01-16,CM,INE121A07RJ8,CHOLAFIN,SEC RE NCD 8.40% SR 1,982.25,985.0,982.06,985.0,985.0,980.05,16,15729.56,3
2024-01-17,CM,INE121A07RJ8,CHOLAFIN,SEC RE NCD 8.40% SR 1,985.0,1000.0,985.0,1000.0,1000.0,985.0,50,49850.0,4
2024-01-18,CM,INE121A07RJ8,CHOLAFIN,SEC RE NCD 8.40% SR 1,979.87,979.87,979.87,979.87,979.87,1000.0,10,9798.7,1
2024-01-29,CM,INE121A07RJ8,CHOLAFIN,SEC RE NCD 8.40% SR 1,982.39,999.9,982.39,985.35,985.35,990.0,260,258037.45,7
2024-02-01,CM,INE121A07RJ8,CHOLAFIN,SEC RE NCD 8.40% SR 1,983.08,983.5,983.08,983.25,983.25,985.35,55,54079.5,4
2024-02-02,CM,INE121A07RJ8,CHOLAFIN,SEC RE NCD 8.40% SR 1,983.25,990.0,983.25,989.9,989.9,983.25,508,500369.75,11
2024-02-05,CM,INE121A07RJ8,CHOLAFIN,SEC RE NCD 8.40% SR 1,965.16,989.9,965.16,985.01,985.01,989.9,60,58800.7,4
2024-02-06,CM,INE121A07RJ8,CHOLAFIN,SEC RE NCD 8.40% SR 1,967.0,991.0,967.0,985.85,985.85,985.01,46,45289.0,4
2024-02-07,CM,INE121A07RJ8,CHOLAFIN,SEC RE NCD 8.40% SR 1,986.0,986.0,983.76,985.0,985.0,985.85,1210,1191749.6,11
2024-02-08,CM,INE121A07RJ8,CHOLAFIN,SEC RE NCD 8.40% SR 1,960.38,960.38,960.38,960.38,960.38,985.0,50,48019.0,1
2024-02-09,CM,INE121A07RJ8,CHOLAFIN,SEC RE NCD 8.40% SR 1,980.0,980.0,980.0,980.0,980.0,960.38,10,9800.0,1
2024-02-12,CM,INE121A07RJ8,CHOLAFIN,SEC RE NCD 8.40% SR 1,995.0,999.95,978.0,985.0,985.0,980.0,1501,1485572.45,7
2024-02-13,CM,INE121A07RJ8,CHOLAFIN,SEC RE NCD 8.40% SR 1,995.0,995.0,995.0,995.0,995.0,985.0,1000,995000.0,13
2024-02-14,CM,INE121A07RJ8,CHOLAFIN,SEC RE NCD 8.40% SR 1,995.0,995.01,995.0,995.0,995.0,995.0,331,329345.04,10
2024-02-15,CM,INE121A07RJ8,CHOLAFIN,SEC RE NCD 8.40% SR 1,975.0,1000.0,975.0,996.0,996.0,995.0,1523,1503409.24,26
2024-02-19,CM,INE121A07RJ8,CHOLAFIN,SEC RE NCD 8.40% SR 1,996.0,996.0,996.0,996.0,996.0,996.0,40,39840.0,1
2024-02-20,CM,INE121A07RJ8,CHOLAFIN,SEC RE NCD 8.40% SR 1,996.0,996.0,992.0,996.0,996.0,996.0,15,14900.0,3
2024-02-21,CM,INE121A07RJ8,CHOLAFIN,SEC RE NCD 8.40% SR 1,1000.0,1000.0,975.0,979.5,975.0,996.0,3015,3014795.0,6
2024-02-22,CM,INE121A07RJ8,CHOLAFIN,SEC RE NCD 8.40% SR 1,980.06,980.06,980.06,980.06,980.06,979.5,10,9800.6,1
2024-02-23,CM,INE121A07RJ8,CHOLAFIN,SEC RE NCD 8.40% SR 1,990.0,999.9,990.0,992.01,992.01,980.06,4020,3979919.1,20
2024-02-27,CM,INE121A07RJ8,CHOLAFIN,SEC RE NCD 8.40% SR 1,995.0,995.0,995.0,995.0,995.0,992.01,20,19900.0,1
2024-02-28,CM,INE121A07RJ8,CHOLAFIN,SEC RE NCD 8.40% SR 1,992.0,1005.0,981.0,1000.0,1000.0,995.0,318,317927.0,12
2024-02-29,CM,INE121A07RJ8,CHOLAFIN,SEC RE NCD 8.40% SR 1,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1,1000.0,1
2024-03-01,CM,INE121A07RJ8,CHOLAFIN,SEC RE NCD 8.40% SR 1,990.0,990.0,990.0,990.0,990.0,1000.0,20,19800.0,4
2024-03-04,CM,INE121A07RJ8,CHOLAFIN,SEC RE NCD 8.40% SR 1,991.05,995.0,991.05,995.0,995.0,999.0,15,14885.5,2
2024-03-06,CM,INE121A07RJ8,CHOLAFIN,SEC RE NCD 8.40% SR 1,1000.0,1000.0,1000.0,1000.0,1000.0,995.0,65,65000.0,3
2024-03-07,CM,INE121A07RJ8,CHOLAFIN,SEC RE NCD 8.40% SR 1,1000.0,1000.0,998.0,998.0,998.0,1000.0,128,127994.0,4
2024-03-11,CM,INE121A07RJ8,CHOLAFIN,SEC RE NCD 8.40% SR 1,999.0,1000.0,999.0,999.97,999.97,998.0,231,230796.47,4
2024-03-12,CM,INE121A07RJ8,CHOLAFIN,SEC RE NCD 8.40% SR 1,999.9,999.9,999.9,999.9,999.9,999.97,20,19998.0,2
