TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-02-12,CM,INE121A07RQ3,CHOLAFIN,SEC RE NCD 8.45% SR 1,850.1,901.0,850.1,901.0,901.0,1000.0,35,30517.0,2
2024-02-13,CM,INE121A07RQ3,CHOLAFIN,SEC RE NCD 8.45% SR 1,941.0,941.0,941.0,941.0,941.0,901.0,10,9410.0,1
2024-02-15,CM,INE121A07RQ3,CHOLAFIN,SEC RE NCD 8.45% SR 1,973.55,973.55,973.55,973.55,973.55,941.0,20,19471.0,1
2024-02-16,CM,INE121A07RQ3,CHOLAFIN,SEC RE NCD 8.45% SR 1,973.55,990.0,973.55,990.0,990.0,973.55,510,504735.5,3
2024-02-21,CM,INE121A07RQ3,CHOLAFIN,SEC RE NCD 8.45% SR 1,981.0,981.0,981.0,981.0,981.0,990.0,20,19620.0,1
2024-02-22,CM,INE121A07RQ3,CHOLAFIN,SEC RE NCD 8.45% SR 1,981.0,981.0,981.0,981.0,981.0,981.0,19,18639.0,2
2024-02-29,CM,INE121A07RQ3,CHOLAFIN,SEC RE NCD 8.45% SR 1,981.0,981.0,981.0,981.0,981.0,981.0,19,18639.0,2
2024-03-20,CM,INE121A07RQ3,CHOLAFIN,SEC RE NCD 8.45% SR 1,910.0,981.0,910.0,981.0,981.0,981.0,11,10081.0,3
2024-03-26,CM,INE121A07RQ3,CHOLAFIN,SEC RE NCD 8.45% SR 1,981.0,981.0,981.0,981.0,981.0,981.0,17,16677.0,2
2024-03-28,CM,INE121A07RQ3,CHOLAFIN,SEC RE NCD 8.45% SR 1,981.0,981.0,981.0,981.0,981.0,981.0,10,9810.0,1
2024-04-08,CM,INE121A07RQ3,CHOLAFIN,SEC RE NCD 8.45% SR 1,981.0,981.0,981.0,981.0,981.0,981.0,10,9810.0,3
2024-05-24,CM,INE121A07RQ3,875CIFC23B,SEC RE NCD 8.45% SR 1,981.01,981.01,981.01,981.01,981.01,981.0,10,9810.1,1
2024-06-20,CM,INE121A07RQ3,875CIFC23B,SEC RE NCD 8.45% SR 1,1001.01,1001.01,1001.01,1001.01,1001.01,981.01,20,20020.2,2
2024-06-24,CM,INE121A07RQ3,875CIFC23B,SEC RE NCD 8.45% SR 1,1001.01,1001.01,1001.01,1001.01,1001.01,1001.01,200,200202.0,7
2024-07-01,CM,INE121A07RQ3,875CIFC23B,SEC RE NCD 8.45% SR 1,1025.87,1025.87,1025.87,1025.87,1025.87,1001.01,15,15388.05,1
2024-07-09,CM,INE121A07RQ3,875CIFC23B,SEC RE NCD 8.45% SR 1,1000.2,1000.2,1000.2,1000.2,1000.2,1025.87,20,20004.0,2
2024-07-12,CM,INE121A07RQ3,875CIFC23B,SEC RE NCD 8.45% SR 1,1020.0,1020.0,1020.0,1020.0,1020.0,1000.2,20,20400.0,2
2024-07-25,CM,INE121A07RQ3,875CIFC23B,SEC RE NCD 8.45% SR 1,1020.0,1020.0,1020.0,1020.0,1020.0,1020.0,10,10200.0,1
2024-07-31,CM,INE121A07RQ3,875CIFC23B,SEC RE NCD 8.45% SR 1,1020.0,1020.0,1020.0,1020.0,1020.0,1020.0,10,10200.0,1
2024-08-05,CM,INE121A07RQ3,875CIFC23B,SEC RE NCD 8.45% SR 1,1020.0,1020.0,1020.0,1020.0,1020.0,1020.0,1,1020.0,1
2024-08-19,CM,INE121A07RQ3,875CIFC23B,SEC RE NCD 8.45% SR 1,1020.0,1020.0,1020.0,1020.0,1020.0,1020.0,20,20400.0,1
2024-08-21,CM,INE121A07RQ3,875CIFC23B,SEC RE NCD 8.45% SR 1,1003.1,1003.1,1003.1,1003.1,1003.1,1020.0,10,10031.0,10
2024-08-22,CM,INE121A07RQ3,875CIFC23B,SEC RE NCD 8.45% SR 1,1003.1,1003.1,1003.1,1003.1,1003.1,1003.1,10,10031.0,1
