TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INE139I01011,BVCL,BARAK VALLEY CEM. LTD.,51.95,53.75,50.95,51.6,52.3,51.3,11145,581481.05,138
2024-01-02,CM,INE139I01011,BVCL,BARAK VALLEY CEM. LTD.,52.9,53.7,51.9,53.25,53.5,51.6,23784,1257068.9,220
2024-01-03,CM,INE139I01011,BVCL,BARAK VALLEY CEM. LTD.,54.7,54.7,51.25,54.0,54.0,53.25,28769,1523553.8,213
2024-01-04,CM,INE139I01011,BVCL,BARAK VALLEY CEM. LTD.,54.0,55.5,53.65,54.95,54.65,54.0,32729,1785603.8,247
2024-01-05,CM,INE139I01011,BVCL,BARAK VALLEY CEM. LTD.,56.0,56.55,53.7,54.4,54.5,54.95,29442,1624681.1,211
2024-01-08,CM,INE139I01011,BVCL,BARAK VALLEY CEM. LTD.,52.6,56.25,52.6,54.95,55.0,54.4,15783,870268.95,169
2024-01-09,CM,INE139I01011,BVCL,BARAK VALLEY CEM. LTD.,56.0,56.5,53.35,55.45,55.35,54.95,27873,1546461.6,176
2024-01-10,CM,INE139I01011,BVCL,BARAK VALLEY CEM. LTD.,57.3,57.3,55.0,55.65,56.1,55.45,15117,840997.75,119
2024-01-11,CM,INE139I01011,BVCL,BARAK VALLEY CEM. LTD.,56.1,56.95,54.75,55.85,56.35,55.65,10863,607744.05,149
2024-01-12,CM,INE139I01011,BVCL,BARAK VALLEY CEM. LTD.,57.45,57.45,55.25,55.45,55.25,55.85,16267,914271.45,161
2024-01-15,CM,INE139I01011,BVCL,BARAK VALLEY CEM. LTD.,55.45,56.0,53.2,54.65,54.3,55.45,17634,956186.6,166
2024-01-16,CM,INE139I01011,BVCL,BARAK VALLEY CEM. LTD.,54.3,54.65,51.95,52.3,52.0,54.65,22649,1202641.8,241
2024-01-17,CM,INE139I01011,BVCL,BARAK VALLEY CEM. LTD.,50.7,52.85,50.7,51.95,52.5,52.3,8511,444839.1,116
2024-01-18,CM,INE139I01011,BVCL,BARAK VALLEY CEM. LTD.,53.8,53.85,50.8,52.55,52.85,51.95,12568,649398.7,82
2024-01-19,CM,INE139I01011,BVCL,BARAK VALLEY CEM. LTD.,53.5,54.0,52.3,52.95,53.1,52.55,9606,506875.25,89
2024-01-23,CM,INE139I01011,BVCL,BARAK VALLEY CEM. LTD.,56.25,56.25,54.0,54.0,54.0,54.6,22935,1257743.8,146
2024-01-24,CM,INE139I01011,BVCL,BARAK VALLEY CEM. LTD.,52.3,55.65,52.3,53.8,54.0,54.0,15853,860873.25,136
2024-01-25,CM,INE139I01011,BVCL,BARAK VALLEY CEM. LTD.,54.95,54.95,53.95,54.5,54.5,53.8,6922,376701.8,76
2024-01-29,CM,INE139I01011,BVCL,BARAK VALLEY CEM. LTD.,56.3,56.5,55.05,56.25,56.3,54.5,32026,1800149.2,163
2024-01-30,CM,INE139I01011,BVCL,BARAK VALLEY CEM. LTD.,56.9,58.0,55.75,57.1,57.9,56.25,26893,1542469.25,251
2024-01-31,CM,INE139I01011,BVCL,BARAK VALLEY CEM. LTD.,58.8,59.75,57.1,59.25,59.0,57.1,32058,1873361.4,263
2024-02-01,CM,INE139I01011,BVCL,BARAK VALLEY CEM. LTD.,62.0,62.2,59.1,60.25,60.0,59.25,63288,3858772.55,426
2024-02-02,CM,INE139I01011,BVCL,BARAK VALLEY CEM. LTD.,61.0,63.25,60.55,63.25,63.25,60.25,47487,2989974.6,314
2024-02-05,CM,INE139I01011,BVCL,BARAK VALLEY CEM. LTD.,66.4,66.4,66.35,66.4,66.4,63.25,17130,1137419.5,130
2024-02-06,CM,INE139I01011,BVCL,BARAK VALLEY CEM. LTD.,69.4,69.7,67.25,69.7,69.7,66.4,72883,5066387.75,491
2024-02-07,CM,INE139I01011,BVCL,BARAK VALLEY CEM. LTD.,73.15,73.15,71.1,73.15,73.15,69.7,37839,2763820.2,257
2024-02-08,CM,INE139I01011,BVCL,BARAK VALLEY CEM. LTD.,76.8,76.8,69.5,76.4,75.0,73.15,99742,7296886.9,744
