TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-02,CM,INE148I07KH3,IBULHSGFIN,SEC RE NCD 9% SR.IV,1000.0,1005.0,1000.0,1005.0,1005.0,980.0,2,2005.0,2
2024-01-03,CM,INE148I07KH3,IBULHSGFIN,SEC RE NCD 9% SR.IV,1005.0,1005.0,1005.0,1005.0,1005.0,1005.0,101,101505.0,1
2024-01-04,CM,INE148I07KH3,IBULHSGFIN,SEC RE NCD 9% SR.IV,1000.0,1000.0,1000.0,1000.0,1000.0,1005.0,490,490000.0,2
2024-01-05,CM,INE148I07KH3,IBULHSGFIN,SEC RE NCD 9% SR.IV,1000.1,1000.1,1000.0,1000.0,1000.0,1000.0,282,282019.9,3
2024-01-08,CM,INE148I07KH3,IBULHSGFIN,SEC RE NCD 9% SR.IV,1001.0,1001.0,995.1,1001.0,1001.0,1000.0,438,438432.1,4
2024-01-23,CM,INE148I07KH3,IBULHSGFIN,SEC RE NCD 9% SR.IV,1001.85,1001.85,990.15,990.85,990.85,1001.0,231,228958.0,9
2024-01-31,CM,INE148I07KH3,IBULHSGFIN,SEC RE NCD 9% SR.IV,994.7,994.7,990.85,990.85,990.85,990.85,75,74470.15,4
2024-02-02,CM,INE148I07KH3,IBULHSGFIN,SEC RE NCD 9% SR.IV,992.7,993.45,992.7,993.45,993.45,990.85,6,5957.7,2
2024-02-08,CM,INE148I07KH3,IBULHSGFIN,SEC RE NCD 9% SR.IV,1020.0,1020.0,1020.0,1020.0,1020.0,993.45,30,30600.0,1
2024-02-09,CM,INE148I07KH3,IBULHSGFIN,SEC RE NCD 9% SR.IV,1024.0,1024.0,1024.0,1024.0,1024.0,1020.0,50,51200.0,3
2024-02-15,CM,INE148I07KH3,IBULHSGFIN,SEC RE NCD 9% SR.IV,1000.0,1000.0,1000.0,1000.0,1000.0,1024.0,25,25000.0,2
2024-02-16,CM,INE148I07KH3,IBULHSGFIN,SEC RE NCD 9% SR.IV,1000.05,1024.45,1000.05,1000.11,1000.11,1000.0,102,103786.53,13
2024-02-19,CM,INE148I07KH3,IBULHSGFIN,SEC RE NCD 9% SR.IV,1001.4,1001.4,1000.85,1000.85,1000.85,1000.11,5,5004.8,2
2024-02-26,CM,INE148I07KH3,IBULHSGFIN,SEC RE NCD 9% SR.IV,1013.0,1027.45,1013.0,1027.45,1027.45,1000.85,52,53138.4,3
2024-02-27,CM,INE148I07KH3,IBULHSGFIN,SEC RE NCD 9% SR.IV,1002.75,1002.75,1002.75,1002.75,1002.75,1027.45,1,1002.75,1
2024-02-29,CM,INE148I07KH3,IBULHSGFIN,SEC RE NCD 9% SR.IV,1002.75,1002.75,1002.75,1002.75,1002.75,1002.75,20,20055.0,3
2024-03-05,CM,INE148I07KH3,IBULHSGFIN,SEC RE NCD 9% SR.IV,1010.0,1010.0,1002.75,1005.0,1005.0,1002.75,100,100510.0,7
2024-03-12,CM,INE148I07KH3,IBULHSGFIN,SEC RE NCD 9% SR.IV,1010.0,1010.0,1010.0,1010.0,1010.0,1005.0,5,5050.0,1
2024-03-13,CM,INE148I07KH3,IBULHSGFIN,SEC RE NCD 9% SR.IV,1015.0,1015.0,1015.0,1015.0,1015.0,1010.0,10,10150.0,1
2024-03-14,CM,INE148I07KH3,IBULHSGFIN,SEC RE NCD 9% SR.IV,1015.0,1020.0,1015.0,1020.0,1020.0,1015.0,59,60130.0,2
2024-03-15,CM,INE148I07KH3,IBULHSGFIN,SEC RE NCD 9% SR.IV,1015.0,1029.0,1015.0,1029.0,1029.0,1020.0,310,314790.0,10
2024-03-27,CM,INE148I07KH3,IBULHSGFIN,SEC RE NCD 9% SR.IV,1026.45,1026.45,1026.45,1026.45,1026.45,1029.0,2,2052.9,1
2024-04-01,CM,INE148I07KH3,IBULHSGFIN,SEC RE NCD 9% SR.IV,1030.85,1030.85,1030.85,1030.85,1030.85,1026.45,7,7215.95,1
2024-04-03,CM,INE148I07KH3,IBULHSGFIN,SEC RE NCD 9% SR.IV,1015.0,1015.0,1015.0,1015.0,1015.0,1030.85,10,10150.0,1
2024-04-04,CM,INE148I07KH3,IBULHSGFIN,SEC RE NCD 9% SR.IV,1015.0,1015.0,1015.0,1015.0,1015.0,1015.0,10,10150.0,1
2024-04-05,CM,INE148I07KH3,IBULHSGFIN,SEC RE NCD 9% SR.IV,1030.85,1030.85,1030.85,1030.85,1030.85,1015.0,7,7215.95,1
2024-04-08,CM,INE148I07KH3,IBULHSGFIN,SEC RE NCD 9% SR.IV,1030.8,1030.8,1030.8,1030.8,1030.8,1030.85,10,10308.0,1
2024-04-12,CM,INE148I07KH3,IBULHSGFIN,SEC RE NCD 9% SR.IV,1025.0,1032.85,1025.0,1032.85,1032.85,1030.8,25,25742.75,2
2024-04-19,CM,INE148I07KH3,IBULHSGFIN,SEC RE NCD 9% SR.IV,1030.0,1030.0,1030.0,1030.0,1030.0,1032.85,11,11330.0,3
2024-04-23,CM,INE148I07KH3,IBULHSGFIN,SEC RE NCD 9% SR.IV,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,10,10300.0,1
2024-04-24,CM,INE148I07KH3,IBULHSGFIN,SEC RE NCD 9% SR.IV,1030.0,1030.0,1015.2,1015.2,1015.2,1030.0,25,25528.1,3
2024-04-25,CM,INE148I07KH3,IBULHSGFIN,SEC RE NCD 9% SR.IV,1030.0,1030.0,1030.0,1030.0,1030.0,1015.2,200,206000.0,21
2024-04-26,CM,INE148I07KH3,IBULHSGFIN,SEC RE NCD 9% SR.IV,1031.01,1038.85,1031.01,1038.85,1038.85,1030.0,23,23885.71,4
2024-05-06,CM,INE148I07KH3,835PCHF23,SEC RE NCD 9% SR.IV,1031.25,1031.25,1031.25,1031.25,1031.25,1038.85,5,5156.25,1
2024-05-07,CM,INE148I07KH3,835PCHF23,SEC RE NCD 9% SR.IV,1031.25,1031.25,1031.25,1031.25,1031.25,1031.25,20,20625.0,3
2024-05-09,CM,INE148I07KH3,835PCHF23,SEC RE NCD 9% SR.IV,1035.0,1035.0,1033.81,1033.81,1033.81,1031.25,15,15519.05,2
2024-05-10,CM,INE148I07KH3,835PCHF23,SEC RE NCD 9% SR.IV,1035.0,1044.85,1033.8,1044.85,1044.85,1033.81,80,83268.5,5
2024-05-13,CM,INE148I07KH3,835PCHF23,SEC RE NCD 9% SR.IV,1035.0,1035.0,1033.8,1033.8,1033.8,1044.85,200,206785.0,4
2024-05-14,CM,INE148I07KH3,835PCHF23,SEC RE NCD 9% SR.IV,1039.8,1039.8,1039.0,1039.43,1039.8,1033.8,190,197538.0,7
2024-05-15,CM,INE148I07KH3,835PCHF23,SEC RE NCD 9% SR.IV,1047.8,1047.8,1031.21,1045.0,1045.0,1039.43,187,195819.67,4
2024-05-16,CM,INE148I07KH3,835PCHF23,SEC RE NCD 9% SR.IV,1035.0,1035.0,1035.0,1035.0,1035.0,1045.0,4,4140.0,1
2024-05-17,CM,INE148I07KH3,835PCHF23,SEC RE NCD 9% SR.IV,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,12,12420.0,3
2024-05-21,CM,INE148I07KH3,835PCHF23,SEC RE NCD 9% SR.IV,1031.21,1040.0,1022.45,1040.0,1040.0,1035.0,370,382015.1,6
2024-05-22,CM,INE148I07KH3,835PCHF23,SEC RE NCD 9% SR.IV,1036.0,1036.0,1030.2,1030.2,1030.2,1040.0,150,155072.95,4
2024-05-23,CM,INE148I07KH3,835PCHF23,SEC RE NCD 9% SR.IV,1032.15,1032.15,1030.8,1030.8,1030.8,1030.2,100,103091.35,3
2024-05-24,CM,INE148I07KH3,835PCHF23,SEC RE NCD 9% SR.IV,1032.0,1032.15,1031.2,1031.2,1031.2,1030.8,130,134088.95,6
2024-06-05,CM,INE148I07KH3,835PCHF23,SEC RE NCD 9% SR.IV,1047.8,1047.8,1047.8,1047.8,1047.8,1031.2,6,6286.8,1
2024-06-06,CM,INE148I07KH3,835PCHF23,SEC RE NCD 9% SR.IV,1047.0,1047.0,1047.0,1047.0,1047.0,1047.8,5,5235.0,1
2024-06-11,CM,INE148I07KH3,835PCHF23,SEC RE NCD 9% SR.IV,1050.85,1050.85,1050.85,1050.85,1050.85,1047.0,10,10508.5,2
2024-06-12,CM,INE148I07KH3,835PCHF23,SEC RE NCD 9% SR.IV,1050.85,1050.85,1050.85,1050.85,1050.85,1050.85,54,56745.9,3
2024-06-14,CM,INE148I07KH3,835PCHF23,SEC RE NCD 9% SR.IV,1048.0,1050.0,1048.0,1050.0,1050.0,1050.85,140,146800.0,4
2024-06-18,CM,INE148I07KH3,835PCHF23,SEC RE NCD 9% SR.IV,1050.0,1050.0,1050.0,1050.0,1050.0,1050.0,50,52500.0,1
2024-07-01,CM,INE148I07KH3,835PCHF23,SEC RE NCD 9% SR.IV,1056.0,1056.0,1056.0,1056.0,1056.0,1050.0,150,158400.0,1
2024-07-05,CM,INE148I07KH3,835PCHF23,SEC RE NCD 9% SR.IV,1061.8,1061.8,1061.8,1061.8,1061.8,1056.0,25,26545.0,1
2024-07-08,CM,INE148I07KH3,835PCHF23,SEC RE NCD 9% SR.IV,1050.3,1050.3,1050.3,1050.3,1050.3,1061.8,6,6301.8,2
2024-07-15,CM,INE148I07KH3,835PCHF23,SEC RE NCD 9% SR.IV,1050.45,1050.45,1050.0,1050.0,1050.0,1050.3,20,21003.9,7
2024-07-16,CM,INE148I07KH3,835PCHF23,SEC RE NCD 9% SR.IV,1050.15,1061.8,1048.2,1059.8,1059.8,1050.0,406,428007.75,15
2024-07-18,CM,INE148I07KH3,835PCHF23,SEC RE NCD 9% SR.IV,1059.8,1059.8,1050.0,1050.0,1050.0,1059.8,26,27456.95,3
2024-07-19,CM,INE148I07KH3,835PCHF23,SEC RE NCD 9% SR.IV,1050.15,1050.15,1050.0,1050.0,1050.0,1050.0,20,21000.15,3
2024-07-25,CM,INE148I07KH3,835PCHF23,SEC RE NCD 9% SR.IV,1052.25,1052.35,1052.15,1052.35,1052.35,1050.0,60,63131.1,3
2024-07-29,CM,INE148I07KH3,835PCHF23,SEC RE NCD 9% SR.IV,1053.52,1055.35,1053.52,1055.35,1055.35,1052.35,2,2108.87,2
2024-08-01,CM,INE148I07KH3,835SCL23,SEC RE NCD 9% SR.IV,1052.0,1052.0,1052.0,1052.0,1052.0,1055.35,2,2104.0,1
2024-08-12,CM,INE148I07KH3,835SCL23,SEC RE NCD 9% SR.IV,1058.0,1058.0,1058.0,1058.0,1058.0,1052.0,20,21160.0,2
2024-08-14,CM,INE148I07KH3,835SCL23,SEC RE NCD 9% SR.IV,1068.2,1068.2,1068.2,1068.2,1068.2,1058.0,13,13886.6,1
2024-08-16,CM,INE148I07KH3,835SCL23,SEC RE NCD 9% SR.IV,1068.2,1068.2,1068.2,1068.2,1068.2,1068.2,6,6409.2,1
2024-08-19,CM,INE148I07KH3,835SCL23,SEC RE NCD 9% SR.IV,1068.2,1068.2,1068.2,1068.2,1068.2,1068.2,7,7477.4,2
2024-08-20,CM,INE148I07KH3,835SCL23,SEC RE NCD 9% SR.IV,1068.2,1068.2,1068.2,1068.2,1068.2,1068.2,44,47000.8,2
2024-08-22,CM,INE148I07KH3,835SCL23,SEC RE NCD 9% SR.IV,1070.0,1072.0,1070.0,1072.0,1072.0,1068.2,30,32102.0,2
