TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-17,CM,INE148I07LE8,IBULHSGFIN,SEC RE NCD 8.89% SR.VIII,950.0,950.0,950.0,950.0,950.0,950.0,50,47500.0,1
2024-01-23,CM,INE148I07LE8,IBULHSGFIN,SEC RE NCD 8.89% SR.VIII,905.2,905.2,905.2,905.2,905.2,950.0,10,9052.0,1
2024-01-24,CM,INE148I07LE8,IBULHSGFIN,SEC RE NCD 8.89% SR.VIII,905.3,905.3,905.2,905.2,905.2,905.2,445,402815.0,9
2024-01-25,CM,INE148I07LE8,IBULHSGFIN,SEC RE NCD 8.89% SR.VIII,949.5,949.5,949.46,949.46,949.46,905.2,2,1898.96,2
2024-01-29,CM,INE148I07LE8,IBULHSGFIN,SEC RE NCD 8.89% SR.VIII,963.0,963.0,959.0,959.0,959.0,949.46,32,30728.0,5
2024-01-30,CM,INE148I07LE8,IBULHSGFIN,SEC RE NCD 8.89% SR.VIII,957.0,957.0,957.0,957.0,957.0,959.0,5,4785.0,1
2024-01-31,CM,INE148I07LE8,IBULHSGFIN,SEC RE NCD 8.89% SR.VIII,954.9,954.9,954.9,954.9,954.9,957.0,5,4774.5,1
2024-02-01,CM,INE148I07LE8,IBULHSGFIN,SEC RE NCD 8.89% SR.VIII,970.0,970.0,970.0,970.0,970.0,954.9,5,4850.0,1
2024-02-02,CM,INE148I07LE8,IBULHSGFIN,SEC RE NCD 8.89% SR.VIII,950.0,950.0,820.0,820.0,820.0,970.0,258,212777.0,7
2024-02-05,CM,INE148I07LE8,IBULHSGFIN,SEC RE NCD 8.89% SR.VIII,949.5,949.5,949.5,949.5,949.5,820.0,5,4747.5,1
2024-02-07,CM,INE148I07LE8,IBULHSGFIN,SEC RE NCD 8.89% SR.VIII,947.0,947.0,947.0,947.0,947.0,949.5,3,2841.0,2
2024-02-08,CM,INE148I07LE8,IBULHSGFIN,SEC RE NCD 8.89% SR.VIII,954.0,954.0,954.0,954.0,954.0,947.0,12,11448.0,2
2024-02-09,CM,INE148I07LE8,IBULHSGFIN,SEC RE NCD 8.89% SR.VIII,949.5,949.5,949.5,949.5,949.5,954.0,5,4747.5,1
2024-02-14,CM,INE148I07LE8,IBULHSGFIN,SEC RE NCD 8.89% SR.VIII,959.0,959.0,959.0,959.0,959.0,949.5,5,4795.0,1
2024-02-15,CM,INE148I07LE8,IBULHSGFIN,SEC RE NCD 8.89% SR.VIII,954.0,954.0,954.0,954.0,954.0,959.0,5,4770.0,1
2024-02-16,CM,INE148I07LE8,IBULHSGFIN,SEC RE NCD 8.89% SR.VIII,970.0,970.0,970.0,970.0,970.0,954.0,5,4850.0,1
2024-02-19,CM,INE148I07LE8,IBULHSGFIN,SEC RE NCD 8.89% SR.VIII,959.0,959.0,959.0,959.0,959.0,970.0,5,4795.0,1
2024-02-20,CM,INE148I07LE8,IBULHSGFIN,SEC RE NCD 8.89% SR.VIII,954.0,954.0,954.0,954.0,954.0,959.0,5,4770.0,1
2024-02-21,CM,INE148I07LE8,IBULHSGFIN,SEC RE NCD 8.89% SR.VIII,957.0,957.0,957.0,957.0,957.0,954.0,5,4785.0,1
2024-02-22,CM,INE148I07LE8,IBULHSGFIN,SEC RE NCD 8.89% SR.VIII,949.5,949.5,949.5,949.5,949.5,957.0,5,4747.5,1
2024-02-23,CM,INE148I07LE8,IBULHSGFIN,SEC RE NCD 8.89% SR.VIII,948.0,948.0,948.0,948.0,948.0,949.5,5,4740.0,1
2024-02-29,CM,INE148I07LE8,IBULHSGFIN,SEC RE NCD 8.89% SR.VIII,948.0,948.0,948.0,948.0,948.0,948.0,5,4740.0,1
2024-03-01,CM,INE148I07LE8,IBULHSGFIN,SEC RE NCD 8.89% SR.VIII,948.0,948.0,948.0,948.0,948.0,948.0,5,4740.0,1
2024-03-12,CM,INE148I07LE8,IBULHSGFIN,SEC RE NCD 8.89% SR.VIII,805.1,805.1,805.1,805.1,805.1,945.0,68,54746.8,1
2024-03-13,CM,INE148I07LE8,IBULHSGFIN,SEC RE NCD 8.89% SR.VIII,900.3,950.0,809.1,950.0,950.0,805.1,588,518452.2,11
2024-03-15,CM,INE148I07LE8,IBULHSGFIN,SEC RE NCD 8.89% SR.VIII,963.0,963.0,963.0,963.0,963.0,950.0,10,9630.0,2
2024-03-18,CM,INE148I07LE8,IBULHSGFIN,SEC RE NCD 8.89% SR.VIII,963.0,963.0,963.0,963.0,963.0,963.0,5,4815.0,1
2024-03-19,CM,INE148I07LE8,IBULHSGFIN,SEC RE NCD 8.89% SR.VIII,970.0,970.0,970.0,970.0,970.0,963.0,10,9700.0,2
2024-03-20,CM,INE148I07LE8,IBULHSGFIN,SEC RE NCD 8.89% SR.VIII,963.0,963.0,963.0,963.0,963.0,970.0,10,9630.0,2
2024-03-22,CM,INE148I07LE8,IBULHSGFIN,SEC RE NCD 8.89% SR.VIII,820.2,1080.0,820.1,820.1,820.1,963.0,750,676869.0,18
2024-03-26,CM,INE148I07LE8,IBULHSGFIN,SEC RE NCD 8.89% SR.VIII,963.0,963.0,963.0,963.0,963.0,820.1,5,4815.0,1
2024-03-28,CM,INE148I07LE8,IBULHSGFIN,SEC RE NCD 8.89% SR.VIII,957.95,957.95,945.0,947.94,945.0,963.0,22,20854.75,2
2024-04-02,CM,INE148I07LE8,IBULHSGFIN,SEC RE NCD 8.89% SR.VIII,959.0,959.0,959.0,959.0,959.0,947.94,5,4795.0,1
2024-04-09,CM,INE148I07LE8,IBULHSGFIN,SEC RE NCD 8.89% SR.VIII,901.6,963.0,901.6,963.0,963.0,959.0,10,9323.0,2
2024-04-12,CM,INE148I07LE8,IBULHSGFIN,SEC RE NCD 8.89% SR.VIII,970.0,970.0,970.0,970.0,970.0,963.0,5,4850.0,1
2024-04-16,CM,INE148I07LE8,IBULHSGFIN,SEC RE NCD 8.89% SR.VIII,963.0,963.0,963.0,963.0,963.0,970.0,5,4815.0,1
2024-04-18,CM,INE148I07LE8,IBULHSGFIN,SEC RE NCD 8.89% SR.VIII,950.0,950.0,950.0,950.0,950.0,963.0,10,9500.0,1
