TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-03,CM,INE148I07MJ5,IBULHSGFIN,SEC RE NCD 8.94% SR.VI,960.0,960.0,955.0,955.0,955.0,963.9,160,152900.0,9
2024-01-09,CM,INE148I07MJ5,IBULHSGFIN,SEC RE NCD 8.94% SR.VI,965.0,965.0,965.0,965.0,965.0,955.0,188,181420.0,2
2024-01-11,CM,INE148I07MJ5,IBULHSGFIN,SEC RE NCD 8.94% SR.VI,965.0,965.0,965.0,965.0,965.0,965.0,73,70445.0,2
2024-01-15,CM,INE148I07MJ5,IBULHSGFIN,SEC RE NCD 8.94% SR.VI,951.0,951.0,951.0,951.0,951.0,965.0,5,4755.0,1
2024-02-02,CM,INE148I07MJ5,IBULHSGFIN,SEC RE NCD 8.94% SR.VI,951.0,951.0,940.1,942.82,940.1,951.0,16,15085.2,3
2024-02-05,CM,INE148I07MJ5,IBULHSGFIN,SEC RE NCD 8.94% SR.VI,940.1,940.1,940.1,940.1,940.1,942.82,84,78968.4,2
2024-02-13,CM,INE148I07MJ5,IBULHSGFIN,SEC RE NCD 8.94% SR.VI,950.0,950.0,950.0,950.0,950.0,940.1,100,95000.0,2
2024-02-15,CM,INE148I07MJ5,IBULHSGFIN,SEC RE NCD 8.94% SR.VI,940.1,940.1,940.1,940.1,940.1,950.0,10,9401.0,1
2024-02-26,CM,INE148I07MJ5,IBULHSGFIN,SEC RE NCD 8.94% SR.VI,975.0,975.0,975.0,975.0,975.0,940.1,12,11700.0,2
2024-03-11,CM,INE148I07MJ5,IBULHSGFIN,SEC RE NCD 8.94% SR.VI,950.2,950.2,950.0,950.0,950.0,975.0,20,19003.2,2
2024-03-13,CM,INE148I07MJ5,IBULHSGFIN,SEC RE NCD 8.94% SR.VI,980.0,980.0,980.0,980.0,980.0,950.0,10,9800.0,1
2024-03-15,CM,INE148I07MJ5,IBULHSGFIN,SEC RE NCD 8.94% SR.VI,957.0,957.0,957.0,957.0,957.0,980.0,81,77517.0,2
