TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-19,CM,INE148I07MN7,IBULHSGFIN,SEC RE NCD 9.05% SR.I,975.98,975.98,975.98,975.98,975.98,1001.0,1,975.98,1
2024-01-29,CM,INE148I07MN7,IBULHSGFIN,SEC RE NCD 9.05% SR.I,970.2,970.2,951.59,951.59,951.59,975.98,10,9683.39,2
2024-01-30,CM,INE148I07MN7,IBULHSGFIN,SEC RE NCD 9.05% SR.I,965.1,965.1,965.1,965.1,965.1,951.59,10,9651.0,1
2024-01-31,CM,INE148I07MN7,IBULHSGFIN,SEC RE NCD 9.05% SR.I,975.0,975.0,975.0,975.0,975.0,965.1,1,975.0,1
2024-02-05,CM,INE148I07MN7,IBULHSGFIN,SEC RE NCD 9.05% SR.I,950.63,975.0,950.63,952.1,952.1,975.0,13,12421.63,3
2024-02-14,CM,INE148I07MN7,IBULHSGFIN,SEC RE NCD 9.05% SR.I,952.1,961.64,952.1,961.64,961.64,952.1,20,19137.4,2
2024-02-16,CM,INE148I07MN7,IBULHSGFIN,SEC RE NCD 9.05% SR.I,980.0,980.0,980.0,980.0,980.0,961.64,10,9800.0,1
2024-02-27,CM,INE148I07MN7,IBULHSGFIN,SEC RE NCD 9.05% SR.I,955.5,955.5,955.5,955.5,955.5,980.0,1,955.5,1
2024-03-18,CM,INE148I07MN7,IBULHSGFIN,SEC RE NCD 9.05% SR.I,960.1,960.1,960.1,960.1,960.1,955.5,2,1920.2,2
2024-03-22,CM,INE148I07MN7,IBULHSGFIN,SEC RE NCD 9.05% SR.I,960.1,960.1,860.0,860.0,860.0,960.1,38,33680.9,3
2024-03-27,CM,INE148I07MN7,IBULHSGFIN,SEC RE NCD 9.05% SR.I,971.2,980.0,971.2,980.0,980.0,860.0,10,9791.2,6
2024-04-01,CM,INE148I07MN7,IBULHSGFIN,SEC RE NCD 9.05% SR.I,981.2,981.2,981.2,981.2,981.2,980.0,1,981.2,1
2024-04-05,CM,INE148I07MN7,IBULHSGFIN,SEC RE NCD 9.05% SR.I,1020.0,1020.0,1020.0,1020.0,1020.0,981.2,23,23460.0,3
2024-04-08,CM,INE148I07MN7,IBULHSGFIN,SEC RE NCD 9.05% SR.I,1020.0,1020.0,1020.0,1020.0,1020.0,1020.0,8,8160.0,1
2024-04-09,CM,INE148I07MN7,IBULHSGFIN,SEC RE NCD 9.05% SR.I,1020.0,1020.0,1020.0,1020.0,1020.0,1020.0,10,10200.0,1
2024-04-10,CM,INE148I07MN7,IBULHSGFIN,SEC RE NCD 9.05% SR.I,1021.0,1021.0,1021.0,1021.0,1021.0,1020.0,10,10210.0,1
2024-04-18,CM,INE148I07MN7,IBULHSGFIN,SEC RE NCD 9.05% SR.I,1020.0,1020.0,1020.0,1020.0,1020.0,1021.0,110,112200.0,3
2024-04-19,CM,INE148I07MN7,IBULHSGFIN,SEC RE NCD 9.05% SR.I,1020.0,1020.0,1020.0,1020.0,1020.0,1020.0,1,1020.0,1
2024-04-23,CM,INE148I07MN7,IBULHSGFIN,SEC RE NCD 9.05% SR.I,994.5,1020.0,994.5,1020.0,1020.0,1020.0,15,15172.5,2
2024-04-24,CM,INE148I07MN7,IBULHSGFIN,SEC RE NCD 9.05% SR.I,1020.0,1020.0,1019.0,1019.0,1019.0,1020.0,60,61150.0,2
2024-05-14,CM,INE148I07MN7,905IH24,SEC RE NCD 9.05% SR.I,1021.2,1021.2,1021.2,1021.2,1021.2,1019.0,10,10212.0,1
2024-06-14,CM,INE148I07MN7,905IH24,SEC RE NCD 9.05% SR.I,1038.0,1038.0,1038.0,1038.0,1038.0,1021.2,32,33216.0,1
2024-06-18,CM,INE148I07MN7,905IH24,SEC RE NCD 9.05% SR.I,1038.0,1038.0,1038.0,1038.0,1038.0,1038.0,42,43596.0,2
2024-06-20,CM,INE148I07MN7,905IH24,SEC RE NCD 9.05% SR.I,1038.0,1038.0,1038.0,1038.0,1038.0,1038.0,10,10380.0,1
2024-07-01,CM,INE148I07MN7,905IH24,SEC RE NCD 9.05% SR.I,1045.5,1045.5,1045.5,1045.5,1045.5,1038.0,1,1045.5,1
2024-07-11,CM,INE148I07MN7,905IH24,SEC RE NCD 9.05% SR.I,1042.8,1042.8,1042.8,1042.8,1042.8,1045.5,4,4171.2,1
2024-07-12,CM,INE148I07MN7,905IH24,SEC RE NCD 9.05% SR.I,1045.0,1050.0,1045.0,1045.01,1045.01,1042.8,18,18830.04,3
2024-07-15,CM,INE148I07MN7,905IH24,SEC RE NCD 9.05% SR.I,1042.8,1042.8,1042.8,1042.8,1042.8,1045.01,72,75081.6,2
2024-07-18,CM,INE148I07MN7,905IH24,SEC RE NCD 9.05% SR.I,1042.8,1042.8,1042.8,1042.8,1042.8,1042.8,28,29198.4,1
2024-07-22,CM,INE148I07MN7,905IH24,SEC RE NCD 9.05% SR.I,1058.2,1058.2,1058.2,1058.2,1058.2,1042.8,1,1058.2,1
2024-07-24,CM,INE148I07MN7,905IH24,SEC RE NCD 9.05% SR.I,1045.0,1045.0,1045.0,1045.0,1045.0,1058.2,50,52250.0,1
2024-07-29,CM,INE148I07MN7,905IH24,SEC RE NCD 9.05% SR.I,1045.0,1045.2,1045.0,1045.2,1045.2,1045.0,156,163045.2,5
2024-07-30,CM,INE148I07MN7,905SC24,SEC RE NCD 9.05% SR.I,1040.21,1040.21,1040.21,1040.21,1040.21,1045.2,30,31206.3,1
2024-07-31,CM,INE148I07MN7,905SC24,SEC RE NCD 9.05% SR.I,1058.2,1058.2,1058.2,1058.2,1058.2,1040.21,19,20105.8,1
2024-08-01,CM,INE148I07MN7,905SC24,SEC RE NCD 9.05% SR.I,1041.8,1041.8,1041.8,1041.8,1041.8,1058.2,1,1041.8,1
2024-08-21,CM,INE148I07MN7,905SC24,SEC RE NCD 9.05% SR.I,1060.8,1060.8,1060.8,1060.8,1060.8,1041.8,97,102897.6,1
2024-08-27,CM,INE148I07MN7,905SC24,SEC RE NCD 9.05% SR.I,1067.24,1067.24,1067.24,1067.24,1067.24,1060.8,92,98186.08,1
2024-08-29,CM,INE148I07MN7,905SC24,SEC RE NCD 9.05% SR.I,1050.2,1050.2,1050.2,1050.2,1050.2,1067.24,34,35706.8,1
2024-08-30,CM,INE148I07MN7,905SC24,SEC RE NCD 9.05% SR.I,1066.8,1066.8,1066.8,1066.8,1066.8,1050.2,34,36271.2,1
2024-09-11,CM,INE148I07MN7,905SC24,SEC RE NCD 9.05% SR.I,1055.2,1055.2,1055.2,1055.2,1055.2,1066.8,10,10552.0,1
