TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-23,CM,INE148I07MO5,IBULHSGFIN,SEC RE NCD SR.II,1010.1,1052.0,1010.1,1052.0,1052.0,1055.0,13,13257.0,3
2024-02-02,CM,INE148I07MO5,IBULHSGFIN,SEC RE NCD SR.II,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,2,2104.0,1
2024-02-14,CM,INE148I07MO5,IBULHSGFIN,SEC RE NCD SR.II,1052.0,1150.0,1052.0,1052.17,1052.17,1052.0,1106,1169538.97,18
2024-02-15,CM,INE148I07MO5,IBULHSGFIN,SEC RE NCD SR.II,1080.0,1080.0,1080.0,1080.0,1080.0,1052.17,5,5400.0,1
2024-02-16,CM,INE148I07MO5,IBULHSGFIN,SEC RE NCD SR.II,1083.0,1083.0,1083.0,1083.0,1083.0,1080.0,5,5415.0,1
2024-02-19,CM,INE148I07MO5,IBULHSGFIN,SEC RE NCD SR.II,1080.0,1080.0,1080.0,1080.0,1080.0,1083.0,5,5400.0,1
2024-02-20,CM,INE148I07MO5,IBULHSGFIN,SEC RE NCD SR.II,1078.0,1080.0,1065.0,1078.7,1078.7,1080.0,253,270449.6,8
2024-02-21,CM,INE148I07MO5,IBULHSGFIN,SEC RE NCD SR.II,1078.7,1083.0,1072.0,1072.0,1072.0,1078.7,112,120114.7,4
2024-02-22,CM,INE148I07MO5,IBULHSGFIN,SEC RE NCD SR.II,1053.2,1053.2,1053.2,1053.2,1053.2,1072.0,5,5266.0,1
2024-03-18,CM,INE148I07MO5,IBULHSGFIN,SEC RE NCD SR.II,1089.8,1089.8,1089.8,1089.8,1089.8,1053.2,136,148212.8,2
2024-03-19,CM,INE148I07MO5,IBULHSGFIN,SEC RE NCD SR.II,1089.7,1089.8,1089.7,1089.8,1089.8,1089.8,102,111154.8,3
2024-03-21,CM,INE148I07MO5,IBULHSGFIN,SEC RE NCD SR.II,1093.19,1093.19,1083.16,1083.16,1083.16,1089.8,161,175893.26,2
2024-04-01,CM,INE148I07MO5,IBULHSGFIN,SEC RE NCD SR.II,1083.16,1083.16,1083.16,1083.16,1083.16,1083.16,50,54158.0,1
2024-04-10,CM,INE148I07MO5,IBULHSGFIN,SEC RE NCD SR.II,1080.8,1080.8,1080.8,1080.8,1080.8,1083.16,100,108080.0,1
2024-04-12,CM,INE148I07MO5,IBULHSGFIN,SEC RE NCD SR.II,1081.8,1105.8,1081.8,1105.8,1105.8,1080.8,48,52838.4,3
2024-04-15,CM,INE148I07MO5,IBULHSGFIN,SEC RE NCD SR.II,1105.8,1105.8,1105.8,1105.8,1105.8,1105.8,23,25433.4,1
2024-04-16,CM,INE148I07MO5,IBULHSGFIN,SEC RE NCD SR.II,1105.8,1105.8,1105.8,1105.8,1105.8,1105.8,10,11058.0,1
2024-04-18,CM,INE148I07MO5,IBULHSGFIN,SEC RE NCD SR.II,1105.8,1105.8,1105.8,1105.8,1105.8,1105.8,39,43126.2,1
2024-06-13,CM,INE148I07MO5,IBHF24,SEC RE NCD SR.II,1103.2,1103.2,1103.2,1103.2,1103.2,1105.8,50,55160.0,1
2024-06-19,CM,INE148I07MO5,IBHF24,SEC RE NCD SR.II,1127.8,1127.8,1127.8,1127.8,1127.8,1103.2,50,56390.0,1
2024-07-02,CM,INE148I07MO5,IBHF24,SEC RE NCD SR.II,1110.2,1110.2,1110.2,1110.2,1110.2,1127.8,50,55510.0,1
2024-07-03,CM,INE148I07MO5,IBHF24,SEC RE NCD SR.II,1120.0,1120.0,1120.0,1120.0,1120.0,1110.2,10,11200.0,1
2024-07-04,CM,INE148I07MO5,IBHF24,SEC RE NCD SR.II,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,50,56000.0,1
2024-07-09,CM,INE148I07MO5,IBHF24,SEC RE NCD SR.II,1139.8,1139.8,1136.8,1136.8,1136.8,1120.0,50,56906.0,3
2024-07-11,CM,INE148I07MO5,IBHF24,SEC RE NCD SR.II,1136.0,1136.0,1136.0,1136.0,1136.0,1136.8,13,14768.0,2
2024-07-24,CM,INE148I07MO5,IBHF24,SEC RE NCD SR.II,1136.0,1136.0,1118.2,1120.0,1120.0,1136.0,21,23822.2,5
2024-07-26,CM,INE148I07MO5,IBHF24,SAMMAAN CAPITAL LIMITED,1139.99,1139.99,1139.99,1139.99,1139.99,1120.0,88,100319.12,1
2024-07-29,CM,INE148I07MO5,IBHF24,SEC RE NCD SR.II,1139.99,1139.99,1139.99,1139.99,1139.99,1139.99,79,90059.21,1
2024-07-30,CM,INE148I07MO5,SCL24,SEC RE NCD SR.II,1139.99,1140.0,1139.99,1140.0,1140.0,1139.99,95,108299.37,5
2024-08-08,CM,INE148I07MO5,SCL24,SEC RE NCD SR.II,1135.0,1135.0,1135.0,1135.0,1135.0,1140.0,20,22700.0,2
2024-08-09,CM,INE148I07MO5,SCL24,SEC RE NCD SR.II,1145.0,1145.0,1145.0,1145.0,1145.0,1135.0,30,34350.0,1
2024-08-12,CM,INE148I07MO5,SCL24,SEC RE NCD SR.II,1140.0,1140.0,1140.0,1140.0,1140.0,1145.0,8,9120.0,1
2024-09-13,CM,INE148I07MO5,SCL24,SEC RE NCD SR.II,1165.0,1165.0,1165.0,1165.0,1165.0,1140.0,75,87375.0,1
