TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-04-04,CM,INE148I07OS2,IBULHSGFIN,SEC RE NCD SR VI,990.0,990.0,990.0,990.0,990.0,1005.0,20,19800.0,2
2024-05-24,CM,INE148I07OS2,IBHFZC26B,SEC RE NCD SR VI,1000.0,1000.0,1000.0,1000.0,1000.0,990.0,1,1000.0,1
2024-06-04,CM,INE148I07OS2,IBHFZC26B,SEC RE NCD SR VI,982.0,982.0,982.0,982.0,982.0,1000.0,10,9820.0,1
2024-06-05,CM,INE148I07OS2,IBHFZC26B,SEC RE NCD SR VI,1007.11,1007.11,1007.11,1007.11,1007.11,982.0,10,10071.1,1
2024-06-20,CM,INE148I07OS2,IBHFZC26B,SEC RE NCD SR VI,1005.0,1005.0,1005.0,1005.0,1005.0,1007.11,25,25125.0,1
2024-06-24,CM,INE148I07OS2,IBHFZC26B,SEC RE NCD SR VI,1005.0,1005.0,1005.0,1005.0,1005.0,1005.0,10,10050.0,1
2024-07-05,CM,INE148I07OS2,IBHFZC26B,SEC RE NCD SR VI,1018.03,1018.03,1018.03,1018.03,1018.03,1005.0,10,10180.3,2
2024-07-08,CM,INE148I07OS2,IBHFZC26B,SEC RE NCD SR VI,1018.03,1027.0,1018.03,1027.0,1027.0,1018.03,235,239551.0,6
2024-07-09,CM,INE148I07OS2,IBHFZC26B,SEC RE NCD SR VI,1019.0,1020.0,1019.0,1020.0,1020.0,1027.0,100,101950.0,2
2024-07-12,CM,INE148I07OS2,IBHFZC26B,SEC RE NCD SR VI,1028.0,1028.0,1028.0,1028.0,1028.0,1020.0,120,123360.0,2
