TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-03,CM,INE148I07PA7,IBULHSG,SEC RE NCD 9.25% SR II,960.01,960.01,960.01,960.01,960.01,960.0,5,4800.05,1
2024-01-16,CM,INE148I07PA7,IBULHSG,SEC RE NCD 9.25% SR II,960.01,960.01,960.01,960.01,960.01,960.01,10,9600.1,1
2024-01-17,CM,INE148I07PA7,IBULHSG,SEC RE NCD 9.25% SR II,960.01,960.01,950.0,956.12,950.0,960.01,60,57406.3,5
2024-01-29,CM,INE148I07PA7,IBULHSG,SEC RE NCD 9.25% SR II,950.0,950.0,950.0,950.0,950.0,956.12,10,9500.0,1
2024-02-01,CM,INE148I07PA7,IBULHSG,SEC RE NCD 9.25% SR II,963.3,970.0,963.3,970.0,970.0,950.0,394,379744.44,7
2024-02-05,CM,INE148I07PA7,IBULHSG,SEC RE NCD 9.25% SR II,970.0,970.0,970.0,970.0,970.0,970.0,10,9700.0,1
2024-02-06,CM,INE148I07PA7,IBULHSG,SEC RE NCD 9.25% SR II,950.2,977.0,950.2,977.0,977.0,970.0,196,186375.02,4
2024-02-07,CM,INE148I07PA7,IBULHSG,SEC RE NCD 9.25% SR II,974.9,974.9,974.9,974.9,974.9,977.0,10,9749.0,2
2024-02-09,CM,INE148I07PA7,IBULHSG,SEC RE NCD 9.25% SR II,950.0,950.2,940.1,950.2,950.2,974.9,30,28313.4,6
2024-02-15,CM,INE148I07PA7,IBULHSG,SEC RE NCD 9.25% SR II,974.92,974.92,974.92,974.92,974.92,950.2,5,4874.6,1
2024-02-22,CM,INE148I07PA7,IBULHSG,SEC RE NCD 9.25% SR II,972.0,972.0,942.5,942.5,942.5,974.92,15,14285.0,2
2024-02-29,CM,INE148I07PA7,IBULHSG,SEC RE NCD 9.25% SR II,973.6,973.6,973.6,973.6,973.6,942.5,5,4868.0,1
2024-03-13,CM,INE148I07PA7,IBULHSG,SEC RE NCD 9.25% SR II,970.0,973.97,970.0,973.97,973.97,973.6,53,51421.91,2
2024-04-03,CM,INE148I07PA7,IBULHSG,SEC RE NCD 9.25% SR II,973.97,973.97,973.97,973.97,973.97,973.97,30,29219.1,2
2024-04-05,CM,INE148I07PA7,IBULHSG,SEC RE NCD 9.25% SR II,975.0,975.0,973.97,973.97,973.97,973.97,60,58469.1,5
2024-04-08,CM,INE148I07PA7,IBULHSG,SEC RE NCD 9.25% SR II,989.99,989.99,960.55,960.55,960.55,973.97,20,19528.85,3
2024-04-09,CM,INE148I07PA7,IBULHSG,SEC RE NCD 9.25% SR II,965.55,965.55,965.55,965.55,965.55,960.55,1,965.55,1
2024-04-10,CM,INE148I07PA7,IBULHSG,SEC RE NCD 9.25% SR II,975.55,975.55,975.55,975.55,975.55,965.55,9,8779.95,1
2024-05-07,CM,INE148I07PA7,925IHFL25,SEC RE NCD 9.25% SR II,975.55,975.55,975.55,975.55,975.55,975.55,10,9755.5,1
2024-05-08,CM,INE148I07PA7,925IHFL25,SEC RE NCD 9.25% SR II,945.0,945.0,933.99,933.99,933.99,975.55,183,171019.26,5
2024-05-17,CM,INE148I07PA7,925IHFL25,SEC RE NCD 9.25% SR II,972.0,972.0,972.0,972.0,972.0,933.99,2,1944.0,1
2024-05-21,CM,INE148I07PA7,925IHFL25,SEC RE NCD 9.25% SR II,960.56,960.56,960.56,960.56,960.56,972.0,8,7684.48,1
2024-05-23,CM,INE148I07PA7,925IHFL25,SEC RE NCD 9.25% SR II,960.0,989.97,960.0,989.97,989.97,960.56,30,29069.73,4
2024-05-29,CM,INE148I07PA7,925IHFL25,SEC RE NCD 9.25% SR II,1000.0,1000.0,1000.0,1000.0,1000.0,989.97,10,10000.0,1
2024-06-05,CM,INE148I07PA7,925IHFL25,SEC RE NCD 9.25% SR II,960.0,960.0,960.0,960.0,960.0,1000.0,10,9600.0,1
2024-06-07,CM,INE148I07PA7,925IHFL25,SEC RE NCD 9.25% SR II,960.0,960.0,950.0,950.0,950.0,960.0,12,11420.0,2
2024-06-10,CM,INE148I07PA7,925IHFL25,SEC RE NCD 9.25% SR II,960.0,970.0,950.66,970.0,970.0,950.0,29,27916.6,4
2024-06-11,CM,INE148I07PA7,925IHFL25,SEC RE NCD 9.25% SR II,994.99,994.99,994.99,994.99,994.99,970.0,38,37809.62,1
2024-06-21,CM,INE148I07PA7,925IHFL25,SEC RE NCD 9.25% SR II,991.79,991.79,991.79,991.79,991.79,994.99,1,991.79,1
2024-06-28,CM,INE148I07PA7,925IHFL25,SEC RE NCD 9.25% SR II,960.55,960.55,960.55,960.55,960.55,991.79,100,96055.0,2
2024-07-02,CM,INE148I07PA7,925IHFL25,SEC RE NCD 9.25% SR II,974.0,974.0,974.0,974.0,974.0,960.55,50,48700.0,1
2024-07-03,CM,INE148I07PA7,925IHFL25,SEC RE NCD 9.25% SR II,967.0,967.01,967.0,967.01,967.01,974.0,60,58020.5,2
2024-07-05,CM,INE148I07PA7,925IHFL25,SEC RE NCD 9.25% SR II,967.01,967.01,967.01,967.01,967.01,967.01,10,9670.1,1
2024-07-08,CM,INE148I07PA7,925IHFL25,SEC RE NCD 9.25% SR II,967.0,967.01,967.0,967.01,967.01,967.01,20,19340.05,3
2024-07-23,CM,INE148I07PA7,925IHFL25,SEC RE NCD 9.25% SR II,967.01,967.01,967.01,967.01,967.01,967.01,100,96701.0,3
2024-08-28,CM,INE148I07PA7,925SCL25,SEC RE NCD 9.25% SR II,972.0,973.8,972.0,972.51,973.8,967.01,34,33055.2,4
2024-09-09,CM,INE148I07PA7,925SCL25,SEC RE NCD 9.25% SR II,988.0,988.0,975.0,978.0,978.0,972.51,62,60626.0,5
2024-09-10,CM,INE148I07PA7,925SCL25,SEC RE NCD 9.25% SR II,988.0,988.0,977.0,977.0,977.0,978.0,47,46359.0,2
2024-09-12,CM,INE148I07PA7,925SCL25,SEC RE NCD 9.25% SR II,977.0,977.0,960.55,977.0,977.0,977.0,233,227476.5,4
