TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-02,CM,INE148I07PV3,IBULHSG,SEC RE NCD 10.25% SR XII,990.0,990.0,990.0,990.0,990.0,963.0,100,99000.0,4
2024-01-08,CM,INE148I07PV3,IBULHSG,SEC RE NCD 10.25% SR XII,1000.0,1000.0,1000.0,1000.0,1000.0,990.0,1,1000.0,1
2024-01-12,CM,INE148I07PV3,IBULHSG,SEC RE NCD 10.25% SR XII,995.0,995.0,995.0,995.0,995.0,1000.0,9,8955.0,1
2024-01-30,CM,INE148I07PV3,IBULHSG,SEC RE NCD 10.25% SR XII,980.0,980.0,980.0,980.0,980.0,995.0,210,205800.0,11
2024-02-02,CM,INE148I07PV3,IBULHSG,SEC RE NCD 10.25% SR XII,955.5,955.5,955.5,955.5,955.5,980.0,12,11466.0,1
2024-02-06,CM,INE148I07PV3,IBULHSG,SEC RE NCD 10.25% SR XII,960.0,960.0,960.0,960.0,960.0,955.5,20,19200.0,2
2024-02-07,CM,INE148I07PV3,IBULHSG,SEC RE NCD 10.25% SR XII,1009.99,1010.0,1009.99,1009.99,1009.99,960.0,61,61609.89,3
2024-02-12,CM,INE148I07PV3,IBULHSG,SEC RE NCD 10.25% SR XII,1009.98,1009.98,980.0,980.0,980.0,1009.99,17,17019.76,2
2024-02-16,CM,INE148I07PV3,IBULHSG,SEC RE NCD 10.25% SR XII,980.0,980.0,980.0,980.0,980.0,980.0,40,39200.0,7
2024-03-11,CM,INE148I07PV3,IBULHSG,SEC RE NCD 10.25% SR XII,920.0,920.0,920.0,920.0,920.0,980.0,38,34960.0,4
2024-03-14,CM,INE148I07PV3,IBULHSG,SEC RE NCD 10.25% SR XII,950.0,950.0,950.0,950.0,950.0,920.0,10,9500.0,8
2024-03-15,CM,INE148I07PV3,IBULHSG,SEC RE NCD 10.25% SR XII,998.98,998.98,998.0,998.0,998.0,950.0,14,13984.74,2
