TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-18,CM,INE148I07QT5,IBULHSG,SEC RE NCD 9.71% SR VIII,925.0,950.0,925.0,950.0,,925.0,50,46875.0,3
2024-01-29,CM,INE148I07QT5,IBULHSG,SEC RE NCD 9.71% SR VIII,963.0,963.0,963.0,963.0,,950.0,1,963.0,1
2024-02-22,CM,INE148I07QT5,IBULHSG,SEC RE NCD 9.71% SR VIII,937.2,937.2,937.2,937.2,,963.0,850,796620.0,1
2024-03-26,CM,INE148I07QT5,IBULHSG,SEC RE NCD 9.71% SR VIII,937.2,937.2,937.2,937.2,,937.2,100,93720.0,1
2024-03-28,CM,INE148I07QT5,IBULHSG,SEC RE NCD 9.71% SR VIII,940.8,940.8,940.8,940.8,,937.2,90,84672.0,3
2024-04-09,CM,INE148I07QT5,IBULHSG,SEC RE NCD 9.71% SR VIII,925.0,951.69,925.0,951.69,,940.8,19,17842.21,3
2024-04-19,CM,INE148I07QT5,IBULHSG,SEC RE NCD 9.71% SR VIII,951.0,951.0,951.0,951.0,,951.69,10,9510.0,1
2024-04-22,CM,INE148I07QT5,IBULHSG,SEC RE NCD 9.71% SR VIII,951.0,951.0,951.0,951.0,,951.0,15,14265.0,1
2024-06-05,CM,INE148I07QT5,971IHFL28A,SEC RE NCD 9.71% SR VIII,951.0,951.0,951.0,951.0,,951.0,6,5706.0,1
2024-06-07,CM,INE148I07QT5,971IHFL28A,SEC RE NCD 9.71% SR VIII,941.0,941.0,941.0,941.0,,951.0,94,88454.0,1
2024-07-04,CM,INE148I07QT5,971IHFL28A,SEC RE NCD 9.71% SR VIII,940.0,940.0,940.0,940.0,,941.0,10,9400.0,2
2024-07-15,CM,INE148I07QT5,971IHFL28A,SEC RE NCD 9.71% SR VIII,953.59,953.59,953.59,953.59,,940.0,10,9535.9,1
