TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INE255X01014,MSTCLTD,MSTC LIMITED,673.65,681.25,655.2,659.15,657.25,669.2,854820,569515579.2,26022
2024-01-02,CM,INE255X01014,MSTCLTD,MSTC LIMITED,661.1,663.45,630.1,642.75,646.1,659.15,929990,599499532.4,35905
2024-01-03,CM,INE255X01014,MSTCLTD,MSTC LIMITED,643.2,657.3,635.05,644.8,643.4,642.75,637984,411690744.2,27156
2024-01-04,CM,INE255X01014,MSTCLTD,MSTC LIMITED,647.65,668.0,644.0,646.85,645.95,644.8,724836,475230783.3,24323
2024-01-05,CM,INE255X01014,MSTCLTD,MSTC LIMITED,650.0,657.45,617.0,629.05,629.5,646.85,920735,581702748.2,30855
2024-01-08,CM,INE255X01014,MSTCLTD,MSTC LIMITED,632.0,641.0,617.75,631.1,635.05,629.05,772960,485878488.9,30303
2024-01-09,CM,INE255X01014,MSTCLTD,MSTC LIMITED,640.4,667.0,640.0,650.1,650.0,631.1,970671,632498778.65,31575
2024-01-10,CM,INE255X01014,MSTCLTD,MSTC LIMITED,652.0,694.0,646.95,684.5,690.2,650.1,1774019,1189956747.9,52421
2024-01-11,CM,INE255X01014,MSTCLTD,MSTC LIMITED,690.3,791.0,689.4,775.65,773.0,684.5,6302607,4773126827.55,163675
2024-01-12,CM,INE255X01014,MSTCLTD,MSTC LIMITED,777.9,777.9,748.55,766.8,768.0,775.65,1216769,926968510.95,41128
2024-01-15,CM,INE255X01014,MSTCLTD,MSTC LIMITED,772.5,869.0,768.65,859.45,858.0,766.8,4787549,3976832348.7,131354
2024-01-16,CM,INE255X01014,MSTCLTD,MSTC LIMITED,866.0,926.0,846.55,916.9,916.5,859.45,4829938,4338499760.75,139394
2024-01-17,CM,INE255X01014,MSTCLTD,MSTC LIMITED,902.0,996.0,890.0,975.05,979.45,916.9,3547742,3426867578.15,79217
2024-01-18,CM,INE255X01014,MSTCLTD,MSTC LIMITED,979.45,1008.0,910.0,989.15,990.0,975.05,2702229,2610311361.2,68198
2024-01-19,CM,INE255X01014,MSTCLTD,MSTC LIMITED,999.0,1012.4,963.35,992.1,983.0,989.15,1188745,1173317823.75,32950
2024-01-23,CM,INE255X01014,MSTCLTD,MSTC LIMITED,1045.0,1045.0,932.25,933.6,932.3,1035.8,1107434,1080044719.3,33433
