TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1250.8,1285.0,1245.55,1278.3,1278.0,1250.8,260880,332345808.55,19047
2024-01-02,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1283.85,1292.7,1262.0,1281.9,1280.7,1278.3,211794,270436542.15,16522
2024-01-03,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1280.0,1300.0,1271.0,1294.45,1285.05,1281.9,180756,232782655.45,16726
2024-01-04,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1285.1,1315.7,1285.1,1311.9,1310.0,1294.45,198156,258882443.45,15922
2024-01-05,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1310.05,1325.0,1310.0,1321.85,1320.0,1311.9,113809,150305484.8,6782
2024-01-08,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1325.3,1328.0,1309.0,1311.75,1315.0,1321.85,150847,198560971.35,13821
2024-01-09,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1320.0,1355.0,1311.0,1349.65,1335.25,1311.75,168773,226044775.4,9473
2024-01-10,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1335.05,1368.25,1325.0,1336.4,1339.45,1349.65,130662,176523907.2,8150
2024-01-11,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1340.05,1537.35,1338.1,1497.4,1519.0,1336.4,1625991,2404597206.3,95571
2024-01-12,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1525.0,1568.0,1495.0,1521.3,1512.0,1497.4,495355,756718350.6,32025
2024-01-15,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1540.35,1540.35,1472.1,1501.75,1501.0,1521.3,214136,320630525.6,15651
2024-01-16,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1527.7,1527.7,1475.0,1486.35,1475.3,1501.75,119326,178328163.3,11536
2024-01-17,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1459.95,1460.0,1420.0,1447.75,1445.0,1486.35,442540,636922381.15,38292
2024-01-18,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1440.0,1455.9,1396.0,1425.2,1419.0,1447.75,130917,187415247.9,14598
2024-01-19,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1427.0,1467.95,1420.8,1432.85,1425.0,1425.2,175624,252632646.55,12482
2024-01-23,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1433.0,1476.7,1399.9,1413.15,1427.2,1424.95,175524,251250146.15,16241
2024-01-24,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1424.85,1434.75,1392.05,1419.5,1422.0,1413.15,46721,66168497.4,6530
2024-01-25,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1419.5,1419.5,1419.5,1419.5,1419.5,790.0,76977,109268851.5,1
2024-01-25,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1424.95,1460.95,1402.1,1450.15,1456.0,1419.5,113985,164035171.65,14153
2024-01-29,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1468.4,1485.6,1424.0,1447.0,1435.05,1450.15,159191,230753791.25,19405
2024-01-30,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1445.0,1461.0,1386.35,1400.85,1401.0,1447.0,145203,207468851.5,14879
2024-01-31,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1400.95,1424.9,1374.1,1404.55,1405.0,1400.85,223759,313627843.5,23890
2024-02-01,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1403.0,1432.6,1403.0,1416.45,1425.0,1404.55,85643,121702596.05,14330
2024-02-02,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1480.0,1480.0,1407.65,1414.15,1418.0,1416.45,73926,106126954.3,10781
2024-02-05,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1414.15,1438.0,1408.0,1413.05,1410.2,1414.15,54743,77424380.75,5989
2024-02-06,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1420.1,1454.0,1408.25,1438.45,1440.0,1413.05,43039,61599087.35,6389
2024-02-07,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1450.0,1475.95,1436.0,1454.8,1459.0,1438.45,65288,94630995.05,5677
2024-02-08,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1454.8,1535.3,1454.8,1506.65,1520.0,1454.8,186787,280576293.7,21827
2024-02-09,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1529.6,1644.5,1529.6,1556.7,1550.0,1506.65,415276,659986099.4,38152
2024-02-12,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1572.85,1589.95,1471.55,1511.3,1519.0,1556.7,135953,205748753.0,18276
2024-02-13,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1530.0,1626.0,1515.25,1581.95,1584.45,1511.3,223826,353599713.05,22666
2024-02-14,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1551.1,1658.7,1541.05,1548.85,1550.0,1581.95,266803,424431283.0,26023
2024-02-15,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1559.5,1598.0,1540.15,1566.55,1570.0,1548.85,68170,106905569.0,8363
2024-02-16,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1578.0,1590.0,1540.25,1568.2,1567.0,1566.55,50084,78444647.5,5798
2024-02-19,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1545.2,1585.0,1545.15,1570.0,1579.1,1568.2,79619,124974152.15,8994
2024-02-20,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1576.1,1587.5,1553.45,1576.55,1580.0,1570.0,132431,208550086.8,12651
2024-02-21,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1580.0,1643.8,1502.0,1530.25,1526.0,1576.55,258142,409762024.4,24003
2024-02-22,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1539.65,1545.2,1474.9,1524.0,1514.5,1530.25,149996,227140766.95,19143
2024-02-23,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1520.0,1596.9,1518.9,1569.05,1565.0,1524.0,68382,105749110.5,8082
2024-02-26,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1581.0,1613.0,1561.05,1607.05,1611.0,1569.05,133743,213453307.8,13227
2024-02-27,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1607.05,1687.2,1577.05,1593.85,1590.0,1607.05,242441,396420677.6,28651
2024-02-28,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1636.9,1638.95,1542.95,1559.05,1558.0,1593.85,69985,110370272.9,10810
2024-02-29,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1563.0,1571.95,1508.5,1514.05,1514.85,1559.05,103686,158136098.4,17416
2024-03-01,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1524.4,1540.4,1495.55,1502.3,1503.0,1514.05,61322,92468133.6,7614
2024-03-04,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1528.9,1528.9,1491.0,1500.05,1499.0,1516.1,84561,126828033.8,8363
2024-03-05,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1515.65,1515.65,1425.0,1432.6,1430.05,1500.05,72867,106056697.1,11537
2024-03-06,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1403.55,1441.55,1396.3,1420.4,1424.0,1432.6,187513,264985784.3,26745
2024-03-07,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1438.0,1476.1,1423.9,1449.95,1449.7,1420.4,84224,122522104.0,14000
2024-03-11,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1461.65,1464.0,1406.7,1453.35,1452.0,1449.95,54070,77770043.2,10580
2024-03-12,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1432.35,1443.05,1402.0,1409.65,1406.8,1453.35,59608,84455340.85,9297
2024-03-13,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1419.65,1419.65,1372.35,1405.7,1400.0,1409.65,97278,136359959.1,14724
2024-03-14,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1405.7,1459.0,1375.0,1419.25,1454.3,1405.7,52139,73291353.55,6134
2024-03-15,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1440.5,1440.5,1393.6,1400.05,1400.0,1419.25,86511,121363956.85,6078
2024-03-18,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1366.0,1464.8,1366.0,1437.9,1440.0,1400.05,311904,447370602.6,22681
2024-03-19,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1452.25,1458.0,1390.0,1420.2,1411.0,1437.9,175959,250527167.5,19419
2024-03-20,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1441.5,1457.0,1411.6,1422.05,1422.5,1420.2,264115,376477048.95,11694
2024-03-21,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1470.0,1504.35,1426.5,1494.55,1497.0,1422.05,263111,383122628.0,14082
2024-03-22,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1495.0,1513.85,1475.0,1500.75,1506.9,1494.55,57877,86629085.0,6878
2024-03-26,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1512.9,1512.9,1485.0,1495.3,1504.0,1500.75,45627,68199745.55,4868
2024-03-27,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1510.0,1608.8,1508.4,1595.85,1571.5,1495.3,205703,323742406.85,23019
2024-03-28,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1590.0,1595.0,1551.1,1565.75,1563.0,1595.85,57525,90588378.1,8280
2024-04-01,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1604.85,1609.85,1560.05,1578.15,1580.0,1565.75,90872,143710565.35,10289
2024-04-02,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1575.0,1657.6,1573.75,1595.9,1606.0,1578.15,167061,270593967.3,19819
2024-04-03,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1600.0,1635.55,1580.85,1628.55,1635.0,1595.9,66438,107765161.85,9264
2024-04-04,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1653.0,1710.0,1624.15,1684.65,1700.0,1628.55,215858,358167958.9,22560
2024-04-05,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1705.0,1728.0,1688.1,1711.35,1704.0,1684.65,241820,412340035.0,17134
2024-04-08,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1693.0,1693.0,1653.9,1664.75,1670.05,1711.35,95652,158939623.1,8655
2024-04-09,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1700.0,1735.95,1662.0,1719.55,1719.4,1664.75,152026,258985984.95,15541
2024-04-10,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1720.0,1760.0,1682.3,1742.1,1735.1,1719.55,133905,231341970.95,15263
2024-04-12,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1750.0,1760.0,1690.0,1698.05,1710.0,1742.1,55722,96303799.3,9030
2024-04-15,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1635.55,1699.0,1631.35,1684.85,1699.0,1698.05,161804,270834738.45,10231
2024-04-16,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1680.0,1808.9,1679.8,1747.85,1750.8,1684.85,381202,670201240.4,32078
2024-04-18,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1780.0,1798.0,1742.55,1760.1,1755.0,1747.85,101047,178354884.0,13839
2024-04-19,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1745.0,1760.1,1710.0,1733.55,1730.0,1760.1,119063,206210138.6,10917
2024-04-22,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1771.9,1832.0,1746.1,1806.45,1830.0,1733.55,87017,155092052.4,13709
2024-04-23,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1827.2,1846.0,1798.85,1817.25,1810.0,1806.45,106462,193490508.95,11238
2024-04-24,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1835.0,1868.95,1819.05,1839.75,1830.0,1817.25,107805,198737719.4,16197
2024-04-25,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1825.05,1839.95,1810.0,1823.45,1825.0,1839.75,57557,105034973.7,13476
2024-04-26,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1829.95,1847.95,1745.6,1761.95,1764.0,1823.45,81814,146019299.4,12860
2024-04-29,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1769.65,1880.0,1739.1,1825.25,1817.0,1761.95,170017,308781003.05,17956
2024-04-30,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1837.35,1850.0,1777.05,1838.95,1829.9,1825.25,127951,231989329.8,16291
2024-05-02,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1825.0,1848.5,1821.0,1838.75,1830.05,1838.95,26815,49237413.3,4913
2024-05-03,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1849.85,1880.0,1800.0,1817.6,1810.0,1838.75,52073,95850616.2,7771
2024-05-06,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1829.95,1829.95,1783.3,1798.55,1793.15,1817.6,28713,51657666.2,5212
2024-05-07,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1798.55,1815.0,1750.25,1777.0,1775.0,1798.55,32250,57063387.75,7518
2024-05-08,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1777.05,1825.0,1776.05,1795.6,1800.0,1777.0,60415,109122455.45,9399
2024-05-09,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1809.7,1834.95,1780.05,1802.8,1793.0,1795.6,192089,347693614.65,11604
2024-05-10,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1825.0,1831.0,1780.15,1815.85,1815.0,1802.8,82424,149312226.75,17763
2024-05-13,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1829.9,1829.9,1780.2,1798.1,1781.5,1815.85,33328,59934331.75,7091
2024-05-14,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1817.8,1821.95,1792.2,1814.3,1813.0,1798.1,59522,107764324.35,16795
2024-05-15,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1841.5,1851.0,1795.0,1807.9,1803.0,1814.3,46814,84728529.6,9704
2024-05-16,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1827.65,1831.3,1797.0,1819.3,1813.75,1807.9,56189,101677514.65,10319
2024-05-17,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1835.75,1835.75,1805.0,1820.6,1813.35,1819.3,34174,62074410.4,7358
2024-05-21,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1828.65,1828.65,1782.0,1796.0,1792.1,1817.65,40586,73125548.45,8271
2024-05-22,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1792.1,1822.7,1761.0,1782.7,1776.0,1796.0,64209,114498737.25,14648
2024-05-23,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1800.0,1817.95,1775.0,1789.25,1780.05,1782.7,47481,85119727.7,12748
2024-05-24,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1789.25,1829.95,1781.0,1803.55,1787.0,1789.25,66060,119364270.4,11056
2024-05-27,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1815.65,1967.9,1811.0,1849.7,1845.0,1803.55,483218,914161799.15,61513
2024-05-28,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1859.2,2035.0,1855.0,1906.85,1897.15,1849.7,1539395,3027459999.0,95795
2024-05-29,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1950.0,1952.6,1882.3,1911.75,1910.0,1906.85,214716,409504625.3,23535
2024-05-30,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1915.0,1949.0,1895.0,1915.1,1915.0,1911.75,89684,172301325.1,11264
2024-05-31,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1919.5,1988.6,1887.05,1925.45,1902.0,1915.1,423521,817667060.9,24302
2024-06-03,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1950.0,1950.0,1849.7,1860.05,1862.8,1925.45,128633,241335632.2,14116
2024-06-04,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1887.95,1887.95,1696.25,1765.7,1781.15,1860.05,113438,202741998.05,15334
2024-06-05,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1775.0,1859.6,1719.0,1849.0,1850.0,1765.7,66998,121433467.8,11777
2024-06-06,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1895.0,1950.0,1850.0,1928.0,1919.0,1849.0,170312,328727117.75,21560
2024-06-07,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1928.3,1950.0,1895.0,1900.7,1900.0,1928.0,52860,101268479.65,7154
2024-06-10,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1928.0,1928.0,1881.0,1886.8,1890.0,1900.7,32701,61886180.3,4251
2024-06-11,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1890.0,1975.0,1881.1,1954.75,1943.5,1886.8,107181,207125004.75,11646
2024-06-12,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1975.0,1975.0,1929.4,1943.4,1933.3,1954.75,52963,103702765.1,7544
2024-06-13,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1944.0,1954.0,1894.1,1898.15,1899.1,1943.4,79994,152753144.1,9306
2024-06-14,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1909.95,1934.55,1886.0,1923.25,1917.1,1898.15,48957,93547957.7,7121
2024-06-18,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1930.0,2134.5,1917.05,1977.2,1973.0,1923.25,698834,1426803728.95,58919
2024-06-19,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1989.95,1998.9,1928.9,1954.85,1957.0,1977.2,80567,157806754.75,8840
2024-06-20,CM,INE321T01012,DOMS,DOMS INDUSTRIES LIMITED,1954.95,1984.95,1940.0,1966.6,1969.5,1954.85,31401,61740726.05,4780
