TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INE360C01024,DPSCLTD,DPSC LIMITED,19.9,20.15,19.45,19.55,19.65,19.55,2157733,42571284.85,5937
2024-01-02,CM,INE360C01024,DPSCLTD,DPSC LIMITED,19.7,19.9,18.95,19.15,19.25,19.55,2278867,44062682.9,5243
2024-01-03,CM,INE360C01024,DPSCLTD,DPSC LIMITED,19.3,19.45,18.6,18.9,19.0,19.15,1859570,35352802.15,4437
2024-01-04,CM,INE360C01024,DPSCLTD,DPSC LIMITED,19.1,19.2,18.6,18.95,18.9,18.9,1855205,35182706.4,4186
2024-01-05,CM,INE360C01024,DPSCLTD,DPSC LIMITED,19.0,19.2,18.65,19.0,19.0,18.95,2113766,39923781.6,4920
2024-01-08,CM,INE360C01024,DPSCLTD,DPSC LIMITED,19.25,19.25,18.85,19.0,19.1,19.0,1175223,22380813.5,3425
2024-01-09,CM,INE360C01024,DPSCLTD,DPSC LIMITED,19.15,19.75,18.8,19.05,19.05,19.0,3138105,60681025.2,4576
2024-01-10,CM,INE360C01024,DPSCLTD,DPSC LIMITED,19.2,19.3,18.65,19.0,19.0,19.05,1627940,30951454.65,3314
2024-01-11,CM,INE360C01024,DPSCLTD,DPSC LIMITED,19.0,19.25,18.9,19.05,19.1,19.0,824528,15700227.1,2652
2024-01-12,CM,INE360C01024,DPSCLTD,DPSC LIMITED,19.2,19.65,18.95,19.2,19.25,19.05,1667210,32207515.75,3668
2024-01-15,CM,INE360C01024,DPSCLTD,DPSC LIMITED,19.4,19.75,19.2,19.4,19.4,19.2,1281293,24897991.0,3411
2024-01-16,CM,INE360C01024,DPSCLTD,DPSC LIMITED,19.4,19.65,18.75,19.1,19.2,19.4,930904,17966797.2,3116
2024-01-17,CM,INE360C01024,DPSCLTD,DPSC LIMITED,19.0,19.1,18.8,18.9,19.05,19.1,542792,10293664.75,2260
2024-01-18,CM,INE360C01024,DPSCLTD,DPSC LIMITED,18.9,19.15,18.4,18.95,19.05,18.9,628034,11836170.25,2564
2024-01-19,CM,INE360C01024,DPSCLTD,DPSC LIMITED,19.1,19.2,18.85,18.9,19.05,18.95,706601,13434208.55,2643
2024-01-23,CM,INE360C01024,DPSCLTD,DPSC LIMITED,21.1,21.1,21.1,21.1,21.1,19.2,2977186,62818624.6,5904
2024-01-24,CM,INE360C01024,DPSCLTD,DPSC LIMITED,22.95,23.2,21.7,23.2,23.2,21.1,9922888,226337914.3,21122
2024-01-25,CM,INE360C01024,DPSCLTD,DPSC LIMITED,23.45,25.5,23.3,25.5,25.5,23.2,6991101,175364677.9,16330
2024-01-29,CM,INE360C01024,DPSCLTD,DPSC LIMITED,26.7,26.75,26.05,26.75,26.75,25.5,1485891,39724948.55,5038
2024-01-30,CM,INE360C01024,DPSCLTD,DPSC LIMITED,28.05,28.05,25.45,25.45,25.45,26.75,4814645,125848204.15,11215
2024-01-31,CM,INE360C01024,DPSCLTD,DPSC LIMITED,24.2,25.0,24.2,24.2,24.2,25.45,2863589,69414431.65,6420
2024-02-01,CM,INE360C01024,DPSCLTD,DPSC LIMITED,23.0,23.95,23.0,23.0,23.0,24.2,2552129,58991750.95,6894
2024-02-02,CM,INE360C01024,DPSCLTD,DPSC LIMITED,22.55,24.15,22.05,24.15,24.15,23.0,5080526,119289907.1,12089
2024-02-05,CM,INE360C01024,DPSCLTD,DPSC LIMITED,25.15,25.35,23.25,24.95,25.15,24.15,3459616,86688054.05,11121
2024-02-06,CM,INE360C01024,DPSCLTD,DPSC LIMITED,25.45,25.6,23.7,24.4,24.4,24.95,2161194,52486779.25,7802
2024-02-07,CM,INE360C01024,DPSCLTD,DPSC LIMITED,24.45,24.9,24.0,24.5,24.65,24.4,1470813,36027649.55,6600
2024-02-08,CM,INE360C01024,DPSCLTD,DPSC LIMITED,24.8,25.0,23.5,23.95,24.05,24.5,1052489,25392831.75,5716
2024-02-09,CM,INE360C01024,DPSCLTD,DPSC LIMITED,24.25,24.3,22.75,23.25,23.3,23.95,1314543,30450097.05,5510
2024-02-12,CM,INE360C01024,DPSCLTD,DPSC LIMITED,23.55,24.0,22.1,22.1,22.1,23.25,1172318,26529255.7,5814
2024-02-13,CM,INE360C01024,DPSCLTD,DPSC LIMITED,21.75,22.85,21.05,22.45,22.5,22.1,997690,21941063.95,4731
2024-02-14,CM,INE360C01024,DPSCLTD,DPSC LIMITED,22.4,23.2,21.55,22.65,22.8,22.45,757469,17190038.85,3610
2024-02-15,CM,INE360C01024,DPSCLTD,DPSC LIMITED,22.9,23.75,22.8,23.75,23.75,22.65,840740,19839483.45,2534
2024-02-16,CM,INE360C01024,DPSCLTD,DPSC LIMITED,23.7,24.3,23.2,23.3,23.4,23.75,788130,18528534.65,4115
2024-02-19,CM,INE360C01024,DPSCLTD,DPSC LIMITED,23.2,23.6,23.0,23.05,23.15,23.3,731918,16945355.0,3503
2024-02-20,CM,INE360C01024,DPSCLTD,DPSC LIMITED,23.05,23.45,22.65,22.8,22.85,23.05,678326,15578073.95,3248
2024-02-21,CM,INE360C01024,DPSCLTD,DPSC LIMITED,23.0,23.4,22.55,22.75,22.9,22.8,567961,12997141.9,2825
2024-02-22,CM,INE360C01024,DPSCLTD,DPSC LIMITED,22.95,22.95,22.0,22.75,22.8,22.75,540305,12171632.8,2595
2024-02-23,CM,INE360C01024,DPSCLTD,DPSC LIMITED,23.0,23.7,22.6,22.85,22.75,22.75,708865,16319588.9,2949
2024-02-26,CM,INE360C01024,DPSCLTD,DPSC LIMITED,23.4,23.4,21.7,21.7,21.7,22.85,2067082,45573047.05,5313
2024-02-27,CM,INE360C01024,DPSCLTD,DPSC LIMITED,21.6,21.75,20.65,20.65,20.65,21.7,2496855,52136752.3,5216
2024-02-28,CM,INE360C01024,DPSCLTD,DPSC LIMITED,20.35,20.95,19.65,19.65,19.65,20.65,2878550,57196186.75,5431
2024-02-29,CM,INE360C01024,DPSCLTD,DPSC LIMITED,19.0,20.2,18.7,19.25,19.25,19.65,3907408,74693287.05,6880
2024-03-01,CM,INE360C01024,DPSCLTD,DPSC LIMITED,19.55,20.2,19.05,19.25,19.35,19.25,1553480,30202374.85,5109
2024-03-04,CM,INE360C01024,DPSCLTD,DPSC LIMITED,20.1,20.1,19.05,19.25,19.2,19.85,822471,15857037.05,3434
2024-03-05,CM,INE360C01024,DPSCLTD,DPSC LIMITED,19.25,19.85,18.9,19.2,19.45,19.25,687190,13262203.95,3185
2024-03-06,CM,INE360C01024,DPSCLTD,DPSC LIMITED,19.5,19.5,18.55,19.05,19.15,19.2,691854,13067520.4,3234
2024-03-07,CM,INE360C01024,DPSCLTD,DPSC LIMITED,19.25,19.35,18.1,18.3,18.3,19.05,1652143,30472847.25,4926
2024-03-11,CM,INE360C01024,DPSCLTD,DPSC LIMITED,18.35,18.5,17.4,17.45,17.5,18.3,1138582,20236189.35,4507
2024-03-12,CM,INE360C01024,DPSCLTD,DPSC LIMITED,17.5,17.65,16.6,17.05,17.0,17.45,815148,13833473.45,3932
2024-03-13,CM,INE360C01024,DPSCLTD,DPSC LIMITED,17.0,17.35,16.2,16.25,16.3,17.05,856637,14189028.25,4252
2024-03-14,CM,INE360C01024,DPSCLTD,DPSC LIMITED,15.9,17.05,15.55,16.2,16.15,16.25,1833023,29824167.0,5524
2024-03-15,CM,INE360C01024,DPSCLTD,DPSC LIMITED,16.2,16.85,15.55,15.9,15.9,16.2,1578728,25216522.45,4168
2024-03-18,CM,INE360C01024,DPSCLTD,DPSC LIMITED,15.9,16.5,15.5,15.7,15.75,15.9,1473224,23443914.65,4021
2024-03-19,CM,INE360C01024,DPSCLTD,DPSC LIMITED,15.8,16.0,14.95,15.0,15.1,15.7,1516105,23102380.85,4164
