TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.1,1.15,1.05,1.1,1.15,1.1,2118383,2348712.65,1571
2024-01-02,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.1,1.15,1.05,1.1,1.15,1.1,1977871,2137521.75,1091
2024-01-03,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.1,1.15,1.05,1.1,1.15,1.1,2438790,2701663.75,1380
2024-01-04,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.15,1.25,1.1,1.2,1.2,1.1,5529923,6531808.4,2364
2024-01-05,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.2,1.25,1.2,1.25,1.25,1.2,3776637,4644953.05,2514
2024-01-08,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.25,1.25,1.2,1.25,1.25,1.25,1977660,2435666.9,2401
2024-01-09,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.25,1.5,1.2,1.5,1.5,1.25,13262540,18331828.85,3847
2024-01-10,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.7,1.8,1.65,1.8,1.8,1.5,23602565,41685866.1,7428
2024-01-11,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.9,1.95,1.9,1.95,1.95,1.8,11389735,22091469.15,3888
2024-01-12,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,2.05,2.1,1.75,1.75,1.8,1.95,51312417,96526754.75,15743
2024-01-15,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.75,1.75,1.7,1.7,1.7,1.75,2239749,3820227.45,3197
2024-01-16,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.7,1.7,1.65,1.65,1.65,1.7,3781383,6241664.45,3061
2024-01-17,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.6,1.6,1.6,1.6,1.6,1.65,1075762,1721219.2,1760
2024-01-18,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.55,1.55,1.55,1.55,1.55,1.6,818014,1267921.7,1937
2024-01-19,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.5,1.5,1.5,1.5,1.5,1.55,1002497,1503745.5,2288
2024-01-23,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.6,1.6,1.5,1.55,1.6,1.55,3547125,5603547.5,3589
2024-01-24,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.6,1.6,1.5,1.5,1.55,1.55,2062536,3109928.1,2470
2024-01-25,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.5,1.5,1.45,1.45,1.45,1.5,1621337,2380762.0,2459
2024-01-29,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.5,1.5,1.45,1.5,1.5,1.45,1914547,2850414.85,2245
2024-01-30,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.5,1.55,1.5,1.55,1.55,1.5,1700267,2612165.2,1947
2024-01-31,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.6,1.6,1.55,1.6,1.6,1.55,1163103,1858529.3,865
2024-02-01,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.65,1.65,1.65,1.65,1.65,1.6,541071,892767.15,386
2024-02-02,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.7,1.7,1.7,1.7,1.7,1.65,743271,1263560.7,446
2024-02-05,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.75,1.75,1.65,1.65,1.65,1.7,5160434,8761011.3,3883
2024-02-06,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.6,1.6,1.6,1.6,1.6,1.65,332010,531216.0,333
2024-02-07,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.55,1.55,1.55,1.55,1.55,1.6,380748,590159.4,424
2024-02-08,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.5,1.5,1.5,1.5,1.5,1.55,494967,742450.5,440
2024-02-09,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.45,1.45,1.45,1.45,1.45,1.5,977898,1417952.1,588
2024-02-12,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.4,1.4,1.4,1.4,1.4,1.45,602297,843215.8,449
2024-02-13,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.35,1.35,1.35,1.35,1.35,1.4,349901,472366.35,485
2024-02-14,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.35,1.35,1.35,1.35,1.35,1.35,321669,434253.15,315
2024-02-15,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.35,1.4,1.35,1.4,1.4,1.35,545529,757315.35,184
2024-02-16,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.45,1.45,1.45,1.45,1.45,1.4,306099,443843.55,148
2024-02-19,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.5,1.5,1.4,1.45,1.45,1.45,227821,335863.2,342
2024-02-20,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.45,1.45,1.4,1.4,1.4,1.45,386135,548692.15,256
2024-02-21,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.4,1.4,1.35,1.35,1.35,1.4,215069,300543.35,236
2024-02-22,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.4,1.4,1.35,1.35,1.35,1.35,499430,677905.5,249
2024-02-23,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.35,1.35,1.3,1.35,1.35,1.35,435276,574970.5,325
2024-02-26,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.35,1.35,1.3,1.3,1.3,1.35,441811,585268.7,299
2024-02-27,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.3,1.3,1.25,1.3,1.3,1.3,317969,405106.1,287
2024-02-28,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.3,1.3,1.3,1.3,1.3,1.3,180929,235207.7,244
2024-02-29,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.25,1.3,1.25,1.3,1.3,1.3,265967,335343.05,195
2024-03-01,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.3,1.3,1.25,1.25,1.25,1.3,261725,329403.5,198
2024-03-04,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.25,1.25,1.25,1.25,1.25,1.25,162698,203372.5,237
2024-03-05,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.25,1.25,1.2,1.2,1.2,1.25,510071,613464.75,313
2024-03-06,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.2,1.2,1.2,1.2,1.2,1.2,285863,343035.6,272
2024-03-07,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.15,1.2,1.15,1.2,1.2,1.2,348208,402258.9,199
2024-03-11,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.25,1.25,1.2,1.25,1.25,1.2,1084046,1350261.2,1349
2024-03-12,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.3,1.3,1.25,1.25,1.3,1.25,1460894,1874557.35,1330
2024-03-13,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.3,1.3,1.2,1.2,1.2,1.25,2025837,2556381.55,1111
2024-03-14,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.15,1.2,1.15,1.15,1.2,1.2,944154,1086786.9,1160
2024-03-15,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.2,1.2,1.1,1.15,1.15,1.15,973155,1125152.5,1029
2024-03-18,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.15,1.2,1.1,1.1,1.15,1.15,431757,488358.9,910
2024-03-19,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.1,1.15,1.1,1.1,1.15,1.1,523759,592525.75,706
2024-03-20,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.15,1.15,1.1,1.1,1.15,1.1,489877,546753.4,666
2024-03-21,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.15,1.15,1.1,1.15,1.15,1.1,734089,824373.65,651
2024-03-22,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.1,1.15,1.1,1.15,1.15,1.15,315589,355018.7,613
2024-03-26,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.15,1.15,1.1,1.1,1.1,1.15,772842,857577.65,1038
2024-03-27,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.05,1.1,1.05,1.05,1.05,1.1,1030265,1090813.85,897
2024-03-28,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.05,1.05,1.0,1.05,1.0,1.05,1669885,1680075.3,1152
2024-04-01,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.05,1.1,1.0,1.1,1.1,1.05,730942,794464.45,812
2024-04-02,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.15,1.15,1.1,1.15,1.15,1.1,788919,899869.5,939
2024-04-03,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.15,1.2,1.1,1.15,1.2,1.15,1369071,1568540.2,1208
2024-04-04,CM,INE370E01029,VIVIDHA,VISAGAR POLYTEX LTD,1.15,1.2,1.1,1.2,1.2,1.15,1068171,1262025.95,1180
