TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INE391J01024,JTLIND,JTL INDUSTRIES LIMITED,238.0,241.95,235.35,237.25,237.3,237.95,996857,238394795.4,15851
2024-01-02,CM,INE391J01024,JTLIND,JTL INDUSTRIES LIMITED,245.1,253.0,236.9,247.1,246.9,237.25,5571178,1376501851.95,64910
2024-01-03,CM,INE391J01024,JTLIND,JTL INDUSTRIES LIMITED,249.0,257.5,248.5,249.4,249.7,247.1,3858265,976790910.55,44596
2024-01-04,CM,INE391J01024,JTLIND,JTL INDUSTRIES LIMITED,250.3,252.35,246.4,248.75,249.5,249.4,1683157,419059876.95,23575
2024-01-05,CM,INE391J01024,JTLIND,JTL INDUSTRIES LIMITED,250.45,250.7,243.3,246.45,246.9,248.75,1530642,377958810.05,20393
2024-01-08,CM,INE391J01024,JTLIND,JTL INDUSTRIES LIMITED,248.55,250.15,244.0,245.2,245.85,246.45,949954,233500264.9,11949
2024-01-09,CM,INE391J01024,JTLIND,JTL INDUSTRIES LIMITED,246.95,257.45,245.65,253.3,253.9,245.2,2434468,615535861.05,28619
2024-01-10,CM,INE391J01024,JTLIND,JTL INDUSTRIES LIMITED,254.95,260.8,252.6,256.7,256.3,253.3,2344568,601122290.3,28884
2024-01-11,CM,INE391J01024,JTLIND,JTL INDUSTRIES LIMITED,260.0,265.7,257.55,261.85,264.0,256.7,4112935,1077053163.65,35791
2024-01-12,CM,INE391J01024,JTLIND,JTL INDUSTRIES LIMITED,265.0,267.4,246.05,247.75,248.9,261.85,6971974,1773972445.35,74102
2024-01-15,CM,INE391J01024,JTLIND,JTL INDUSTRIES LIMITED,251.5,255.8,248.0,253.1,253.0,247.75,2760364,696428646.9,32422
2024-01-16,CM,INE391J01024,JTLIND,JTL INDUSTRIES LIMITED,254.05,254.8,239.6,244.3,244.5,253.1,2273620,558824160.0,35527
2024-01-17,CM,INE391J01024,JTLIND,JTL INDUSTRIES LIMITED,240.0,244.0,237.0,238.85,240.9,244.3,1584295,380977046.75,25321
2024-01-18,CM,INE391J01024,JTLIND,JTL INDUSTRIES LIMITED,240.0,244.7,234.3,243.4,244.0,238.85,2090651,503927095.05,24368
2024-01-19,CM,INE391J01024,JTLIND,JTL INDUSTRIES LIMITED,246.9,251.4,243.3,244.45,244.9,243.4,1203778,297756701.65,17750
2024-01-23,CM,INE391J01024,JTLIND,JTL INDUSTRIES LIMITED,256.9,258.4,246.5,248.25,249.8,252.6,2707100,684410099.15,35266
2024-01-24,CM,INE391J01024,JTLIND,JTL INDUSTRIES LIMITED,249.7,259.7,245.05,255.95,256.7,248.25,1893522,479460294.4,20314
2024-01-25,CM,INE391J01024,JTLIND,JTL INDUSTRIES LIMITED,256.65,261.9,252.45,258.95,260.0,255.95,1458314,374832795.6,16229
2024-01-29,CM,INE391J01024,JTLIND,JTL INDUSTRIES LIMITED,262.05,262.8,254.8,257.05,257.35,258.95,1162877,300018074.25,17617
2024-01-30,CM,INE391J01024,JTLIND,JTL INDUSTRIES LIMITED,258.8,261.1,255.45,256.7,256.0,257.05,1198491,308930152.45,15863
2024-01-31,CM,INE391J01024,JTLIND,JTL INDUSTRIES LIMITED,255.0,273.0,254.95,269.9,268.0,256.7,3446265,917212464.8,29599
2024-02-01,CM,INE391J01024,JTLIND,JTL INDUSTRIES LIMITED,268.0,270.0,262.6,268.75,269.7,269.9,1831246,488785866.1,21206
2024-02-02,CM,INE391J01024,JTLIND,JTL INDUSTRIES LIMITED,268.75,272.25,265.45,269.7,267.05,268.75,1486502,400097866.6,18556
