TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INE393P01035,DIAMONDYD,PRATAAP SNACKS LIMITED,1062.0,1120.0,1055.55,1114.7,1108.0,1072.0,122476,134596904.15,10932
2024-01-02,CM,INE393P01035,DIAMONDYD,PRATAAP SNACKS LIMITED,1130.0,1130.0,1091.0,1104.55,1096.25,1114.7,87535,97276469.9,7693
2024-01-03,CM,INE393P01035,DIAMONDYD,PRATAAP SNACKS LIMITED,1090.0,1118.95,1075.95,1094.2,1090.0,1104.55,48243,52685843.7,4765
2024-01-04,CM,INE393P01035,DIAMONDYD,PRATAAP SNACKS LIMITED,1095.0,1142.9,1071.05,1126.15,1110.3,1094.2,93646,105040188.6,11991
2024-01-05,CM,INE393P01035,DIAMONDYD,PRATAAP SNACKS LIMITED,1127.0,1144.95,1112.15,1116.85,1115.0,1126.15,30684,34452085.5,4038
2024-01-08,CM,INE393P01035,DIAMONDYD,PRATAAP SNACKS LIMITED,1117.0,1220.95,1106.4,1195.15,1200.0,1116.85,116510,136143853.75,13643
2024-01-09,CM,INE393P01035,DIAMONDYD,PRATAAP SNACKS LIMITED,1197.05,1234.1,1170.2,1174.45,1179.8,1195.15,85795,103228238.4,11293
2024-01-10,CM,INE393P01035,DIAMONDYD,PRATAAP SNACKS LIMITED,1176.8,1184.05,1148.15,1176.7,1176.0,1174.45,44497,51822601.7,6466
2024-01-11,CM,INE393P01035,DIAMONDYD,PRATAAP SNACKS LIMITED,1177.0,1188.35,1153.9,1161.65,1171.5,1176.7,19754,23115697.75,3193
2024-01-12,CM,INE393P01035,DIAMONDYD,PRATAAP SNACKS LIMITED,1173.25,1188.0,1117.0,1134.1,1188.0,1161.65,19911,22694122.0,3427
2024-01-15,CM,INE393P01035,DIAMONDYD,PRATAAP SNACKS LIMITED,1150.0,1202.15,1135.05,1152.8,1154.95,1134.1,62788,72863300.85,8404
2024-01-16,CM,INE393P01035,DIAMONDYD,PRATAAP SNACKS LIMITED,1168.8,1285.0,1151.9,1259.55,1255.0,1152.8,346586,429657650.5,37404
2024-01-17,CM,INE393P01035,DIAMONDYD,PRATAAP SNACKS LIMITED,1224.9,1255.05,1206.25,1243.15,1235.0,1259.55,91973,113368882.35,12134
2024-01-18,CM,INE393P01035,DIAMONDYD,PRATAAP SNACKS LIMITED,1230.0,1450.0,1227.0,1363.5,1398.0,1243.15,641518,862744197.95,30435
2024-01-19,CM,INE393P01035,DIAMONDYD,PRATAAP SNACKS LIMITED,1397.0,1426.95,1245.2,1308.2,1288.0,1363.5,728147,957581449.4,63173
2024-01-23,CM,INE393P01035,DIAMONDYD,PRATAAP SNACKS LIMITED,1335.0,1416.15,1277.75,1350.9,1350.0,1336.85,185970,255154700.9,19033
2024-01-24,CM,INE393P01035,DIAMONDYD,PRATAAP SNACKS LIMITED,1365.0,1368.9,1280.0,1320.9,1324.0,1350.9,84605,112604253.15,10543
2024-01-25,CM,INE393P01035,DIAMONDYD,PRATAAP SNACKS LIMITED,1331.0,1343.8,1281.8,1293.9,1297.0,1320.9,62476,82024201.35,9008
2024-01-29,CM,INE393P01035,DIAMONDYD,PRATAAP SNACKS LIMITED,1293.0,1305.8,1235.0,1264.65,1260.0,1293.9,103198,130095430.7,10702
2024-01-30,CM,INE393P01035,DIAMONDYD,PRATAAP SNACKS LIMITED,1299.6,1308.0,1272.35,1291.05,1294.9,1264.65,52728,68169403.7,5378
2024-01-31,CM,INE393P01035,DIAMONDYD,PRATAAP SNACKS LIMITED,1271.0,1295.35,1246.4,1280.6,1282.0,1291.05,97178,123204088.65,7873
2024-02-01,CM,INE393P01035,DIAMONDYD,PRATAAP SNACKS LIMITED,1286.0,1331.0,1282.0,1320.7,1325.0,1280.6,79294,103155810.65,7172
2024-02-02,CM,INE393P01035,DIAMONDYD,PRATAAP SNACKS LIMITED,1331.0,1336.0,1303.55,1309.45,1310.0,1320.7,38494,50579102.2,4678
2024-02-05,CM,INE393P01035,DIAMONDYD,PRATAAP SNACKS LIMITED,1302.9,1312.95,1224.95,1275.25,1281.0,1309.45,295367,373914901.8,16605
2024-02-06,CM,INE393P01035,DIAMONDYD,PRATAAP SNACKS LIMITED,1281.75,1290.0,1239.05,1258.8,1265.65,1275.25,28541,35884683.75,4144
2024-02-07,CM,INE393P01035,DIAMONDYD,PRATAAP SNACKS LIMITED,1200.1,1293.0,1200.0,1282.65,1288.0,1258.8,117985,148638586.55,12772
2024-02-08,CM,INE393P01035,DIAMONDYD,PRATAAP SNACKS LIMITED,1284.0,1285.75,1244.7,1255.05,1250.0,1282.65,42378,53338339.7,4895
2024-02-09,CM,INE393P01035,DIAMONDYD,PRATAAP SNACKS LIMITED,1253.0,1275.0,1201.9,1249.0,1257.95,1255.05,49972,61564980.65,6464
2024-02-12,CM,INE393P01035,DIAMONDYD,PRATAAP SNACKS LIMITED,1250.05,1274.0,1153.0,1187.2,1184.0,1249.0,81639,100505453.0,8967
2024-02-13,CM,INE393P01035,DIAMONDYD,PRATAAP SNACKS LIMITED,1149.1,1207.3,1134.35,1175.1,1160.0,1187.2,53977,63601565.15,7160
2024-02-14,CM,INE393P01035,DIAMONDYD,PRATAAP SNACKS LIMITED,1175.1,1239.0,1152.75,1219.65,1220.15,1175.1,52956,64055942.1,5628
2024-02-15,CM,INE393P01035,DIAMONDYD,PRATAAP SNACKS LIMITED,1223.85,1239.5,1168.8,1177.6,1199.95,1219.65,53418,64040158.5,6328
