TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,16.8,17.2,16.0,17.1,17.1,16.8,225000,3740062.5,20
2024-01-02,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,17.1,17.1,16.4,16.9,16.9,17.1,135000,2287125.0,12
2024-01-03,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,16.9,17.25,16.15,16.95,16.95,16.9,157500,2625750.0,14
2024-01-04,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,16.15,16.75,16.15,16.35,16.2,16.95,247500,4070812.5,16
2024-01-05,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,16.35,17.0,15.9,16.9,16.9,16.35,180000,2966062.5,16
2024-01-08,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,16.9,17.25,16.25,16.85,16.85,16.9,213750,3591000.0,15
2024-01-09,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,16.85,16.85,16.5,16.7,16.7,16.85,180000,3011625.0,9
2024-01-10,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,16.15,16.9,16.15,16.25,16.25,16.7,67500,1108125.0,6
2024-01-11,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,16.25,16.85,16.25,16.6,16.6,16.25,393750,6550875.0,17
2024-01-12,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,16.95,16.95,16.0,16.6,16.6,16.6,123750,2035687.5,9
2024-01-15,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,16.6,16.6,16.05,16.2,16.45,16.6,191250,3125812.5,11
2024-01-16,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,16.25,16.45,16.25,16.45,16.45,16.2,45000,736875.0,4
2024-01-17,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,16.25,16.3,15.65,15.75,15.75,16.45,56250,895500.0,5
2024-01-18,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,16.5,16.5,15.2,16.2,16.2,15.75,168750,2660062.5,14
2024-01-19,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,16.75,16.75,16.0,16.0,16.0,16.2,78750,1285875.0,7
2024-01-23,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,15.9,15.9,15.65,15.75,15.65,16.0,33750,533812.5,3
2024-01-24,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,15.6,16.15,15.6,16.1,16.1,15.75,45000,719437.5,4
2024-01-25,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,16.0,16.05,15.6,16.05,16.05,16.1,33750,536062.5,3
2024-01-29,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,16.0,16.0,15.65,15.7,15.7,16.05,90000,1430437.5,8
2024-01-30,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,16.0,16.0,16.0,16.0,16.0,15.7,56250,900000.0,5
2024-01-31,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,16.05,16.35,16.05,16.2,16.2,16.0,157500,2548125.0,13
2024-02-01,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,16.0,16.25,16.0,16.25,16.25,16.2,33750,544500.0,3
2024-02-02,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,15.75,15.75,15.5,15.5,15.5,16.25,78750,1225687.5,7
2024-02-05,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,15.55,15.65,15.55,15.55,15.55,15.5,67500,1051312.5,6
2024-02-06,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,15.55,15.55,15.55,15.55,15.55,15.55,33750,524812.5,3
2024-02-07,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,15.4,16.0,14.15,15.05,15.05,15.55,112500,1730812.5,10
2024-02-08,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,15.05,15.65,15.05,15.05,15.05,15.05,78750,1199812.5,7
2024-02-09,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,15.05,15.1,15.05,15.05,15.05,15.05,45000,677812.5,4
2024-02-12,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,15.4,15.4,14.3,14.3,14.3,15.05,101250,1517625.0,9
2024-02-14,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,13.2,14.45,13.2,14.05,14.05,14.3,78750,1096312.5,6
2024-02-15,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,14.05,14.2,13.5,13.55,13.55,14.05,123750,1710562.5,10
2024-02-16,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,14.6,14.6,13.65,14.25,14.3,13.55,135000,1899000.0,12
2024-02-19,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,14.25,15.25,14.0,14.9,14.9,14.25,416250,6029437.5,23
2024-02-20,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,15.0,16.2,14.75,15.5,16.2,14.9,281250,4312687.5,24
2024-02-21,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,16.4,16.6,15.5,16.0,16.0,15.5,438750,6986812.5,28
2024-02-22,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,16.0,16.45,15.5,16.0,15.9,16.0,393750,6284812.5,19
2024-02-23,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,16.0,16.35,15.75,16.3,16.35,16.0,326250,5245312.5,23
2024-02-26,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,16.0,16.0,15.3,15.3,15.3,16.3,45000,699187.5,4
2024-02-27,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,15.1,16.0,15.0,15.9,15.9,15.3,348750,5502375.0,20
2024-02-28,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,15.9,15.9,15.15,15.65,15.65,15.9,56250,878062.5,5
2024-02-29,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,14.9,15.9,14.7,15.5,15.9,15.65,135000,2066625.0,12
2024-03-01,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,14.85,15.45,14.85,15.0,15.0,15.5,112500,1698750.0,10
2024-03-04,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,15.2,15.8,14.65,15.8,15.8,15.0,135000,2081812.5,12
2024-03-05,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,16.5,16.5,15.5,15.85,15.9,15.8,180000,2847375.0,12
2024-03-06,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,14.9,15.1,14.5,15.1,15.1,15.85,78750,1163250.0,7
2024-03-07,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,15.5,15.65,15.1,15.45,15.65,15.1,67500,1043437.5,6
2024-03-11,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,15.8,16.15,15.25,16.15,16.15,15.45,506250,8057812.5,40
2024-03-12,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,16.0,16.0,15.65,15.95,16.0,16.15,360000,5705437.5,23
2024-03-13,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,15.9,16.0,15.4,15.85,15.85,15.95,371250,5831437.5,25
2024-03-14,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,15.15,15.7,14.7,15.5,15.65,15.85,303750,4668750.0,22
2024-03-15,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,15.2,15.8,15.0,15.4,15.8,15.5,90000,1380375.0,7
2024-03-18,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,15.5,15.8,15.4,15.55,15.4,15.4,213750,3319312.5,13
2024-03-19,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,15.4,15.5,15.0,15.1,15.0,15.55,270000,4153500.0,13
2024-03-20,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,15.1,15.1,14.65,14.65,14.65,15.1,78750,1178437.5,4
2024-03-21,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,15.2,15.2,14.65,15.05,15.05,14.65,135000,2014312.5,12
2024-03-22,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,14.45,14.95,14.4,14.9,14.95,15.05,123750,1817437.5,11
2024-03-26,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,14.35,14.5,14.3,14.5,14.5,14.9,157500,2278125.0,12
2024-03-27,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,14.0,14.4,13.65,14.35,14.35,14.5,101250,1419750.0,9
2024-03-28,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,14.5,14.5,13.6,14.0,14.1,14.35,202500,2844562.5,9
2024-04-01,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,14.0,15.0,13.4,14.2,14.25,14.0,416250,5916375.0,32
2024-04-02,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,14.0,14.25,14.0,14.25,14.25,14.2,22500,317812.5,2
2024-04-03,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,14.25,14.35,14.0,14.0,14.0,14.25,78750,1110375.0,7
2024-04-04,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,14.0,14.1,13.5,14.0,14.0,14.0,112500,1544625.0,10
2024-04-05,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,14.0,14.25,14.0,14.0,14.0,14.0,247500,3513375.0,15
2024-04-08,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,14.25,14.25,13.6,13.8,13.65,14.0,146250,2032312.5,10
2024-04-09,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,13.4,13.95,13.3,13.95,13.95,13.8,67500,921375.0,6
2024-04-10,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,14.05,14.3,14.05,14.3,14.3,13.95,67500,956812.5,6
2024-04-12,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,14.15,14.15,14.15,14.15,14.15,14.3,11250,159187.5,1
2024-04-15,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,14.25,14.25,11.65,14.15,14.15,14.15,123750,1678500.0,11
2024-04-16,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,14.15,14.15,14.1,14.1,14.1,14.15,33750,476437.5,3
2024-04-18,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,14.1,14.25,13.85,14.1,14.1,14.1,67500,954000.0,6
2024-04-19,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,14.1,14.1,13.9,14.0,14.0,14.1,56250,787500.0,5
2024-04-22,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,13.5,14.0,13.5,13.5,13.5,14.0,213750,2917687.5,19
2024-04-23,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,13.6,14.1,13.6,13.6,13.65,13.5,360000,4979812.5,30
2024-04-24,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,13.75,14.0,13.75,13.8,13.8,13.6,236250,3278812.5,20
2024-04-25,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,13.65,14.15,13.5,13.85,13.85,13.8,877500,12145500.0,68
2024-04-26,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,13.85,14.1,13.8,14.1,14.1,13.85,146250,2049750.0,13
2024-04-29,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,14.1,14.5,13.4,13.6,13.8,14.1,281250,3929625.0,22
2024-04-30,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,13.8,14.1,13.45,13.75,13.95,13.6,393750,5457937.5,24
2024-05-02,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,13.6,13.95,13.5,13.5,13.5,13.75,168750,2320312.5,15
2024-05-03,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,13.85,13.85,13.35,13.6,13.6,13.5,67500,922500.0,6
2024-05-06,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,13.25,13.6,13.25,13.25,13.25,13.6,67500,898875.0,6
2024-05-08,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,12.05,12.6,12.05,12.6,12.6,13.25,67500,826875.0,6
2024-05-09,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,12.2,12.6,11.9,12.45,12.45,12.6,90000,1104750.0,8
2024-05-10,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,13.2,13.2,13.2,13.2,13.2,12.45,11250,148500.0,1
2024-05-13,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,13.15,13.7,13.15,13.7,13.7,13.2,45000,599062.5,4
2024-05-14,CM,INE405Y01021,GOLDSTAR,GOLDSTAR POWER LIMITED,13.7,13.7,12.9,13.3,13.3,13.7,33750,448875.0,3
