TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INE448V01019,AURDIS,AURANGABAD DISTILLERY LTD,286.0,286.0,279.2,279.2,279.2,285.0,2000,562350.0,4
2024-01-02,CM,INE448V01019,AURDIS,AURANGABAD DISTILLERY LTD,280.1,285.95,276.2,283.95,285.95,279.2,4000,1120025.0,8
2024-01-03,CM,INE448V01019,AURDIS,AURANGABAD DISTILLERY LTD,285.0,289.0,283.0,288.25,288.25,283.95,2000,572625.0,4
2024-01-04,CM,INE448V01019,AURDIS,AURANGABAD DISTILLERY LTD,278.05,298.0,278.0,296.45,296.5,288.25,9500,2756225.0,19
2024-01-05,CM,INE448V01019,AURDIS,AURANGABAD DISTILLERY LTD,306.0,306.0,290.55,297.95,299.95,296.45,6500,1929800.0,13
2024-01-08,CM,INE448V01019,AURDIS,AURANGABAD DISTILLERY LTD,299.0,303.0,297.0,299.0,299.0,297.95,8500,2549475.0,17
2024-01-09,CM,INE448V01019,AURDIS,AURANGABAD DISTILLERY LTD,302.9,302.9,293.0,295.0,295.0,299.0,6500,1928650.0,12
2024-01-10,CM,INE448V01019,AURDIS,AURANGABAD DISTILLERY LTD,303.0,304.0,293.25,302.6,302.85,295.0,4500,1354000.0,9
2024-01-11,CM,INE448V01019,AURDIS,AURANGABAD DISTILLERY LTD,303.0,317.0,302.0,314.2,316.0,302.6,17000,5278875.0,32
2024-01-12,CM,INE448V01019,AURDIS,AURANGABAD DISTILLERY LTD,316.0,316.0,303.1,303.3,303.3,314.2,5000,1535400.0,10
2024-01-15,CM,INE448V01019,AURDIS,AURANGABAD DISTILLERY LTD,303.3,312.0,295.0,307.9,307.9,303.3,6500,1969975.0,13
2024-01-16,CM,INE448V01019,AURDIS,AURANGABAD DISTILLERY LTD,300.05,306.0,297.0,305.75,306.0,307.9,5000,1507850.0,10
