TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INE455K01017,POLYCAB,POLYCAB INDIA LIMITED,5500.0,5530.45,5449.95,5464.7,5460.0,5484.85,146403,802796576.7,19918
2024-01-02,CM,INE455K01017,POLYCAB,POLYCAB INDIA LIMITED,5464.7,5470.0,5330.0,5346.6,5352.5,5464.7,281635,1511257962.75,36931
2024-01-03,CM,INE455K01017,POLYCAB,POLYCAB INDIA LIMITED,5340.05,5426.6,5309.0,5404.55,5402.0,5346.6,250172,1346942354.5,30556
2024-01-04,CM,INE455K01017,POLYCAB,POLYCAB INDIA LIMITED,5404.55,5452.0,5337.15,5394.6,5397.0,5404.55,282732,1522202847.75,36808
2024-01-05,CM,INE455K01017,POLYCAB,POLYCAB INDIA LIMITED,5433.0,5441.85,5358.05,5401.3,5405.5,5394.6,140560,758815244.25,19864
2024-01-08,CM,INE455K01017,POLYCAB,POLYCAB INDIA LIMITED,5400.0,5469.9,5335.0,5344.25,5350.0,5401.3,346476,1870076379.2,44120
2024-01-09,CM,INE455K01017,POLYCAB,POLYCAB INDIA LIMITED,5389.9,5403.0,4850.0,4867.1,4874.95,5344.25,4167413,20914448726.0,329783
2024-01-10,CM,INE455K01017,POLYCAB,POLYCAB INDIA LIMITED,4995.95,5035.25,4863.35,4911.85,4914.0,4867.1,2695792,13341399790.25,201671
2024-01-11,CM,INE455K01017,POLYCAB,POLYCAB INDIA LIMITED,4420.7,4420.7,3801.0,3878.45,3904.7,4911.85,18029446,71344127882.7,923073
2024-01-12,CM,INE455K01017,POLYCAB,POLYCAB INDIA LIMITED,3910.0,4059.0,3905.0,3980.9,3980.4,3878.45,6218177,24816105809.35,402571
2024-01-15,CM,INE455K01017,POLYCAB,POLYCAB INDIA LIMITED,4094.95,4254.4,3975.0,4198.2,4180.15,3980.9,3860786,15877003052.6,212052
2024-01-16,CM,INE455K01017,POLYCAB,POLYCAB INDIA LIMITED,4290.0,4361.0,4255.0,4340.8,4345.0,4198.2,2599390,11215775939.35,171848
2024-01-17,CM,INE455K01017,POLYCAB,POLYCAB INDIA LIMITED,4340.0,4490.0,4328.1,4439.3,4450.0,4340.8,1928680,8540756567.15,124242
2024-01-18,CM,INE455K01017,POLYCAB,POLYCAB INDIA LIMITED,4460.0,4549.0,3995.4,4436.05,4440.0,4439.3,3940479,17398954434.05,228977
